year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,0,0,50.32,49.68,0,47.9,47.3,95.2,2,1960,Austria,,94.2,44.8,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,Austria,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42E-14,1960,Austria,5.5,0.596914,0.544526,2.480860164,2.195515002,0.285345162,0.11501864,4.429446918,1960,Austria,0.43,1.07,2.68,43.3,8.07,2.51,0.38,4.5,2,3,3,0.55,,,,1960,Austria,2,1,1,1,2,2,0,1,1960,Austria,,44.32778,36.33560465,35.83460796,,,1.945749856,,20.26251,-0.499565763,-0.308381381,,,,1960,Austria,3274,3274,3195,,,721,1289,1185,55.59999847,1.899999976,1960,Austria,,30.7,68.82,21.02015883,1501,1369.678,67.88319449,95,1501,1369.678,67.88319449,95,1960,Austria,12.9,,,,,,,,,,,,,1960,Austria,,,,,,,,,,,,,,,,,1960,Austria,,,,,,7047.539063,4632.573242,861.4559937,12.22350025,1960,Austria
1961,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,1,0,50.32,49.68,0,47.9,47.3,95.2,2,1961,Austria,,94.2,44.8,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,Austria,47.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.9,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42E-14,1961,Austria,5.5,0.596914,0.544526,2.480860164,2.195515002,0.285345162,0.11501864,4.429446918,1961,Austria,,,,,,,,,,,,,,,,1961,Austria,2,1,1,1,2,2,0,1,1961,Austria,,42.83865,35.71713626,37.42690947,5.312079256,10.95210792,3.542256369,,18.3164,1.711179778,1.90736037,,,,1961,Austria,3281,3281,3220,,,698,1313,1209,44,1.5,1961,Austria,,38.8,113.88,34.7089302,1518,1382.39,67.33297439,,1518,1382.39,67.33297439,95,1961,Austria,9.62,,,,,,,,,,,,,1961,Austria,,,,,,,,,,,,,,,,,1961,Austria,,,,,,7086.297852,4617.105957,879.7329712,12.41456032,1961,Austria
1962,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,0,0,50.32,49.68,0,47.9,47.3,95.2,2,1962,Austria,22968,93.8,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1962,Austria,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,Austria,5.5,0.594484,0.544094,2.465993944,2.193434612,0.272559332,0.11052717,3.996248241,1962,Austria,,,,,,,,,,,,,,,,1962,Austria,2,1,1,1,2,2,0,1,1962,Austria,,43.41569,37.57633314,38.71757993,2.397500496,6.308181472,4.381785519,,17.74401,1.142726573,1.360578326,,,,1962,Austria,3271,3271,3209,,,665,1319,1225,44.20000076,1.5,1962,Austria,,207.5,647.72,198.0189544,1518.1,1379.121,66.65702792,,1518.1,1379.121,66.65702792,95,1962,Austria,10.69,,,,,,,,,,,,,1962,Austria,,,,,,,,,,,,,,,,,1962,Austria,,,,,,7129.86377,4615.134766,898.8540039,12.60688972,1962,Austria
1963,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,1,0,51.29,48.71,0,48.83,46.37,95.2,2,1963,Austria,,93.8,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1963,Austria,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,Austria,5.5,0.594484,0.544094,2.465993944,2.193434612,0.272559332,0.11052717,3.996248241,1963,Austria,,,,,,,,,,,,,,,,1963,Austria,2,1,1,1,2,2,0,1,1963,Austria,,44.16345,38.6838273,38.17378541,4.079030124,7.781063491,2.708769829,,17.85849,-0.508518486,-0.328779544,,,,1963,Austria,3258,3258,3191,,,640,1307,1244,46.90000153,1.600000024,1963,Austria,,16.5,34.02,10.44198895,1531.7,1388.637,67.05964862,,1531.7,1388.637,67.05964862,95,1963,Austria,11.14,,,,,,,,,,,,,1963,Austria,,,,,,,,,,,,,,,,,1963,Austria,,,,,,7175.811035,4620.294922,916.7119751,12.77503014,1963,Austria
1964,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,1,0,51.58,48.42,0,49.1,46.1,95.2,2,1964,Austria,,93.8,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1964,Austria,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,Austria,5.5,0.594484,0.544094,2.465993944,2.193434612,0.272559332,0.11052717,3.996248241,1964,Austria,,,,,,,,,,,,,,,,1964,Austria,2,1,1,1,2,2,0,1,1964,Austria,,44.58187,38.70715001,39.19167126,6.037776518,9.488790474,3.868570596,,17.40058,0.486045572,0.686215443,,,,1964,Austria,3250,3250,3187,,,609,1309,1269,43.90000153,1.5,1964,Austria,,40.8,35.45,10.90769231,1539.6,1392.583,66.62435973,,1539.6,1392.583,66.62435973,95,1964,Austria,11.23,,,,,,,,,,,,,1964,Austria,,,,,,,,,,,,,,,,,1964,Austria,,,,,,7223.800781,4618.938965,937.447998,12.97721004,1964,Austria
1965,Austria,2,AUT,40,1,0,0,0,0,50,50,3,0,0,0,0,51.58,48.42,0,49.1,46.1,95.2,2,1965,Austria,,93.8,44,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1965,Austria,46.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,4.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1965,Austria,5.5,0.594484,0.544094,2.465993944,2.193434612,0.272559332,0.11052717,3.996248241,1965,Austria,,,,,,,,,,,,,,,,1965,Austria,2,1,1,1,2,2,0,1,1965,Austria,,45.69413,38.38066295,39.79288985,2.858003644,8.715651443,4.930911131,,16.87502,1.413738385,1.669168185,,6.49966233,,1965,Austria,3228,3228,3167,,,569,1313,1285,43.59999847,1.5,1965,Austria,,146,151.26,46.85873606,1542.8,1392.783,66.15817146,95,1542.8,1392.783,66.15817146,95,1965,Austria,11.23,,,,,,,,,,,,,1965,Austria,,,,,,,,,,,,,,,,,1965,Austria,,,,,,7270.888184,4614.599121,958.1619873,13.17805958,1965,Austria
1966,Austria,2,AUT,40,1,0,0,0,0,85.21,14.79,2,1,-1,1,0,85.67,14.33,0,50.79,13.64,64.43,1,1966,Austria,24172,93.8,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1966,Austria,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1966,Austria,5.5,0.58123,0.532775,2.38794565,2.140296431,0.247649219,0.103708064,3.821648859,1966,Austria,,,,,,,,,,,,,,,,1966,Austria,2,1,1,1,2,2,0,1,1966,Austria,,46.35461,38.78487805,40.55058787,5.642936713,8.941549181,2.054820493,,16.14132,1.767237222,2.038259035,,6.900639834,,1966,Austria,3192,3192,3136,,,534,1312,1290,40.29999924,1.399999976,1966,Austria,,120.9,71.36,22.35588972,1543,1389.67,65.84437726,,1543,1389.67,65.84437726,95,1966,Austria,11.41,,,,,,,,,,,,,1966,Austria,,,,,,,,,,,,,,,,,1966,Austria,,,,,,7322.065918,4613.490234,979.151001,13.37261009,1966,Austria
1967,Austria,2,AUT,40,1,0,0,0,0,100,0,1,1,-1,0,0,100,0,0,51.5,0,51.5,1,1967,Austria,,93.8,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1967,Austria,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1967,Austria,5.5,0.58123,0.532775,2.38794565,2.140296431,0.247649219,0.103708064,3.821648859,1967,Austria,,,,,,,,,,,,,,,,1967,Austria,2,1,1,1,2,2,0,1,1967,Austria,,45.76245,40.80379731,40.22860328,3.007756565,6.352710445,3.974668476,,17.85849,-0.573587114,-0.342332981,,7.204284625,,1967,Austria,3139,3139,3081,,,504,1276,1301,42.40000153,1.5,1967,Austria,,7.5,16.41,5.227779548,1512.4,1358.235,65.09121017,,1512.4,1358.235,65.09121017,95,1967,Austria,11.94,,,,,,,,,,,,,1967,Austria,,,,,,,,,,,,,,,,,1967,Austria,,,,,,7376.998047,4615.084961,1001.427979,13.5750103,1967,Austria
1968,Austria,2,AUT,40,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,51.5,0,51.5,1,1968,Austria,,93.8,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1968,Austria,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1968,Austria,5.5,0.58123,0.532775,2.38794565,2.140296431,0.247649219,0.103708064,3.821648859,1968,Austria,,,,,,,,,,,,,,,,1968,Austria,2,1,1,1,2,2,0,1,1968,Austria,,46.42385,40.99488659,40.14553303,4.472321612,7.437603615,2.764866082,,19.23221,-0.847739121,-0.414807283,,7.73254337,,1968,Austria,3119,3119,3070,67.68663,66.61784363,486,1244,1340,44.79999924,1.600000024,1968,Austria,,3.1,6.67,2.138505931,1514,1356.468,62.05251601,,1514,1356.468,62.05251601,95,1968,Austria,15.9,,,,,,,,,,,,,1968,Austria,,,,,,,,,,,,,,,,,1968,Austria,,,,,,7415.401855,4608.375,1020.283997,13.7589798,1968,Austria
1969,Austria,2,AUT,40,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,51.5,0,51.5,1,1969,Austria,,93.8,42.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.3,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1969,Austria,44.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51.5,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1969,Austria,5.5,0.58123,0.532775,2.38794565,2.140296431,0.247649219,0.103708064,3.821648859,1969,Austria,,,,,,,,,,,,,-0.8116279,-0.4458235,-0.9343958,1969,Austria,2,1,1,1,2,2,0,1,1969,Austria,,49.92079,40.77178303,40.69016044,6.276184396,9.180688256,3.080402478,,19.23221,-0.080016943,0.386122806,,7.507097512,,1969,Austria,3038,3038,2976,66.0722,64.73045349,465,1249,1262,44.70000076,1.600000024,1969,Austria,,17.5,18.52,6.096115866,1517.1,1355.984,63.06902326,,1517.1,1355.984,63.06902326,95,1969,Austria,11.9,,,,,,,,,,,,,1969,Austria,,,,,,,,,,,,,,,,,1969,Austria,,,,,,7441.055176,4597.526855,1036.359009,13.92757988,1969,Austria
