year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Belgium,3,BEL,56,1,0,1,0,33.88,66.12,0,1,0,0,0,16.78,83.22,0,9.9,49.1,0,59,2,1960,Belgium,,93.6,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.5,0,0,0,0,0,0,11.1,0,0,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,1960,Belgium,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1,0,0,0,0,0,0,9.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1960,Belgium,4.2,0.642449,0.592277,2.796803813,2.452645546,0.344158266,0.123054132,3.827531842,1960,Belgium,1.14,0.1,4.72,37.3,2.57,3.35,1.15,3.5,2.8,3,1.8,0.27,,,,1960,Belgium,3,1,0,0,2,3,0,0,1960,Belgium,,68.07166,,,,,0.299455811,,97.76119,,,,5.548333333,,1960,Belgium,3675,3564,3447,62.24607086,58.38426971,299,1612,1536,75.59999847,2.200000048,1960,Belgium,61,19.1,334.45,91.00680272,1313.797,1055.4,39.28958311,80,1313.797,1055.4,39.28958311,80,1960,Belgium,11.3,,,,,,,,,,,,,1960,Belgium,,,,,,,,,,,,,,,,,1960,Belgium,,,,,,9153.489258,5903.986816,1095.425049,11.96728992,1960,Belgium
1961,Belgium,3,BEL,56,1,0,1,0,10.93,60.75,28.32,2,1,1,1,5.24,62.68,32.08,3.09,46.49,27.23,76.81,2,1961,Belgium,22366,92.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1961,Belgium,39.6,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1961,Belgium,5.2,0.675771,0.627987,3.084239843,2.688078105,0.396161738,0.128447124,4.059556626,1961,Belgium,,,,,,,,,,,,,,,,1961,Belgium,3,1,0,0,2,3,0,0,1961,Belgium,,69.81708,,,4.974011877,6.196,0.992679933,,95.50733,,,,5.871666667,,1961,Belgium,3676,3570,3481,62.40021896,59.09009171,288,1638,1555,62.20000076,1.799999952,1961,Belgium,38,12.6,92.09,25.05168662,1310.7,1049.2,38.32096418,,1310.7,1049.2,38.32096418,80,1961,Belgium,11,,,,,,,,,,,,,1961,Belgium,,,,,,,,,,,,,,,,,1961,Belgium,,,,,,9183.947266,5891.004883,1111.310059,12.10056973,1961,Belgium
1962,Belgium,3,BEL,56,1,0,1,0,0,58.82,41.18,3,1,1,0,0,53.36,46.64,0,45.3,39.6,84.9,2,1962,Belgium,,92.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1962,Belgium,39.6,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1962,Belgium,5.2,0.675771,0.627987,3.084239843,2.688078105,0.396161738,0.128447124,4.059556626,1962,Belgium,,,,,,,,,,,,,,,,1962,Belgium,3,1,0,0,2,3,0,0,1962,Belgium,,69.67238,,,5.181514819,6.904,1.40460398,,92.12654,,,,5.1775,,1962,Belgium,3716,3609,3534,63.07973099,59.99024963,281,1656,1597,59.40000153,1.700000048,1962,Belgium,40,22,270.98,72.92249731,1295.1,1032.7,36.85172054,,1295.1,1032.7,36.85172054,80,1962,Belgium,11.3,,,,,,,,,,,,,1962,Belgium,,,,,,,,,,,,,,,,,1962,Belgium,,,,,,9220.577148,5890.957031,1133.297974,12.29096985,1962,Belgium
1963,Belgium,3,BEL,56,1,0,1,0,0,58.82,41.18,3,0,0,0,0,53.36,46.64,0,45.3,39.6,84.9,2,1963,Belgium,,92.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1963,Belgium,39.6,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1963,Belgium,5.2,0.675771,0.627987,3.084239843,2.688078105,0.396161738,0.128447124,4.059556626,1963,Belgium,,,,,,,,,,,,,,,,1963,Belgium,3,1,0,0,2,3,0,0,1963,Belgium,,71.72562,,,4.404047694,7.572,2.148015509,,85.64669,,,,5.2825,,1963,Belgium,3727,3622,3560,62.88354111,60.0658493,264,1673,1623,52.29999924,1.5,1963,Belgium,48,17.7,247.38,66.37510062,1354,1076,37.68713466,,1354,1076,37.68713466,80,1963,Belgium,11.4,,,,,,,,,,,,,1963,Belgium,,,,,,,,,,,,,,,,,1963,Belgium,,,,,,9289.769531,5926.829102,1151.405029,12.39433002,1963,Belgium
1964,Belgium,3,BEL,56,1,0,1,0,0,58.82,41.18,3,0,0,0,0,53.36,46.64,0,45.3,39.6,84.9,2,1964,Belgium,,92.3,36.7,0,0,0,0,0,0,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,1964,Belgium,39.6,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.3,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,1964,Belgium,5.2,0.675771,0.627987,3.084239843,2.688078105,0.396161738,0.128447124,4.059556626,1964,Belgium,,,,,,,,,,,,,,,,1964,Belgium,3,1,0,0,2,3,0,0,1964,Belgium,,73.9077,,,6.94762637,11.925,4.16874923,,80.71637,,,,6.451666667,,1964,Belgium,3768,3664,3609,63.09677887,60.43424988,249,1703,1657,49.09999847,1.399999976,1964,Belgium,41,40.7,443.84,117.7919321,1382.4,1094.7,37.28087612,,1382.4,1094.7,37.28087612,80,1964,Belgium,10.9,,,,,,,,,,,,,1964,Belgium,,,,,,,,,,,,,,,,,1964,Belgium,,,,,,9378.113281,5971.778809,1171.831055,12.4953804,1964,Belgium
1965,Belgium,3,BEL,56,1,0,1,0,0,59.33,40.67,3,0,0,1,0,53.89,46.11,0,41.43,35.56,76.99,2,1965,Belgium,23885,91.6,28.3,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1965,Belgium,30.2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1965,Belgium,3.3,0.748018,0.721918,3.968537435,3.596061593,0.372475842,0.093857208,2.406241883,1965,Belgium,,,,,,,,,,,,,,,,1965,Belgium,3,1,0,0,2,3,0,0,1965,Belgium,,73.89607,,,3.586145174,8.987,4.065198949,,81.72077,,,,6.438333333,,1965,Belgium,3786,3684,3621,63.007061,60.26111984,230,1700,1691,56.20000076,1.600000024,1965,Belgium,43,18.8,70.13,18.52350766,1423.1,1122.5,37.766072,80,1423.1,1122.5,37.766072,80,1965,Belgium,12.4,,,,,,,,,,,,,1965,Belgium,,,,,,,,,,,,,,,,,1965,Belgium,,,,,,9463.666992,6008.850098,1195.790039,12.6355896,1965,Belgium
1966,Belgium,3,BEL,56,1,0,1,0,28.97,62.48,8.55,2,1,-1,1,30.17,60.12,9.7,17.77,36.3,6.45,60.52,2,1966,Belgium,,91.6,28.3,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1966,Belgium,30.2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1966,Belgium,3.3,0.748018,0.721918,3.968537435,3.596061593,0.372475842,0.093857208,2.406241883,1966,Belgium,,,,,,,,,,,,,,,,1966,Belgium,3,1,0,0,2,3,0,0,1966,Belgium,,74.801,,,3.106993786,7.371,4.174351161,,78.32164,,,,6.651666667,,1966,Belgium,3805,3702,3635,63.09769058,60.27861023,216,1686,1733,59.79999924,1.700000048,1966,Belgium,74,41.6,533.24,140.1419185,1458.7,1143.8,38.18438662,,1458.7,1143.8,38.18438662,81,1966,Belgium,12.8,,,,,,,,,,,,,1966,Belgium,,,,,,,,,,,,,,,,,1966,Belgium,,,,,,9527.806641,6030.332031,1220.212036,12.80685043,1966,Belgium
1967,Belgium,3,BEL,56,1,0,1,0,36.84,63.16,0,1,1,-1,0,38.37,61.63,0,22.6,36.3,0,58.9,2,1967,Belgium,,91.6,28.3,0,0,0,0,0,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.5,0,0,0,0,0,0,21.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,1967,Belgium,30.2,0,0,0,0,0,0,0,0,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.3,0,0,0,0,0,0,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,1967,Belgium,3.3,0.748018,0.721918,3.968537435,3.596061593,0.372475842,0.093857208,2.406241883,1967,Belgium,,,,,,,,,,,,,,,,1967,Belgium,3,1,0,0,2,3,0,0,1967,Belgium,,73.89609,,,3.868788989,7.185,2.730299028,,76.20865,,,,6.684166667,,1967,Belgium,3813,3710,3618,63.04132843,59.81734085,209,1647,1762,84.59999847,2.400000095,1967,Belgium,58,37.6,181.71,47.65538946,1494.3,1164.1,39.06857119,,1494.3,1164.1,39.06857119,82,1967,Belgium,13,,,,,,,,,,,,,1967,Belgium,,,,,,,,,,,,,,,,,1967,Belgium,,,,,,9580.990234,6048.413086,1245.031982,12.99481964,1967,Belgium
1968,Belgium,3,BEL,56,1,0,1,0,17.01,61.06,21.93,2,1,1,1,17.72,57.51,24.77,10.44,34.31,14.96,59.71,2,1968,Belgium,24928,90,28,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11.7,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,2.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1968,Belgium,27.8,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,9,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,3.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1968,Belgium,3.8,0.811756,0.798559,5.312254308,4.964232703,0.348021605,0.065512979,3.506422678,1968,Belgium,,,,,,,,,,,,,,,,1968,Belgium,3,1,0,0,2,3,0,0,1968,Belgium,,78.77016,,,4.172230201,6.925,2.70145519,,76.77212,,,,6.545,,1968,Belgium,3826,3725,3615,63.08481979,59.60575104,201,1622,1792,98.90000153,2.799999952,1968,Belgium,71,29.3,364.36,95.23261892,1534,1186,39.80356107,,1534,1186,39.80356107,83,1968,Belgium,14,,,,,,,,,,,,,1968,Belgium,,,,,,,,,,,,,,,,,1968,Belgium,,,,,,9618.754883,6064.851074,1264.511963,13.14632034,1968,Belgium
1969,Belgium,3,BEL,56,1,0,1,0,0,59.26,40.74,3,1,1,0,0,53.97,46.03,0,32.6,27.8,60.4,2,1969,Belgium,,90,28,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,11.7,0,0,0,0,20.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8,2.5,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1969,Belgium,27.8,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6,9,0,0,0,0,22.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,3.3,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1969,Belgium,3.8,0.811756,0.798559,5.312254308,4.964232703,0.348021605,0.065512979,3.506422678,1969,Belgium,,,,,,,,,,,,,-0.2932745,0.4272862,-0.9343958,1969,Belgium,3,1,0,0,2,3,0,0,1969,Belgium,,84.63708,,,6.623164179,10.92,3.753991721,72.46005345,72.45962134,,,,7.293333333,,1969,Belgium,3866,3771,3683,63.58671951,60.57678986,191,1652,1840,78.5,2.200000048,1969,Belgium,88,37,162.898,42.13605794,1581.3,1216.1,39.77121976,,1581.3,1216.1,39.77121976,84,1969,Belgium,13.7,,,,,,,,,,,,,1969,Belgium,,,,,,,,,,,,,,,,,1969,Belgium,,,,,,9646.032227,6079.88623,1280.520996,13.27511024,1969,Belgium
