year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Bulgaria,4,BGR,100,0,1,0,0,6.74,0,86.52,4,1,,1,10.47,0,89.53,9.71,0,52.7,62.41,1,1990,Bulgaria,33041,90.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,6,0,0,0,0,0,0,0,0,0,0,36.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6,1990,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.7,0,4,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1990,Bulgaria,8.5,0.636172,0.587707,2.748551513,2.425459564,0.323091949,0.117549898,4.423234111,1990,Bulgaria,,,,,,,,,,,,,,,,1990,Bulgaria,,,,,,,,,1990,Bulgaria,,73.8708,,,,,,,67.34389,,,,,,1990,Bulgaria,,,,,,,,,,,1990,Bulgaria,,,,,2681,2681,81.24242424,,2681,2681,81.24242424,,1990,Bulgaria,,,,,,,,,,,,,,1990,Bulgaria,,,,,,,,,,,,,,,,,1990,Bulgaria,,,,,,8718.3,5797.516,1148.617,13.17478178,1990,Bulgaria
1991,Bulgaria,4,BGR,100,0,1,0,0,38.46,0,37.87,3,1,-1,1,51.56,0,48.44,40.87,0,44.9,85.78,6,1991,Bulgaria,33524,83.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,0,0,3.9,3.5,0,0,0,0,0,0,0,0,34.4,0,0,0,0,0,0,3.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1991,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1991,Bulgaria,8.5,0.761773,0.583955,4.197677006,2.403586151,1.794090855,0.427400882,12.38466794,1991,Bulgaria,,,,,,,,,,,,,,,,1991,Bulgaria,,0,0,1,2,1,0,1,1991,Bulgaria,,66.95648,,,,199.2015968,,,135.8672,,,,,1.5,1991,Bulgaria,,,,,,,,,,,1991,Bulgaria,,,,, , , ,,2613.273667,2517.966667,76.3020202,,1991,Bulgaria,,,,,,,,,,,,,,1991,Bulgaria,,,,,,,,,,,,,,,,,1991,Bulgaria,,,,,,8632.3,5743.918,1174.575,13.60674444,1991,Bulgaria
1992,Bulgaria,4,BGR,100,0,1,0,0,99.45,0,0,1,1,-2,1,99.45,0,0,45.65,0,0,45.65,4,1992,Bulgaria,,83.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,0,0,3.9,3.5,0,0,0,0,0,0,0,0,34.4,0,0,0,0,0,0,3.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1992,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1992,Bulgaria,12.9,0.761773,0.583955,4.197677006,2.403586151,1.794090855,0.427400882,12.38466794,1992,Bulgaria,,,,,,,,,,,,,,,,1992,Bulgaria,,0,0,1,2,1,0,1,1992,Bulgaria,,79.4131,,,-7.251878465,47.96531021,,,172.1928,,,,,-6.5,1992,Bulgaria,,,,,,,,,,,1992,Bulgaria,,,,, , , ,,2545.547333,2354.933333,71.36161616,,1992,Bulgaria,,,,,,,,,,,,,,1992,Bulgaria,,,,,,,,,,,,,,,,,1992,Bulgaria,,,,,,8540.1,5692.199,1198.316,14.03163897,1992,Bulgaria
1993,Bulgaria,4,BGR,100,0,1,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,7,1993,Bulgaria,,83.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.1,0,0,3.9,3.5,0,0,0,0,0,0,0,0,34.4,0,0,0,0,0,0,3.2,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,1993,Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.2,0,0,0,0,0,0,0,0,0,0,0,0,45.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1993,Bulgaria,12.9,0.761773,0.583955,4.197677006,2.403586151,1.794090855,0.427400882,12.38466794,1993,Bulgaria,,,,,,,,,,,,,,,,1993,Bulgaria,,0,0,1,2,1,0,1,1993,Bulgaria,,66.27804,,,-1.480338922,48.82777277,,,292.3038,,,,,-10,1993,Bulgaria,,,,,,,,,,,1993,Bulgaria,,,,,2477.821,2191.9,66.42121212,,2477.821,2191.9,66.42121212,,1993,Bulgaria,,,,,,,,,,,,,,1993,Bulgaria,,,,,,,,,,,,,,,,,1993,Bulgaria,,,,,,8472.3,5657.087,1221.14,14.41332342,1993,Bulgaria
1994,Bulgaria,4,BGR,100,0,1,0,0,0,0,0,,,,1,0,0,0,0,0,0,0,7,1994,Bulgaria,34686,75.2,3.8,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,6.5,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,1994,Bulgaria,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,7.5,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,Bulgaria,12.9,0.741417,0.633105,3.867230251,2.725575437,1.141654814,0.295212527,7.478636239,1994,Bulgaria,,,,,,,,,,,,,,,,1994,Bulgaria,,0,0,1,2,1,0,1,1994,Bulgaria,0.165697,72.70599,,,1.817854286,75.82550742,,,173.9086,,,,,0.8,1994,Bulgaria,,,,,,,,,,,1994,Bulgaria,,,,, , , ,,2064.51575,1850.075,57.96807599,,1994,Bulgaria,,,,,,,,,,,,,,1994,Bulgaria,,,,,,,,,,,,,,,,,1994,Bulgaria,,,,,,8443.6,5650.137,1242.756,14.7183192,1994,Bulgaria
1995,Bulgaria,4,BGR,100,0,1,0,0,0,0,51.9,5,1,4,1,0,0,93.42,0,0,48.67,48.67,1,1995,Bulgaria,,75.2,3.8,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,6.5,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,1995,Bulgaria,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,7.5,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,Bulgaria,13.3,0.741417,0.633105,3.867230251,2.725575437,1.141654814,0.295212527,7.478636239,1995,Bulgaria,,,,,,,,,,,,,,,,1995,Bulgaria,,0,0,1,2,1,0,1,1995,Bulgaria,0.165697,72.71288,41.3,34,2.860347101,67.03997243,,,105.2738,,,,,-0.2,1995,Bulgaria,3861.37,,,68.47316113,,777.68,1913.19,1623.69,342.7999878,10,1995,Bulgaria,,,,, , , ,,1651.2105,1508.25,49.51493985,,1995,Bulgaria,9.1477314,,,,,,,,,,,,,1995,Bulgaria,,,,,,,,,,,,,,,,,1995,Bulgaria,,,,,,8406.07,5639.246,1262.089,15.01401963,1995,Bulgaria
1996,Bulgaria,4,BGR,100,0,1,0,0,0,0,55.56,5,0,0,0,0,0,100,0,0,52.1,52.1,1,1996,Bulgaria,,75.2,3.8,43.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.2,6.5,0,0,0,0,0,0,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9,1996,Bulgaria,0,52.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.8,7.5,0,0,0,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,Bulgaria,13.3,0.741417,0.633105,3.867230251,2.725575437,1.141654814,0.295212527,7.478636239,1996,Bulgaria,,,,,,,,,,,,,,,,1996,Bulgaria,,0,0,1,2,1,0,1,1996,Bulgaria,0.2260998,104.3681,43.1,33.2,1.566731137,85.50799381,,,142.6192,,,,,1.1,1996,Bulgaria,3943.87,,,70.08131228,,813.83,1901.8,1697.35,328.8999939,9.5,1996,Bulgaria,,,,, , , ,,1237.90525,1166.425,41.06180372,,1996,Bulgaria,9.0388443,,,,,,,,,,,,,1996,Bulgaria,,,,,,,,,,,,,,,,,1996,Bulgaria,,,,,,8362.83,5627.563,1275.827,15.25592413,1996,Bulgaria
1997,Bulgaria,4,BGR,100,0,1,0,0,63.22,0,6.39,2,1,-3,2,88.49,0,11.51,42.87,0,6,48.86,1,1997,Bulgaria,35539,58.9,0,22.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1997,Bulgaria,0,24.2,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1997,Bulgaria,10.8,0.692979,0.604431,3.257106191,2.528003964,0.729102228,0.223849695,5.764546817,1997,Bulgaria,,,,,,,,,,,,,,,,1997,Bulgaria,,0,0,1,2,1,0,1,1997,Bulgaria,0.2260998,87.39325,30.5,31.2,-1.088713727,946.9780373,,97.3,97.3,0.8,7.3,,,5.4,1997,Bulgaria,3920.71,,,69.85190692,,817.64,1806.71,1643.45,416.7999878,11.89999962,1997,Bulgaria,,,,,824.6,824.6,32.60866758,,824.6,824.6,32.60866758,,1997,Bulgaria,8.0800088,,,,,,,,,,,,,1997,Bulgaria,,,,,,,,,,,,,,,,,1997,Bulgaria,,,,,,8312.07,5612.889,1286.647,15.47926088,1997,Bulgaria
1998,Bulgaria,4,BGR,100,0,1,0,0,100,0,0,1,1,-1,0,100,0,0,57,0,0,57,1,1998,Bulgaria,,58.9,0,22.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1998,Bulgaria,0,24.2,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1998,Bulgaria,10.8,0.692979,0.604431,3.257106191,2.528003964,0.729102228,0.223849695,5.764546817,1998,Bulgaria,,,,,,,,,,,,,,,,1998,Bulgaria,,0,0,1,2,1,0,1,1998,Bulgaria,0.2260998,79.15009,34.7,35.8,3.46283599,36.78458197,18.67938582,69.3,69.3,1.1,4.8,,,-0.2,1998,Bulgaria,3830.31,,,68.48358154,,844.29,1798.33,1584.4,362.3999939,10.89999962,1998,Bulgaria,,,,,776.917,776.917,29.68348476,,776.917,776.917,29.68348476,,1998,Bulgaria,9.1477565,,,,,,,,,,,,,1998,Bulgaria,,,,,,,,,,,,,,,,,1998,Bulgaria,,,,,,8256.79,5593.034,1299.62,15.74001519,1998,Bulgaria
1999,Bulgaria,4,BGR,100,0,1,0,0,98.49,0.38,0,1,0,0,0,100,0,0,57,0,0,57,1,1999,Bulgaria,,58.9,0,22.4,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.2,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.1,1999,Bulgaria,0,24.2,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1999,Bulgaria,10.8,0.692979,0.604431,3.257106191,2.528003964,0.729102228,0.223849695,5.764546817,1999,Bulgaria,,,,,,,,,,,,,-0.1398601,-0.8064516,0.5840975,1999,Bulgaria,,0,0,1,2,1,0,1,1999,Bulgaria,0.2260998,90.95776,39.6,39.7,-6.689747198,-3.713640105,2.571792093,76.1,76.1,0.1,3.7,,,-4.7,1999,Bulgaria,3720.04,,,66.72892241,,797.7,1577.93,1606.45,401.8999939,12.30000019,1999,Bulgaria,,,,, , , ,,663.2585,663.2585,26.34981017,,1999,Bulgaria,10.966424,,,,,,,,,,,,,1999,Bulgaria,,,,,,,,,,,,,,,,,1999,Bulgaria,,,,,,8210.62,5574.854,1314.944,16.01516085,1999,Bulgaria
