year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Canada,5,CAN,124,1,0,0,0,100,0,0,1,0,0,0,100,0,0,78.5,0,0,78.5,1,1960,Canada,,80.6,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1960,Canada,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1960,Canada,1.9,0.590107,0.34865,2.439661082,1.535272895,0.904388188,0.370702387,21.17817273,1960,Canada,-1,1.73,2.52,88.4,8.1,11.56,3.25,5,3,4,3.4,0.52,,,,1960,Canada,3,5,2,0,0,3,0,1,1960,Canada,,34.57042,,,,,1.358695652,,65.63412,,,,5.188333333,,1960,Canada,6530,6411,5965,60.87443161,55.6073494,795,1977,3193,446.0840149,6.877550125,1960,Canada,274,49.4,738.7,113.1240429,1459,1459,29.1625025,31.78712772,1459,1459,29.1625025,31.78712772,1960,Canada,7.9,,,,,,,,,,,,,1960,Canada,,,,,,,,,,,,,,,,,1960,Canada,,,,,,17909,10727,1371,7.655368805,1960,Canada
1961,Canada,5,CAN,124,1,0,0,0,100,0,0,1,0,0,0,100,0,0,78.5,0,0,78.5,1,1961,Canada,,80.6,9.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1961,Canada,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1961,Canada,1.9,0.590107,0.34865,2.439661082,1.535272895,0.904388188,0.370702387,21.17817273,1961,Canada,,,,,,,,,,,,,,,,1961,Canada,3,5,2,0,0,3,0,1,1961,Canada,,35.25742,,,3.059,3.603,1.018766756,68.16629482,68.16629482,-2.74937459,-2.028028077,,5.058333333,,1961,Canada,6642,6521,6055,60.92459869,55.54027176,785,1977,3293,466.3120117,7.067137718,1961,Canada,287,98,1335.08,201.0057212,1447,1447,28.51793457,31.08454868,1447,1447,28.51793457,31.08454868,1961,Canada,6.8,,,,,,,,,,,,,1961,Canada,,,,,,,,,,,,,,,,,1961,Canada,,,,,,18269,10902,1405,7.690622807,1961,Canada
1962,Canada,5,CAN,124,1,0,0,0,100,0,0,1,0,0,1,100,0,0,64.72,0,0,64.72,1,1962,Canada,22815,80.1,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.2,11.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,1962,Canada,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1962,Canada,1.9,0.690573,0.648074,3.231780032,2.841506453,0.390273579,0.120761183,6.416774891,1962,Canada,,,,,,,,,,,,,,,,1962,Canada,3,5,2,0,0,3,0,1,1962,Canada,,35.0708,,,6.993868974,8.489,1.061571125,67.15691209,67.15691209,-2.597111833,-1.598567111,,5.099166667,,1962,Canada,6741,6615,6225,60.69691849,56.05078888,757,2049,3419,390.7219849,5.837147236,1962,Canada,311,74.3,1417.9,210.3397122,1423,1423,27.06867034,29.50485068,1423,1423,27.06867034,29.50485068,1962,Canada,6.7,,,,,,,,,,,,,1962,Canada,,,,,,,,,,,,,,,,,1962,Canada,,,,,,18615,11106,1433,7.698092937,1962,Canada
1963,Canada,5,CAN,124,1,0,0,0,30.41,69.59,0,1,0,0,1,30.41,69.59,0,13.32,33.89,0,47.21,4,1963,Canada,23109,80.3,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1963,Canada,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1963,Canada,2.3,0.687205,0.62229,3.196982049,2.647533822,0.549448227,0.171864658,7.44076609,1963,Canada,,,,,,,,,,,,,,,,1963,Canada,3,5,2,0,0,3,0,1,1963,Canada,,34.96292,,,5.30707156,7.382,1.628151261,67.04635912,67.04635912,-2.306040324,-1.390713288,,5.090833333,,1963,Canada,6871,6748,6375,60.68180084,56.30133057,754,2103,3518,374.7529907,5.486259937,1963,Canada,332,83.4,917.14,133.4798428,1449,1449,26.76394533,29.17270041,1449,1449,26.76394533,29.17270041,1963,Canada,6.4,,,,,,,,,,,,,1963,Canada,,,,,,,,,,,,,,,,,1963,Canada,,,,,,18965,11323,1462,7.708938122,1963,Canada
1964,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,48.7,0,48.7,4,1964,Canada,,80.3,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.7,11.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1964,Canada,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.7,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1964,Canada,2.3,0.687205,0.62229,3.196982049,2.647533822,0.549448227,0.171864658,7.44076609,1964,Canada,,,,,,,,,,,,,,,,1964,Canada,3,5,2,0,0,3,0,1,1964,Canada,,36.65163,,,6.474735645,9.559,1.912144703,63.65066345,63.65066345,-0.677462939,0.140820948,,5.184166667,,1964,Canada,7052,6933,6609,60.91387939,57.08732986,738,2213,3658,324.7149963,4.627073765,1964,Canada,343,100.5,1580.55,224.127907,1493,1493,26.43881707,28.81831061,1493,1493,26.43881707,28.81831061,1964,Canada,6.2,,,,,,,,,,,,,1964,Canada,,,,,,,,,,,,,,,,,1964,Canada,,,,,,19325,11577,1493,7.725743771,1964,Canada
1965,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,1,0,100,0,0,48.73,0,48.73,4,1965,Canada,24054,75.9,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,3.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1965,Canada,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,1.9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1965,Canada,1.5,0.697801,0.61425,3.309077793,2.59235256,0.716725233,0.216593649,10.17865414,1965,Canada,,,,,,,,,,,,,,,,1965,Canada,3,5,2,0,0,3,0,1,1965,Canada,,36.54803,,,6.36773795,10.25,2.332657201,60.11988325,60.11988325,-0.245123425,0.241670982,,5.199166667,,1965,Canada,7253,7141,6862,61.20674896,57.90716934,694,2307,3861,280,3.873823881,1965,Canada,501,171.9,2349.87,323.9859369,1589,1589,26.70588235,29.10941176,1589,1589,26.70588235,29.10941176,1965,Canada,6.1,,,,,,,,,,,,,1965,Canada,,,,,,,,,,,,,,,,,1965,Canada,,,,,,19678,11850,1522,7.734526157,1965,Canada
1966,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,49.4,0,49.4,4,1966,Canada,,75.9,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,3.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1966,Canada,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,1.9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1966,Canada,1.5,0.697801,0.61425,3.309077793,2.59235256,0.716725233,0.216593649,10.17865414,1966,Canada,,,,,,,,,,,,,,,,1966,Canada,3,5,2,0,0,3,0,1,1966,Canada,,37.97728,,,6.645001619,11.874,3.815659068,56.58303939,56.58303939,-0.06942516,0.506032275,,5.685,,1966,Canada,7599,7493,7242,62.26647186,59.34120178,646,2438,4158,251,3.349793196,1966,Canada,617,411.5,5178.17,681.4278194,1736,1736,27.5686835,30.04986502,1736,1736,27.5686835,30.04986502,1966,Canada,6,,,,,,,,,,,,,1966,Canada,,,,,,,,,,,,,,,,,1966,Canada,,,,,,20048,12204,1558,7.771348953,1966,Canada
1967,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,49.4,0,49.4,4,1967,Canada,,75.9,17.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2,3.7,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,1967,Canada,7.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.4,1.9,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,1967,Canada,1.5,0.697801,0.61425,3.309077793,2.59235256,0.716725233,0.216593649,10.17865414,1967,Canada,,,,,,,,,,,,,,,,1967,Canada,3,5,2,0,0,3,0,1,1967,Canada,,38.84086,,,2.915359348,7.531,3.579952267,56.88866849,56.88866849,-0.823553043,-0.212344687,,5.898333333,,1967,Canada,7853,7747,7451,62.58866882,59.3847084,663,2413,4375,296,3.820833921,1967,Canada,522,252,3974.76,506.1454221,1921,1921,29.58570769,32.24842138,1921,1921,29.58570769,32.24842138,1967,Canada,6.9,,,,,,,,,,,,,1967,Canada,,,,,,,,,,,,,,,,,1967,Canada,,,,,,20412,12547,1594,7.809132099,1967,Canada
1968,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,2,0,100,0,0,53.92,0,53.92,1,1968,Canada,25014,75.7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1968,Canada,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1968,Canada,0.4,0.663543,0.571204,2.972148001,2.332111307,0.640036694,0.215344826,11.5661143,1968,Canada,,,,,,,,,,,,,,,,1968,Canada,3,5,2,0,0,3,0,1,1968,Canada,,40.47139,,,4.879922139,9.238,4.055299539,55.87284477,55.87284477,-0.447912151,0.07093037,,6.725,,1968,Canada,8051,7951,7593,62.51261902,58.95643997,650,2412,4531,358,4.502578259,1968,Canada,582,223.6,5082.73,631.3166066,2010,2010,30.1530153,32.86678668,2010,2010,30.1530153,32.86678668,1968,Canada,7.3,,,,,,,,,,,,,1968,Canada,,,,,,,,,,,,,,,,,1968,Canada,,,,,,20729,12879,1630,7.863379955,1968,Canada
1969,Canada,5,CAN,124,1,0,0,0,0,100,0,1,0,0,0,0,100,0,0,58.7,0,58.7,1,1969,Canada,,75.7,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.5,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,1969,Canada,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.7,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,1969,Canada,0.4,0.663543,0.571204,2.972148001,2.332111307,0.640036694,0.215344826,11.5661143,1969,Canada,,,,,,,,,,,,,-0.7937528,-1.48413,0.1492356,1969,Canada,3,5,2,0,0,3,0,1,1969,Canada,,41.65781,,,5.033000327,10.121,4.561558902,53.03559067,53.03559067,1.196540412,1.561586639,,7.558333333,,1969,Canada,8291,8194,7832,62.84870148,59.36931992,636,2485,4711,362,4.417866707,1969,Canada,595,307,7751.88,934.9752744,2075,2075,30.10300305,32.81227332,2075,2075,30.10300305,32.81227332,1969,Canada,7.7,,,,,,,,,,,,,1969,Canada,,,,,,,,,,,,,,,,,1969,Canada,,,,,,21028,13192,1673,7.956058979,1969,Canada
