year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
2000,Croatia,6,HRV,191,0,1,0,0,37.5,12.5,45.83,3,1,,0,31.14,17.78,51.08,18.57,10.6,30.46,59.63,2,2000,Croatia,36528,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,39.2,14.9,0,13.6,2000,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,47,15.9,0,3.3,2000,Croatia,20.5,0.748426,0.659705,3.974973566,2.93862678,1.036346787,0.260717907,6.248599843,2000,Croatia,,,,,,,,,,,,,,,,2000,Croatia,,1,0,1,2,3,0,1,2000,Croatia,0.4145133,76.05695,,,3.767479464,8.369363081,4.452536412,,34.88378,,,,,-2.4,2000,Croatia,1824.04,,,,,246.668,713.817,820.17,284,15.60000038,2000,Croatia,,,,,440.439,440.4,37.24957713,,440.439,440.4,37.24957713,,2000,Croatia,,,,,,,,,,,,,,2000,Croatia,,,,,,,,,,,,,,,,,2000,Croatia,,,,,,4426.23,,,,2000,Croatia
2001,Croatia,6,HRV,191,0,1,0,0,36.87,12.5,46.92,3,0,0,1,30.31,17.99,51.7,17.88,10.6,30.46,58.94,2,2001,Croatia,,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,39.2,14.9,0,13.6,2001,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,47,15.9,0,3.3,2001,Croatia,20.5,0.748426,0.659705,3.974973566,2.93862678,1.036346787,0.260717907,6.248599843,2001,Croatia,,,,,,,,,,,,,,,,2001,Croatia,,0,0,1,2,1,0,1,2001,Croatia,0.4145133,80.84477,45.4,43.3,3.434437998,7.783971341,4.260332217,,34.73963,,,,,-3,2001,Croatia,1830.764,,,63.57402206,,235.833,711.381,835.786,283,16,2001,Croatia,,,,,,,,,444.5275,444.5,37.44498819,,2001,Croatia,13.1143647,,,,,,,,,,,,,2001,Croatia,,,,,,,,,,,,,,,,,2001,Croatia,,,,,,4300.45,2879.736,678.977,15.7885105,2001,Croatia
2002,Croatia,6,HRV,191,0,1,0,0,30.42,14.27,55.31,3,0,0,1,22.47,20.02,57.51,12.25,10.6,30.46,53.31,3,2002,Croatia,,72.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,0,0,0,0,39.2,14.9,0,13.6,2002,Croatia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,47,15.9,0,3.3,2002,Croatia,20.5,0.748426,0.659705,3.974973566,2.93862678,1.036346787,0.260717907,6.248599843,2002,Croatia,,,,,,,,,,,,,,,,2002,Croatia,,0,0,1,2,1,0,1,2002,Croatia,0.4145133,83.21899,47.8,44.3,5.246473209,8.909573647,2.534301902,36.6,36.6,-3.5,-1.7,,,-7.3,2002,Croatia,1834.363,,,63.75217476,,228.832,714.664,847.497,274,15.30000019,2002,Croatia,,,,,,,,,448.616,448.6,37.64039926,,2002,Croatia,16.0722486,,,,,,,,,,,,,2002,Croatia,,,,,,,,,,,,,,,,,2002,Croatia,,,,,,4305.44,2877.334,717.123,16.65620703,2002,Croatia
2003,Croatia,6,HRV,191,0,1,0,0,20.48,18.39,60.96,3,0,0,2,16.64,23.32,60.04,8.26,11.41,29.71,49.38,5,2003,Croatia,37948,62.1,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13.8,2003,Croatia,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3.9,2003,Croatia,20.5,0.815042,0.718881,5.406632857,3.557212426,1.849420431,0.342065104,10.2774024,2003,Croatia,,,,,,,,,,,,,,,,2003,Croatia,,0,0,1,2,1,0,1,2003,Croatia,0.6979864,85.21915,47.1,42.4,5.557888827,9.832332527,2.398569628,38.1,38.1,-4.7,-2.9,,,-6.2,2003,Croatia,1875.913,,,65.24674221,,249.868,732.288,874.005,255,14.10000038,2003,Croatia,,,,,,,,,452.7045,452.7,37.83581032,,2003,Croatia,13.3343346,,,,,,,,,,,,,2003,Croatia,,,,,,,,,,,,,,,,,2003,Croatia,,,,,,4305.55,2875.106,729.977,16.95432639,2003,Croatia
2004,Croatia,6,HRV,191,0,1,0,0,6.67,86.67,0,1,1,-2,0,1.5,98.5,0,0.66,43.42,0,44.08,5,2004,Croatia,,62.1,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13.8,2004,Croatia,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3.9,2004,Croatia,21.7,0.815042,0.718881,5.406632857,3.557212426,1.849420431,0.342065104,10.2774024,2004,Croatia,,,,,,,,,,,,,,,,2004,Croatia,,0,0,1,2,1,0,1,2004,Croatia,0.6979864,84.92487,47.1,41.9,4.082824401,7.956917619,2.143617926,40.4,40.4,-5.2,-3.3,,,-4.3,2004,Croatia,1899.922,,,66.05400797,,243.212,742.932,891.604,255,13.80000019,2004,Croatia,,,,,456.793,456.8,38.03122138,,456.793,456.8,38.03122138,,2004,Croatia,13.5702145,,,,,,,,,,,,,2004,Croatia,,,,,,,,,,,,,,,,,2004,Croatia,,,,,,4308.29,2876.316,741.283,17.20596803,2004,Croatia
2005,Croatia,6,HRV,191,0,1,0,0,6.67,86.67,0,1,0,0,0,1.5,98.5,0,0.66,43.42,0,44.08,5,2005,Croatia,,62.1,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13.8,2005,Croatia,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3.9,2005,Croatia,21.7,0.815042,0.718881,5.406632857,3.557212426,1.849420431,0.342065104,10.2774024,2005,Croatia,,,,,,,,,,,,,,,,2005,Croatia,,0,0,1,2,1,0,1,2005,Croatia,0.6979864,84.72784,45.4,41.6,4.163699159,7.700264516,2.995280274,41.3,41.3,-3.9,-2,,,-5.3,2005,Croatia,1897.651,,,65.96587915,,234.744,744.068,905.251,241,13,2005,Croatia,,,,,,,,,451.52775,451.6,37.02310412,,2005,Croatia,12.5306292,,,,,,,,,,,,,2005,Croatia,,,,,,,,,,,,,,,,,2005,Croatia,,,,,,4311.67,2876.716,751.445,17.42816588,2005,Croatia
2006,Croatia,6,HRV,191,0,1,0,0,0.73,92.6,0,1,0,0,1,0.16,99.84,0,0.07,43.42,0,43.49,4,2006,Croatia,,62.1,22.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,33.9,0,0,0,0,0,0,8,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,13.8,2006,Croatia,28.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,43.4,0,0,0,0,0,0,0,7.2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3.9,2006,Croatia,21.7,0.815042,0.718881,5.406632857,3.557212426,1.849420431,0.342065104,10.2774024,2006,Croatia,,,,,,,,,,,,,,,,2006,Croatia,,0,0,1,2,1,0,1,2006,Croatia,0.6979864,86.06567,45.3,41.9,4.785259073,8.97361164,3.288134532,38.9,38.9,-3.4,-1.5,,4.43,-6.6,2006,Croatia,1935.602,,,67.26370849,,234.675,767.324,947.221,215,11.60000038,2006,Croatia,,,,,,,,,446.2625,446.4,36.01498686,,2006,Croatia,13.2842684,,,,,,,,,,,,,2006,Croatia,,,,,,,,,,,,,,,,,2006,Croatia,,,,,,4313.01,2877.632,758.909,17.59580896,2006,Croatia
2007,Croatia,6,HRV,191,0,1,0,0,0,93.33,0,1,0,0,0,0,100,0,0,43.42,0,43.42,4,2007,Croatia,39411,59.5,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,11.2,2007,Croatia,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,8.4,2007,Croatia,20.9,0.75632,0.675316,4.103742613,3.079917705,1.023824909,0.249485654,8.925245095,2007,Croatia,,,,,,,,,,,,,,,,2007,Croatia,,0,0,1,2,1,0,1,2007,Croatia,0.6979864,85.26846,45,42.5,5.149996664,9.466405377,2.658945517,37.7,37.7,-2.4,-0.5,,4.93,-7.2,2007,Croatia,1934.71,,,67.24703591,,233.33,795.1,985.34,190,9.899999619,2007,Croatia,,,,,,,,,440.99725,441.2,35.0068696,,2007,Croatia,12.5898437,,,,,,,,,,,,,2007,Croatia,,,,,,,,,,,,,,,,,2007,Croatia,,,,,,4312.75,2877.019,765.396,17.74728422,2007,Croatia
2008,Croatia,6,HRV,191,0,1,0,0,5.39,86.5,0,1,0,0,1,6.36,93.64,0,3.2,46.89,0,50.09,2,2008,Croatia,,59.5,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,11.2,2008,Croatia,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,8.4,2008,Croatia,20.9,0.75632,0.675316,4.103742613,3.079917705,1.023824909,0.249485654,8.925245095,2008,Croatia,,,,,,,,,,,,,,,,2008,Croatia,,0,0,1,2,1,0,1,2008,Croatia,0.6979864,84.99464,44.7,42,2.053368491,7.8729892,5.803307738,39.6,39.6,-2.8,-0.8,,6.04,-8.8,2008,Croatia,1946.13,,,67.69314999,,226.93,877.78,1006.09,166,8.600000381,2008,Croatia,,,,,435.732,436,33.99875234,,435.732,436,33.99875234,,2008,Croatia,12.1786387,18,12.5,5.5,4.9,1.9,3.2,6.3,1.3,,0.2,0,0.1,2008,Croatia,,,,,,,,,,,,,,,,,2008,Croatia,,,,,,4312.76,2874.929,769.83,17.85005426,2008,Croatia
2009,Croatia,6,HRV,191,0,1,0,0,5.28,78.87,0,1,0,0,1,6.53,93.47,0,3.29,47,0,50.29,2,2009,Croatia,,59.5,31.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0,0,0,0,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,0,0,4.1,0,0,0,0,0,0,11.2,2009,Croatia,36.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,43.1,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0.7,0.7,0,0,0,0,0,8.4,2009,Croatia,23.5,0.75632,0.675316,4.103742613,3.079917705,1.023824909,0.249485654,8.925245095,2009,Croatia,,,,,,,,,,,,,0.0986147,-0.724319,0.8568886,2009,Croatia,,0,0,1,2,1,0,1,2009,Croatia,0.6979864,72.7618,47.6,41.6,-7.383783568,-4.808720537,2.224703419,49,49,-6,-3.7,,7.83,-4.9,2009,Croatia,1946.99,,,67.7284115,,234.13,816.86,1022.31,180,9.300000191,2009,Croatia,,,,,423.964,423.964,33.68536469,60,423.964,423.964,33.68536469,60,2009,Croatia,13.7111197,20.2,13.8,6.4,5.4,2.1,3.6,7.1,1.5,,0.4,0,0.1,2009,Croatia,,,,,,,,,,,,,,,,,2009,Croatia,,,,,,4307.28,2874.702,769.261,17.85955406,2009,Croatia
