year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1976,Cyprus,7,CYP,196,0,0,0,0,,,,,,,,,,,,,,,,1976,Cyprus,05/09/1976,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0,1.2,1976,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,2.9,1976,Cyprus,0.0,0.42,0.06,1.71,1.06,0.65,0.38,26.76,1976,Cyprus,,,,,,,,,,,,,,,,1976,Cyprus,,1,0,4,2,1,0,1,1976,Cyprus,0.17,156.21,,,,29.92,,,,,,,,,1976,Cyprus,,,,,,,,,,,1976,Cyprus,9.00,1.00,2.68,,87.66,,,,87.66,,,,1976,Cyprus,,,,,,,,,,,,,,1976,Cyprus,,,,,,,,,,,,,,,,,1976,Cyprus,,,,,,497.95,,,,1976,Cyprus
1977,Cyprus,7,CYP,196,0,0,0,0,,,,,,,,,,,,,,,,1977,Cyprus,,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0,1.2,1977,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,2.9,1977,Cyprus,0.0,0.42,0.06,1.71,1.06,0.65,0.38,26.76,1977,Cyprus,,,,,,,,,,,,,,,,1977,Cyprus,,1,0,4,2,1,0,1,1977,Cyprus,0.17,160.41,,,,26.72,,,,,,,,,1977,Cyprus,,,,,,,,,,,1977,Cyprus,7.00,1.00,2.47,,,,,,100.23,,,,1977,Cyprus,,,,,,,,,,,,,,1977,Cyprus,,,,,,,,,,,,,,,,,1977,Cyprus,,,,,,497.80,,,,1977,Cyprus
1978,Cyprus,7,CYP,196,0,0,0,0,44.68,0.00,14.89,2,,,1,68.84,0.00,13.08,49.15,0.00,9.34,58.49,1,1978,Cyprus,,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0,1.2,1978,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,2.9,1978,Cyprus,0.0,0.42,0.06,1.71,1.06,0.65,0.38,26.76,1978,Cyprus,,,,,,,,,,,,,,,,1978,Cyprus,,1,0,4,2,1,0,1,1978,Cyprus,0.17,145.97,,,,19.71,,,,,,,,,1978,Cyprus,,,,,,,,,,,1978,Cyprus,14.00,8.00,9.17,,112.81,,,,112.81,,,,1978,Cyprus,,,,,,,,,,,,,,1978,Cyprus,,,,,,,,,,,,,,,,,1978,Cyprus,,,,,,499.65,,,,1978,Cyprus
1979,Cyprus,7,CYP,196,0,0,0,0,56.06,0.00,18.18,2,0,0,0,84.03,0.00,15.97,60.00,0.00,11.40,71.40,1,1979,Cyprus,,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0,1.2,1979,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,2.9,1979,Cyprus,0.0,0.42,0.06,1.71,1.06,0.65,0.38,26.76,1979,Cyprus,,,,,,,,,,,,,,,,1979,Cyprus,,1,0,4,2,1,0,1,1979,Cyprus,0.17,150.51,,,,24.34,,,,,,,,,1979,Cyprus,,,,,,,,,,,1979,Cyprus,27.00,7.00,22.24,,,,,,116.64,,,,1979,Cyprus,,,,,,,,,,,,,,1979,Cyprus,,,,,,,,,,,,,,,,,1979,Cyprus,,,,,,503.55,,,,1979,Cyprus
1980,Cyprus,7,CYP,196,0,0,0,0,69.20,0.00,12.62,2,0,0,0,88.88,0.00,11.12,60.00,0.00,7.94,67.94,1,1980,Cyprus,,85.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.2,0.0,0.0,1.2,1980,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.1,0.0,0.0,2.9,1980,Cyprus,0.0,0.42,0.06,1.71,1.06,0.65,0.38,26.76,1980,Cyprus,,,,,,,,,,,,,,,,1980,Cyprus,,1,0,4,2,1,0,1,1980,Cyprus,0.17,150.37,,,,20.74,,,,,,,,,1980,Cyprus,,,,,,,,,,,1980,Cyprus,38.00,50.00,101.51,,,,,,120.47,,,,1980,Cyprus,,,,,,,,,,,,,,1980,Cyprus,,,,,,,,,,,,,,,,,1980,Cyprus,,,,,,509.05,,,,1980,Cyprus
1981,Cyprus,7,CYP,196,0,0,0,0,9.09,0.00,0.00,1,1,-1,0,100.00,0.00,0.00,37.44,0.00,0.00,37.44,1,1981,Cyprus,24/05/1981,95.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1981,Cyprus,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1981,Cyprus,2.9,0.74,0.70,3.91,3.39,0.52,0.13,4.17,1981,Cyprus,,,,,,,,,,,,,,,,1981,Cyprus,,1,0,4,2,1,0,1,1981,Cyprus,0.17,157.88,,,,15.20,,,,,,,,,1981,Cyprus,,,,,,,,,,,1981,Cyprus,38.00,8.00,18.23,,124.30,,,,124.30,,,,1981,Cyprus,,,,,,,,,,,,,,1981,Cyprus,,,,,,,,,,,,,,,,,1981,Cyprus,,,,,,515.25,,,,1981,Cyprus
1982,Cyprus,7,CYP,196,0,0,0,0,47.35,0.00,0.00,1,0,0,0,100.00,0.00,0.00,22.90,0.00,0.00,22.90,1,1982,Cyprus,,95.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1982,Cyprus,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982,Cyprus,2.9,0.74,0.70,3.91,3.39,0.52,0.13,4.17,1982,Cyprus,,,,,,,,,,,,,,,,1982,Cyprus,,1,0,4,2,1,0,1,1982,Cyprus,0.17,160.09,,,,17.00,,,,,,,,,1982,Cyprus,,,,,,,,,,,1982,Cyprus,31.00,4.00,7.93,,,,,,127.45,,,,1982,Cyprus,,,,,,,,,,,,,,1982,Cyprus,,,,,,,,,,,,,,,,,1982,Cyprus,,,,,,521.40,,,,1982,Cyprus
1983,Cyprus,7,CYP,196,0,0,0,0,61.12,0.00,0.00,1,0,0,1,100.00,0.00,0.00,22.90,0.00,0.00,22.90,1,1983,Cyprus,,95.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1983,Cyprus,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,Cyprus,2.9,0.74,0.70,3.91,3.39,0.52,0.13,4.17,1983,Cyprus,,,,,,,,,,,,,,,,1983,Cyprus,,1,0,4,2,1,0,1,1983,Cyprus,0.17,158.99,,,,10.91,,,,,,,,,1983,Cyprus,,,,,,,,,,,1983,Cyprus,28.00,4.00,12.83,,,,,,130.60,,,,1983,Cyprus,,,,,,,,,,,,,,1983,Cyprus,,,,,,,,,,,,,,,,,1983,Cyprus,,,,,,528.05,,,,1983,Cyprus
1984,Cyprus,7,CYP,196,0,0,0,0,54.55,0.00,0.00,1,0,0,0,100.00,0.00,0.00,22.90,0.00,0.00,22.90,1,1984,Cyprus,,95.8,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.9,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1984,Cyprus,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984,Cyprus,2.9,0.74,0.70,3.91,3.39,0.52,0.13,4.17,1984,Cyprus,,,,,,,,,,,,,,,,1984,Cyprus,,1,0,4,2,1,0,1,1984,Cyprus,0.17,169.32,,,,17.66,,,,,,,,,1984,Cyprus,,,,,,,,,,,1984,Cyprus,29.00,4.00,11.34,,,,,,133.75,,,,1984,Cyprus,,,,,,,,,,,,,,1984,Cyprus,,,,,,,,,,,,,,,,,1984,Cyprus,,,,,,534.95,,,,1984,Cyprus
1985,Cyprus,7,CYP,196,0,0,0,0,66.47,0.00,0.00,1,0,0,0,100.00,0.00,0.00,56.98,0.00,0.00,56.98,1,1985,Cyprus,08/12/1985,94.6,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1985,Cyprus,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1985,Cyprus,1.8,0.72,0.72,3.61,3.57,0.04,0.01,0.84,1985,Cyprus,,,,,,,,,,,,,,,,1985,Cyprus,,1,0,4,2,1,0,1,1985,Cyprus,0.17,149.76,,,,10.83,,,,,,,,,1985,Cyprus,,,,,,,,,,,1985,Cyprus,30.00,8.00,16.83,,,,,,136.91,,,,1985,Cyprus,,,,,,,,,,,,,,1985,Cyprus,,,,,,,,,,,,,,,,,1985,Cyprus,,,,,,541.50,,,,1985,Cyprus
