year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Czech Republic,8,CZE,203,0,1,0,0,47.62,14.29,0.00,1,1,,0,75.90,24.10,0.00,63.00,20.00,0.00,83.00,3,1990,Czech Republic,09/06/1990,96.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1990,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1990,Czech Republic,,0.71,0.56,3.51,2.26,1.25,0.36,11.16,1990,Czech Republic,,,,,,,,,,,,,,,,1990,Czech Republic,,,,,,,0,,1990,Czech Republic,,64.06,,,,,,,,,,,,,1990,Czech Republic,5034.00,5034.00,4995.00,73.56,72.99,613.00,2275.00,2107.00,,,1990,Czech Republic,,,,,5500.00,,,80.00,5500.00,,,80.00,1990,Czech Republic,,14.17,10.04,4.13,4.81,0.80,2.18,3.64,2.28,,,,0.45,1990,Czech Republic,1.45,0.43,0.38,0.00,0.03,,,,,,,,,,,,1990,Czech Republic,,,,,,10362.74,6843.45,1296.02,12.51,1990,Czech Republic
1991,Czech Republic,8,CZE,203,0,1,0,0,47.62,14.29,0.00,1,0,0,0,75.90,24.10,0.00,63.00,20.00,0.00,83.00,3,1991,Czech Republic,,96.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,49.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,1991,Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1991,Czech Republic,,0.71,0.56,3.51,2.26,1.25,0.36,11.16,1991,Czech Republic,,,,,,,,,,,,,,,,1991,Czech Republic,,,,,,,0,,1991,Czech Republic,,71.91,,,-14.22,26.32,,,,,,,,,1991,Czech Republic,5039.00,5039.00,4817.00,73.55,70.31,484.00,2213.00,2120.00,,,1991,Czech Republic,1.00,5.00,2.30,0.46,4250.00,,,80.00,4250.00,,,80.00,1991,Czech Republic,,15.23,10.80,4.27,5.27,0.83,2.04,3.74,2.50,0.16,0.19,,0.49,1991,Czech Republic,1.17,0.55,0.76,0.00,0.03,,0.08,0.00,0.00,0.04,0.00,0.00,0.01,0.02,0.19,,1991,Czech Republic,,,,,,10308.68,6851.03,1309.77,12.71,1991,Czech Republic
1992,Czech Republic,8,CZE,203,0,1,0,0,63.20,17.65,0.00,1,0,0,1,80.78,19.22,0.00,54.05,13.78,0.00,67.83,3,1992,Czech Republic,06/06/1992,85.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,6.5,0.0,0.0,4.8,1992,Czech Republic,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1992,Czech Republic,10.0,0.86,0.79,7.33,4.80,2.53,0.34,8.45,1992,Czech Republic,,,,,,,,,,,,,,,,1992,Czech Republic,,,,,,,0,,1992,Czech Republic,,79.21,,,-6.39,10.38,11.09,,,,,,,,1992,Czech Republic,5018.00,4812.00,4677.00,72.69,67.75,375.00,2111.00,2191.00,,,1992,Czech Republic,2.00,20.00,18.70,3.73,3970.00,,,80.00,3970.00,,,80.00,1992,Czech Republic,,15.51,10.77,4.49,5.37,0.83,2.06,3.80,2.43,0.25,0.15,,0.62,1992,Czech Republic,1.01,0.58,0.77,0.00,0.07,,0.08,0.01,0.00,0.11,0.01,0.01,0.02,0.02,0.15,,1992,Czech Republic,,,31.80,30.70,19.60,10317.81,6903.12,1322.69,12.82,1992,Czech Republic
1993,Czech Republic,8,CZE,203,0,1,0,0,78.95,21.05,0.00,1,0,0,0,85.71,14.29,0.00,45.00,7.50,0.00,52.50,2,1993,Czech Republic,,85.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,6.5,0.0,0.0,4.8,1993,Czech Republic,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1993,Czech Republic,10.0,0.86,0.79,7.33,4.80,2.53,0.34,8.45,1993,Czech Republic,,,,,,,,,,,,,,,,1993,Czech Republic,,0,0,0,2,2,0,1,1993,Czech Republic,,79.45,,,-0.94,15.12,20.81,,22.12,,,,,1.20,1993,Czech Republic,5093.57,5022.57,4802.55,73.22,69.03,374.35,2091.17,2337.04,220.00,4.20,1993,Czech Republic,2.00,3.00,0.30,0.06,3500.00,2800.00,64.38,65.00,3500.00,2800.00,64.38,65.00,1993,Czech Republic,,15.78,9.82,5.81,4.97,0.79,2.03,5.05,2.03,0.14,0.12,,0.65,1993,Czech Republic,0.84,0.55,0.54,0.00,0.09,,0.08,0.01,0.00,0.04,0.00,0.00,0.01,0.00,0.12,,1993,Czech Republic,3.31,0.50,,,,10330.61,6956.80,1336.92,12.94,1993,Czech Republic
1994,Czech Republic,8,CZE,203,0,1,0,0,78.95,16.02,0.00,1,0,0,0,85.71,14.29,0.00,45.00,7.50,0.00,52.50,2,1994,Czech Republic,,85.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,6.5,0.0,0.0,4.8,1994,Czech Republic,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1994,Czech Republic,10.0,0.86,0.79,7.33,4.80,2.53,0.34,8.45,1994,Czech Republic,,,,,,,,,,,,,,,,1994,Czech Republic,,0,0,0,2,2,0,1,1994,Czech Republic,,76.00,,,2.62,13.94,10.04,,20.07,,,,,-1.70,1994,Czech Republic,5147.94,5084.19,4863.02,73.48,69.41,337.60,2074.99,2450.42,221.00,4.20,1994,Czech Republic,3.00,67.00,3.10,0.60,2800.00,2240.00,51.53,63.33,2800.00,2240.00,51.53,63.33,1994,Czech Republic,,15.86,9.75,5.97,4.82,0.75,2.22,5.15,1.99,0.13,0.14,0.00,0.66,1994,Czech Republic,0.95,0.54,0.36,0.00,0.14,,0.08,0.01,0.00,0.02,0.01,0.00,0.01,0.00,0.14,,1994,Czech Republic,3.31,0.50,,,,10336.16,7006.25,1350.91,13.07,1994,Czech Republic
1995,Czech Republic,8,CZE,203,0,1,0,0,78.95,15.79,0.00,1,0,0,0,85.71,14.29,0.00,45.00,7.50,0.00,52.50,2,1995,Czech Republic,,85.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.7,0.0,0.0,0.0,2.7,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,4.6,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,3.8,0.0,0.0,0.0,6.5,0.0,0.0,4.8,1995,Czech Republic,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1995,Czech Republic,10.0,0.86,0.79,7.33,4.80,2.53,0.34,8.45,1995,Czech Republic,,,,,,,,,,,,,,,,1995,Czech Republic,,0,0,0,2,2,0,1,1995,Czech Republic,,84.23,51.86,39.42,5.94,16.76,8.99,17.66,17.65,-12.44,-12.15,,,-2.40,1995,Czech Republic,5170.63,5116.06,4908.00,73.40,69.68,325.64,2072.83,2509.54,208.00,3.90,1995,Czech Republic,2.00,2.00,2.00,0.39,2350.00,1880.00,43.52,65.73,2350.00,1880.00,43.52,65.73,1995,Czech Republic,10.82,16.13,10.11,5.90,5.44,0.76,2.24,5.17,1.86,0.12,0.34,0.00,0.20,1995,Czech Republic,0.81,0.53,0.40,0.00,0.06,0.07,0.08,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.34,0.00,1995,Czech Republic,3.31,0.50,,,,10330.76,7043.98,1365.70,13.22,1995,Czech Republic
1996,Czech Republic,8,CZE,203,0,1,0,0,77.22,19.82,0.00,1,0,0,1,84.01,15.99,0.00,43.03,8.16,0.00,51.19,2,1996,Czech Republic,01/06/1996,76.3,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,2.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1996,Czech Republic,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1996,Czech Republic,15.0,0.81,0.76,5.34,4.15,1.20,0.22,5.49,1996,Czech Republic,,,,,,,,,,,,,,,,1996,Czech Republic,,0,0,0,2,2,0,1,1996,Czech Republic,0.41,81.75,40.91,37.83,4.16,14.71,8.76,16.23,16.23,-3.08,-2.59,,,-6.40,1996,Czech Republic,5173.46,5116.00,4914.54,73.21,69.55,305.35,2063.70,2545.49,201.00,3.80,1996,Czech Republic,2.00,12.00,16.40,3.17,2130.00,1704.00,39.52,60.11,2130.00,1704.00,39.52,60.11,1996,Czech Republic,11.06,16.14,10.24,5.79,5.58,0.78,2.30,5.06,1.73,0.11,0.39,0.04,0.15,1996,Czech Republic,0.67,0.53,0.41,0.00,0.06,0.06,0.08,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.39,0.00,1996,Czech Republic,3.31,0.50,34.60,32.90,24.40,10315.35,7066.24,1381.58,13.39,1996,Czech Republic
1997,Czech Republic,8,CZE,203,0,1,0,0,74.08,25.00,0.00,1,0,0,0,81.82,18.18,0.00,40.50,9.00,0.00,49.50,5,1997,Czech Republic,,76.3,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,2.8,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1997,Czech Republic,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997,Czech Republic,15.0,0.81,0.76,5.34,4.15,1.20,0.22,5.49,1997,Czech Republic,,,,,,,,,,,,,,,,1997,Czech Republic,,0,0,0,2,2,0,1,1997,Czech Republic,0.41,85.31,41.51,38.01,-0.70,7.73,8.60,16.61,16.60,-3.50,-3.11,-4.79,,-6.00,1997,Czech Republic,5184.84,5132.69,4884.38,73.14,68.90,284.38,2031.14,2568.86,248.00,4.70,1997,Czech Republic,,,,,1975.00,1580.00,36.94,54.94,1975.00,1580.00,36.94,54.94,1997,Czech Republic,11.61,16.94,11.00,5.85,6.30,0.83,2.28,5.05,1.67,0.10,0.47,0.05,0.21,1997,Czech Republic,0.64,0.52,0.39,0.00,0.05,0.07,0.07,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.45,0.02,1997,Czech Republic,3.31,0.50,,,,10303.64,7089.06,1396.32,13.55,1997,Czech Republic
1998,Czech Republic,8,CZE,203,0,1,0,0,27.99,11.66,35.04,3,1,2,2,51.56,11.46,36.99,25.52,5.67,13.68,44.88,6,1998,Czech Republic,20/06/1998,73.9,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1998,Czech Republic,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,Czech Republic,15.0,0.79,0.73,4.74,3.71,1.03,0.22,5.66,1998,Czech Republic,,,,,,,,,,,,,,,,1998,Czech Republic,,0,0,0,2,2,0,1,1998,Czech Republic,0.41,84.84,41.77,37.12,-0.30,9.71,10.70,17.51,17.51,-4.65,-4.17,-4.35,,-2.00,1998,Czech Republic,5201.46,5153.42,4817.70,73.11,67.72,266.94,1991.95,2558.80,335.00,6.50,1998,Czech Republic,,,,,1480.00,1332.00,32.06,48.59,1480.00,1332.00,32.06,48.59,1998,Czech Republic,11.63,17.31,10.82,6.38,6.50,0.82,2.15,5.04,1.83,0.11,0.49,0.08,0.29,1998,Czech Republic,0.54,0.49,0.36,0.31,0.06,0.08,0.07,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.46,0.03,1998,Czech Republic,3.31,0.50,,,,10294.94,7114.10,1407.92,13.68,1998,Czech Republic
1999,Czech Republic,8,CZE,203,0,1,0,0,0.00,0.00,94.58,5,1,2,0,0.00,0.00,100.00,0.00,0.00,37.00,37.00,4,1999,Czech Republic,,73.9,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1999,Czech Republic,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Czech Republic,15.0,0.79,0.73,4.74,3.71,1.03,0.22,5.66,1999,Czech Republic,,,,,,,,,,,,,-0.02,-0.10,0.07,1999,Czech Republic,,0,0,0,2,2,0,1,1999,Czech Republic,0.41,86.46,41.16,37.70,1.27,4.25,2.14,23.46,23.45,-3.45,-2.94,-2.41,,-2.40,1999,Czech Republic,5218.21,5162.98,4708.87,73.10,65.97,247.31,1911.94,2549.63,454.00,8.70,1999,Czech Republic,,,,,1340.00,1206.00,29.97,51.12,1340.00,1206.00,29.97,51.12,1999,Czech Republic,12.13,18.02,11.18,6.68,6.68,0.81,2.18,5.23,1.83,0.16,0.62,0.11,0.40,1999,Czech Republic,0.56,0.47,0.35,0.32,0.06,0.08,0.08,0.01,0.00,0.03,0.01,0.01,0.02,0.00,0.58,0.04,1999,Czech Republic,3.31,0.50,,,,10282.78,7138.09,1416.01,13.77,1999,Czech Republic
