year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Denmark,9,DNK,208,1,0,0,0,44.19,0.00,55.11,3,0,0,2,23.23,0.00,76.77,12.28,0.00,40.41,52.69,2,1960,Denmark,15/11/1960,85.8,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,21.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1960,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1960,Denmark,9.5,0.74,0.72,3.81,3.60,0.21,0.06,1.92,1960,Denmark,1.31,-0.34,4.57,23.6,3.23,1.71,0.78,2.0,1.2,2.0,2.0,0.46,,,,1960,Denmark,1,0,0,0,2,1,0,1,1960,Denmark,,65.02,,,,,,,32.98,,,,6.27,,1960,Denmark,2094.00,2046.00,2006.00,71.22,68.23,366.00,741.00,899.00,41.00,2.00,1960,Denmark,82.00,19.80,60.90,29.08,946.50,872.00,56.92,79.00,946.50,872.00,56.92,79.00,1960,Denmark,7.40,,,,,,,,,,,,,1960,Denmark,,,,,,,,,,,,,,,,,1960,Denmark,,,,,,4579.60,2940.03,485.22,10.60,1960,Denmark
1961,Denmark,9,DNK,208,1,0,0,0,29.41,0.00,64.71,4,1,1,0,12.68,0.00,87.32,6.30,0.00,43.40,49.70,5,1961,Denmark,,85.8,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,21.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1961,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1961,Denmark,9.5,0.74,0.72,3.81,3.60,0.21,0.06,1.92,1961,Denmark,,,,,,,,,,,,,,,,1961,Denmark,1,0,0,0,2,1,0,1,1961,Denmark,,60.74,,,6.38,10.96,3.95,,26.91,,,,6.86,,1961,Denmark,2124.00,2076.00,2036.00,,,356.00,755.00,925.00,33.10,1.60,1961,Denmark,34.00,153.30,2308.20,1086.72,967.60,899.30,57.83,,967.60,899.30,57.83,79.20,1961,Denmark,7.50,,,,,,,,,,,,,1961,Denmark,,,,,,,,,,,,,,,,,1961,Denmark,,,,,,4611.69,2975.56,497.32,10.78,1961,Denmark
1962,Denmark,9,DNK,208,1,0,0,0,29.41,0.00,64.71,4,0,0,1,12.68,0.00,87.32,6.30,0.00,43.40,49.70,5,1962,Denmark,,85.8,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,21.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1962,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1962,Denmark,9.5,0.74,0.72,3.81,3.60,0.21,0.06,1.92,1962,Denmark,,,,,,,,,,,,,,,,1962,Denmark,1,0,0,0,2,1,0,1,1962,Denmark,,59.61,,,5.67,12.68,7.52,,25.10,,,,6.83,,1962,Denmark,2155.00,2107.00,2068.00,,,348.00,769.00,951.00,29.40,1.40,1962,Denmark,26.00,9.50,14.60,6.77,987.40,918.70,58.07,,987.40,918.70,58.07,79.40,1962,Denmark,7.70,,,,,,,,,,,,,1962,Denmark,,,,,,,,,,,,,,,,,1962,Denmark,,,,,,4647.73,3011.98,508.88,10.95,1962,Denmark
1963,Denmark,9,DNK,208,1,0,0,0,29.41,0.00,64.71,4,0,0,0,12.68,0.00,87.32,6.30,0.00,43.40,49.70,5,1963,Denmark,,85.8,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.9,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,21.1,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1963,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1963,Denmark,9.5,0.74,0.72,3.81,3.60,0.21,0.06,1.92,1963,Denmark,,,,,,,,,,,,,,,,1963,Denmark,1,0,0,0,2,1,0,1,1963,Denmark,,59.48,,,0.64,6.45,5.52,,22.48,,,,6.70,,1963,Denmark,2186.00,2138.00,2094.00,,,340.00,783.00,971.00,42.80,2.00,1963,Denmark,19.00,6.50,23.60,10.80,1009.90,934.70,58.46,,1009.90,934.70,58.46,79.60,1963,Denmark,8.00,,,,,,,,,,,,,1963,Denmark,,,,,,,,,,,,,,,,,1963,Denmark,,,,,,4684.48,3042.27,520.12,11.10,1963,Denmark
1964,Denmark,9,DNK,208,1,0,0,0,21.62,0.00,74.06,4,0,0,1,9.32,0.00,90.68,4.63,0.00,43.40,48.03,5,1964,Denmark,22/09/1964,85.5,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1964,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1964,Denmark,9.5,0.73,0.71,3.76,3.51,0.25,0.07,1.32,1964,Denmark,,,,,,,,,,,,,,,,1964,Denmark,1,0,0,0,2,1,0,1,1964,Denmark,,61.04,,,9.27,14.31,3.54,,23.79,,,,7.35,,1964,Denmark,2218.00,2170.00,2138.00,,,332.00,798.00,1008.00,26.00,1.20,1964,Denmark,40.00,7.50,17.50,7.89,1034.30,965.70,58.46,,1034.30,965.70,58.46,79.80,1964,Denmark,7.60,,,,,,,,,,,,,1964,Denmark,,,,,,,,,,,,,,,,,1964,Denmark,,,,,,4722.07,3065.70,531.37,11.25,1964,Denmark
1965,Denmark,9,DNK,208,1,0,0,0,0.00,0.00,100.00,5,1,1,0,0.00,0.00,100.00,0.00,0.00,43.40,43.40,4,1965,Denmark,,85.5,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,20.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,1965,Denmark,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.6,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,21.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1965,Denmark,9.5,0.73,0.71,3.76,3.51,0.25,0.07,1.32,1965,Denmark,,,,,,,,,,,,,,,,1965,Denmark,1,0,0,0,2,1,0,1,1965,Denmark,,59.51,,,4.56,12.33,6.32,,21.16,,,,8.95,,1965,Denmark,2252.00,2204.00,2178.00,73.00,70.60,326.00,814.00,1038.00,19.80,0.90,1965,Denmark,37.00,14.10,242.10,107.50,1050.60,985.30,58.20,80.00,1050.60,985.30,58.20,80.00,1965,Denmark,8.30,,,,,,,,,,,,,1965,Denmark,,,,,,,,,,,,,,,,,1965,Denmark,,,,,,4759.01,3084.83,542.20,11.39,1965,Denmark
1966,Denmark,9,DNK,208,1,0,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,43.03,43.03,4,1966,Denmark,22/11/1966,88.6,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,19.3,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1966,Denmark,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,20.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1966,Denmark,10.6,0.76,0.75,4.22,3.97,0.25,0.06,1.12,1966,Denmark,,,,,,,,,,,,,,,,1966,Denmark,1,0,0,0,2,1,0,1,1966,Denmark,,57.89,,,2.74,9.76,6.83,,18.37,,,,9.08,,1966,Denmark,2295.00,2247.00,2216.00,,,315.00,824.00,1077.00,24.70,1.10,1966,Denmark,22.00,10.40,15.40,6.71,1063.80,992.80,58.06,,1063.80,992.80,58.06,80.00,1966,Denmark,8.90,,,,,,,,,,,,,1966,Denmark,,,,,,,,,,,,,,,,,1966,Denmark,,,,,,4797.38,3101.67,552.91,11.53,1966,Denmark
1967,Denmark,9,DNK,208,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,39.40,39.40,4,1967,Denmark,,88.6,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,19.3,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1967,Denmark,39.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,20.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1967,Denmark,10.6,0.76,0.75,4.22,3.97,0.25,0.06,1.12,1967,Denmark,,,,,,,,,,,,,,,,1967,Denmark,1,0,0,0,2,1,0,1,1967,Denmark,,55.84,,,5.65,10.15,7.70,,16.57,,,,9.41,,1967,Denmark,2340.00,2292.00,2264.00,75.04,72.60,305.00,839.00,1120.00,22.90,1.00,1967,Denmark,22.00,10.40,9.90,4.23,1073.70,1006.70,57.36,,1073.70,1006.70,57.36,80.00,1967,Denmark,9.80,,,,,,,,,,,,,1967,Denmark,,,,,,,,,,,,,,,,,1967,Denmark,,,,,,4835.35,3118.39,564.56,11.68,1967,Denmark
1968,Denmark,9,DNK,208,1,0,0,0,91.53,0.00,8.47,2,1,-3,1,91.53,0.00,8.47,51.17,0.00,3.34,54.50,2,1968,Denmark,23/01/1968,89.3,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1968,Denmark,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1968,Denmark,10.6,0.78,0.76,4.56,4.24,0.32,0.07,1.25,1968,Denmark,,,,,,,,,,,,,,,,1968,Denmark,1,0,0,0,2,1,0,1,1968,Denmark,,55.73,,,5.67,11.41,8.01,,15.42,,,,9.01,,1968,Denmark,2348.00,2300.00,2272.00,,,289.00,850.00,1133.00,23.00,1.00,1968,Denmark,17.00,28.80,33.60,14.31,1095.50,1027.60,58.19,,1095.50,1027.60,58.19,80.00,1968,Denmark,10.80,,,,,,,,,,,,,1968,Denmark,,,,,,,,,,,,,,,,,1968,Denmark,,,,,,4864.88,3133.58,577.57,11.87,1968,Denmark
1969,Denmark,9,DNK,208,1,0,0,0,100.00,0.00,0.00,1,1,-1,0,100.00,0.00,0.00,55.90,0.00,0.00,55.90,2,1969,Denmark,,89.3,34.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1969,Denmark,35.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1969,Denmark,10.6,0.78,0.76,4.56,4.24,0.32,0.07,1.25,1969,Denmark,,,,,,,,,,,,,1.01,0.97,0.74,1969,Denmark,1,0,0,0,2,1,0,1,1969,Denmark,,56.02,,,6.48,13.98,3.49,,13.78,,,,10.04,,1969,Denmark,2356.00,2308.00,2282.00,74.79,72.44,276.00,862.00,1144.00,20.70,0.90,1969,Denmark,48.00,35.90,56.20,23.85,1134.30,1064.30,59.23,,1134.30,1064.30,59.23,80.00,1969,Denmark,10.80,,,,,,,,,,,,,1969,Denmark,,,,,,,,,,,,,,,,,1969,Denmark,,,,,,4891.86,3150.01,590.89,12.08,1969,Denmark
