year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1992,Estonia,10,EST,233,0,1,0,0,50.00,0.00,21.43,2,1,,0,76.44,0.00,23.56,38.60,0.00,11.90,50.50,2,1992,Estonia,20/09/1992,67.8,13.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,12.3,0.0,0.0,8.0,1992,Estonia,16.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,1992,Estonia,13.7,0.89,0.83,8.89,5.90,2.99,0.34,6.94,1992,Estonia,,,,,,,,,,,,,,,,1992,Estonia,,0,0,0,2,1,0,1,1992,Estonia,,109.71,,,,,,,,,,,,,1992,Estonia,792.60,789.40,760.20,78.38,75.17,137.70,274.10,348.40,,,1992,Estonia,0.00,0.00,0.00,0.00,669.90,669.90,93.92,,669.90,669.90,93.92,,1992,Estonia,,,,,,,,,,,,,,1992,Estonia,,,,,,,,,,,,,,,,,1992,Estonia,,,,,,1533.09,1011.27,187.51,12.23,1992,Estonia
1993,Estonia,10,EST,233,0,1,0,0,50.00,0.00,21.43,2,0,0,0,76.44,0.00,23.56,38.60,0.00,11.90,50.50,2,1993,Estonia,,67.8,13.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,12.3,0.0,0.0,8.0,1993,Estonia,16.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,1993,Estonia,13.7,0.89,0.83,8.89,5.90,2.99,0.34,6.94,1993,Estonia,,,,,,,,,,,,,,,,1993,Estonia,,0,0,0,2,1,0,1,1993,Estonia,,135.15,,,,,,,,,,,,1.20,1993,Estonia,750.70,746.60,697.50,76.28,70.88,111.80,232.40,353.30,48.30,6.60,1993,Estonia,0.00,0.00,0.00,0.00,397.00,397.00,62.05,,397.00,397.00,62.05,,1993,Estonia,,,,,,,,,,0.00,,,,1993,Estonia,,,,,,,,,,,,,,,,,1993,Estonia,,,,,,1494.13,984.12,189.85,12.71,1993,Estonia
1994,Estonia,10,EST,233,0,1,0,0,50.00,0.00,21.43,2,0,0,1,76.44,0.00,23.56,38.60,0.00,11.90,50.50,2,1994,Estonia,,67.8,13.6,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.9,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,12.3,0.0,0.0,8.0,1994,Estonia,16.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.9,0.0,0.0,0.0,1994,Estonia,13.7,0.89,0.83,8.89,5.90,2.99,0.34,6.94,1994,Estonia,,,,,,,,,,,,,,,,1994,Estonia,,0,0,0,2,1,0,1,1994,Estonia,,152.06,,,-1.64,37.37,,,,,,,,-6.90,1994,Estonia,734.00,729.10,673.60,76.26,69.99,95.60,219.40,358.60,54.30,7.60,1994,Estonia,0.00,0.00,0.00,0.00,250.00,250.00,40.82,,250.00,250.00,40.82,,1994,Estonia,,,,,,,,,,0.00,,,,1994,Estonia,,,,,,,,,,,,,,,,,1994,Estonia,,,,,,1462.51,962.49,191.97,13.13,1994,Estonia
1995,Estonia,10,EST,233,0,1,0,0,20.99,19.57,51.15,3,1,1,2,27.31,15.35,57.34,14.25,8.66,32.27,55.17,2,1995,Estonia,05/03/1995,68.9,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,5.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,2.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1995,Estonia,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,4.9,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1995,Estonia,12.9,0.83,0.76,5.94,4.15,1.78,0.30,7.24,1995,Estonia,,,,,,,,,,,,,,,,1995,Estonia,,0,0,0,2,1,0,1,1995,Estonia,,143.20,41.01,42.09,4.53,37.36,,13.29,13.29,1.08,1.23,,,-4.20,1995,Estonia,704.50,699.00,631.00,74.56,66.77,64.50,216.80,349.70,67.30,9.80,1995,Estonia,0.00,0.00,0.00,0.00,,190.00,32.35,,207.15,190.00,32.35,,1995,Estonia,9.49,,,,,,,,,0.00,,,,1995,Estonia,,,,,,,,,,,,,,,,,1995,Estonia,,,,,,1436.63,945.04,194.36,13.53,1995,Estonia
1996,Estonia,10,EST,233,0,1,0,0,40.00,0.00,60.00,3,0,0,0,31.65,0.00,68.35,18.80,0.00,40.60,59.40,2,1996,Estonia,,68.9,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,5.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,2.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1996,Estonia,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,4.9,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1996,Estonia,12.9,0.83,0.76,5.94,4.15,1.78,0.30,7.24,1996,Estonia,,,,,,,,,,,,,,,,1996,Estonia,,0,0,0,2,1,0,1,1996,Estonia,0.88,134.10,39.38,39.03,5.31,31.20,19.80,12.24,12.25,-0.35,-0.06,,,-8.40,1996,Estonia,689.60,685.40,617.00,74.01,66.23,60.20,208.40,348.40,68.70,10.20,1996,Estonia,0.00,0.00,0.00,0.00,164.30,164.30,28.79,,164.30,164.30,28.79,,1996,Estonia,9.85,,,,,,,,,0.00,,,,1996,Estonia,,,,,,,,,,,,,,,,,1996,Estonia,,,,,,1415.59,931.62,197.34,13.94,1996,Estonia
1997,Estonia,10,EST,233,0,1,0,0,8.22,0.00,74.76,4,1,1,1,6.50,0.00,93.50,3.86,0.00,40.60,44.46,4,1997,Estonia,,68.9,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,5.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,2.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1997,Estonia,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,4.9,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1997,Estonia,12.9,0.83,0.76,5.94,4.15,1.78,0.30,7.24,1997,Estonia,,,,,,,,,,,,,,,,1997,Estonia,,0,0,0,2,1,0,1,1997,Estonia,0.94,153.68,37.46,39.62,11.71,23.20,9.27,11.26,11.26,2.16,2.16,,,-11.20,1997,Estonia,687.50,680.80,615.00,74.53,66.67,58.40,201.70,354.90,63.80,9.60,1997,Estonia,0.00,0.00,0.00,0.00,,,,,134.70,129.44,22.97,,1997,Estonia,9.44,,,,,,,,,0.00,,,,1997,Estonia,,,,,,,,,,,,,,,,,1997,Estonia,,,,,,1399.54,922.46,200.70,14.34,1997,Estonia
1998,Estonia,10,EST,233,0,1,0,0,0.00,0.00,78.57,5,1,1,0,0.00,0.00,100.00,0.00,0.00,40.60,40.60,4,1998,Estonia,,68.9,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,5.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,2.6,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,1998,Estonia,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.6,0.0,0.0,4.9,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.8,15.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1998,Estonia,12.9,0.83,0.76,5.94,4.15,1.78,0.30,7.24,1998,Estonia,,,,,,,,,,,,,,,,1998,Estonia,,0,0,0,2,1,0,1,1998,Estonia,1.00,158.43,39.50,38.73,4.28,12.48,8.74,10.03,10.03,-0.76,-0.59,,13.17,-8.60,1998,Estonia,675.40,670.20,604.00,73.63,65.84,56.60,200.60,346.80,60.70,9.20,1998,Estonia,0.00,0.00,0.00,0.00,105.10,94.59,17.14,,105.10,94.59,17.14,,1998,Estonia,9.65,,,,,,,,,0.00,,,,1998,Estonia,,,,,,,,,,,,,,,,,1998,Estonia,,,,,,1386.16,917.34,202.80,14.63,1998,Estonia
1999,Estonia,10,EST,233,0,1,0,0,51.51,0.00,43.62,3,1,-2,1,52.49,0.00,47.51,27.50,0.00,22.21,49.72,4,1999,Estonia,07/03/1999,57.4,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,23.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1999,Estonia,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,27.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1999,Estonia,17.8,0.86,0.82,6.90,5.51,1.39,0.20,4.36,1999,Estonia,,,,,,,,,,,,,,,,1999,Estonia,,0,0,0,2,1,0,1,1999,Estonia,1.00,144.87,40.35,37.03,-0.41,6.46,3.30,10.81,10.82,-3.32,-3.26,,11.39,-4.30,1999,Estonia,663.30,657.70,577.20,71.93,62.59,49.70,183.40,344.10,74.10,11.30,1999,Estonia,0.00,0.00,0.00,0.00,,,,,96.50,85.97,15.83,,1999,Estonia,10.52,15.14,10.11,5.02,6.55,0.30,1.85,4.24,1.75,0.00,,0.13,0.33,1999,Estonia,0.87,0.41,0.25,0.11,0.11,0.00,,,,,,,,,0.15,,1999,Estonia,,,,,,1380.62,922.21,204.15,14.79,1999,Estonia
2000,Estonia,10,EST,233,0,1,0,0,66.67,0.00,33.33,2,1,-1,0,67.94,0.00,32.06,35.60,0.00,16.80,52.40,2,2000,Estonia,,57.4,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,23.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2000,Estonia,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,27.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2000,Estonia,17.8,0.86,0.82,6.90,5.51,1.39,0.20,4.36,2000,Estonia,,,,,,,,,,,,,,,,2000,Estonia,,0,0,0,2,1,0,1,2000,Estonia,1.00,126.51,36.41,36.35,9.80,14.70,4.02,6.80,6.82,-0.06,0.01,0.86,10.48,-5.40,2000,Estonia,688.20,683.70,583.70,73.13,62.01,38.00,205.00,340.70,100.00,14.60,2000,Estonia,0.00,0.00,0.00,0.00,87.90,77.35,14.52,,87.90,77.35,14.52,,2000,Estonia,9.51,13.82,9.29,4.52,5.91,0.27,1.54,3.86,1.75,0.00,0.13,0.10,0.28,2000,Estonia,0.74,0.55,0.24,0.12,0.10,0.00,,,,,,,,,0.13,,2000,Estonia,,,43.70,42.80,35.20,1396.98,941.23,209.45,14.99,2000,Estonia
2001,Estonia,10,EST,233,0,1,0,0,66.67,0.00,33.33,2,0,0,0,67.94,0.00,32.06,35.60,0.00,16.80,52.40,2,2001,Estonia,,57.4,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,16.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,23.4,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2001,Estonia,0.0,16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,27.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2001,Estonia,17.8,0.86,0.82,6.90,5.51,1.39,0.20,4.36,2001,Estonia,,,,,,,,,,,,,0.31,0.63,-0.15,2001,Estonia,,0,0,0,2,1,0,1,2001,Estonia,1.00,126.65,35.04,35.24,6.44,13.07,5.75,6.67,6.67,0.20,0.19,0.97,10.15,-5.20,2001,Estonia,680.20,675.00,586.80,72.53,62.57,38.90,188.10,359.80,88.00,13.00,2001,Estonia,0.00,0.00,0.00,0.00,,,,28.00,86.45,75.23,14.02,28.00,2001,Estonia,9.09,13.03,8.75,4.28,5.43,0.22,1.63,3.65,1.61,0.00,0.12,0.08,0.29,2001,Estonia,0.64,0.50,0.22,0.14,0.11,0.00,,,,,,,,,0.12,,2001,Estonia,,,,,,1388.11,937.85,212.17,15.28,2001,Estonia
