year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Finland,11,FIN,246,1,0,0,0,0.00,100.00,0.00,1,1,-1,0,0.00,100.00,0.00,0.00,24.00,0.00,24.00,4,1960,Finland,,75.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1960,Finland,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1960,Finland,15.0,0.81,0.79,5.20,4.87,0.33,0.06,2.12,1960,Finland,1.58,-0.83,5.04,10.0,1.55,2.96,0.85,2.0,1.0,3.0,1.0,0.28,,,,1960,Finland,0,0,0,1,2,1,0,0,1960,Finland,,42.87,27.90,30.24,,,3.42,12.57,12.57,2.33,2.00,,,,1960,Finland,2152.00,2118.00,2087.00,78.00,75.64,734.00,680.00,673.00,30.30,1.40,1960,Finland,44.00,19.30,96.21,44.71,468.30,424.00,31.88,63.00,468.30,424.00,31.88,63.00,1960,Finland,5.10,,,,,,,,,,,,,1960,Finland,,,,,,,,,,,,,,,,,1960,Finland,,,,,,4430.00,2759.00,324.00,7.31,1960,Finland
1961,Finland,11,FIN,246,1,0,0,0,0.00,96.40,0.00,1,0,0,1,0.00,100.00,0.00,0.00,24.00,0.00,24.00,4,1961,Finland,,75.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,0.0,0.0,0.0,0.0,23.1,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1961,Finland,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1961,Finland,15.0,0.81,0.79,5.20,4.87,0.33,0.06,2.12,1961,Finland,,,,,,,,,,,,,,,,1961,Finland,0,0,0,1,2,1,0,0,1961,Finland,,40.93,26.85,29.06,7.61,13.35,1.69,10.66,10.66,2.21,1.96,,6.58,,1961,Finland,2173.00,2137.00,2111.00,77.58,75.37,724.00,686.00,701.00,24.00,1.10,1961,Finland,51.00,45.30,41.44,19.07,482.40,436.94,31.50,,482.40,436.94,31.50,63.60,1961,Finland,6.10,,,,,,,,,,,,,1961,Finland,,,,,,,,,,,,,,,,,1961,Finland,,,,,,4461.00,2801.00,332.00,7.44,1961,Finland
1962,Finland,11,FIN,246,1,0,0,0,19.65,71.65,0.00,1,0,0,1,29.59,70.41,0.00,16.57,30.48,0.00,47.06,2,1962,Finland,04/02/1962,85.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1962,Finland,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1962,Finland,14.0,0.83,0.80,5.86,5.09,0.77,0.13,4.11,1962,Finland,,,,,,,,,,,,,,,,1962,Finland,0,0,0,1,2,1,0,0,1962,Finland,,40.90,28.10,30.22,2.98,7.07,4.38,11.35,11.35,2.12,1.76,,7.09,,1962,Finland,2185.00,2150.00,2122.00,76.75,74.53,682.00,702.00,738.00,26.30,1.20,1962,Finland,46.00,7.00,33.05,15.13,557.90,503.67,35.30,,557.90,503.67,35.30,64.20,1962,Finland,6.50,,,,,,,,,,,,,1962,Finland,,,,,,,,,,,,,,,,,1962,Finland,,,,,,4491.00,2847.00,338.00,7.53,1962,Finland
1963,Finland,11,FIN,246,1,0,0,0,26.65,62.19,0.00,1,0,0,2,39.50,56.67,0.00,22.12,31.73,0.00,53.85,2,1963,Finland,,85.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1963,Finland,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1963,Finland,14.0,0.83,0.80,5.86,5.09,0.77,0.13,4.11,1963,Finland,,,,,,,,,,,,,,,,1963,Finland,0,0,0,1,2,1,0,0,1963,Finland,,38.05,29.62,29.51,3.28,8.60,5.00,12.73,12.73,-0.11,-0.36,,7.95,,1963,Finland,2184.00,2147.00,2115.00,75.47,73.08,663.00,702.00,750.00,30.70,1.40,1963,Finland,66.00,104.70,1380.27,631.99,595.90,534.77,37.45,,595.90,534.77,37.45,64.80,1963,Finland,6.80,,,,,,,,,,,,,1963,Finland,,,,,,,,,,,,,,,,,1963,Finland,,,,,,4523.00,2894.00,346.00,7.65,1963,Finland
1964,Finland,11,FIN,246,1,0,0,0,11.03,19.30,0.00,1,0,0,1,12.46,17.87,0.00,6.98,10.01,0.00,16.98,7,1964,Finland,,85.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1964,Finland,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1964,Finland,14.0,0.83,0.80,5.86,5.09,0.77,0.13,4.11,1964,Finland,,,,,,,,,,,,,,,,1964,Finland,0,0,0,1,2,1,0,0,1964,Finland,,39.72,31.20,31.19,5.24,12.79,10.28,12.93,12.93,-0.01,-0.17,,8.41,,1964,Finland,2214.00,2175.00,2142.00,75.54,73.08,644.00,715.00,783.00,31.10,1.40,1964,Finland,76.00,26.90,58.38,26.37,615.10,550.15,37.02,,615.10,550.15,37.02,65.40,1964,Finland,6.50,,,,,,,,,,,,,1964,Finland,,,,,,,,,,,,,,,,,1964,Finland,,,,,,4549.00,2931.00,357.00,7.85,1964,Finland
1965,Finland,11,FIN,246,1,0,0,0,36.36,63.64,0.00,1,0,0,0,41.07,58.93,0.00,23.00,33.00,0.00,56.00,2,1965,Finland,,85.1,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1965,Finland,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,26.5,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1965,Finland,14.0,0.83,0.80,5.86,5.09,0.77,0.13,4.11,1965,Finland,,,,,,,,,,,,,,,,1965,Finland,0,0,0,1,2,1,0,0,1965,Finland,,39.61,32.12,32.23,5.30,10.59,4.94,13.81,13.81,0.11,0.05,,8.63,,1965,Finland,2211.00,2174.00,2144.00,74.75,72.48,644.00,685.00,815.00,28.90,1.30,1965,Finland,29.00,7.00,16.05,7.26,642.40,573.66,38.32,66.00,642.40,573.66,38.32,66.00,1965,Finland,7.00,,,,,,,,,,,,,1965,Finland,,,,,,,,,,,,,,,,,1965,Finland,,,,,,4564.00,2958.00,367.00,8.04,1965,Finland
1966,Finland,11,FIN,246,1,0,0,0,14.55,45.45,40.00,3,1,2,1,16.43,42.91,40.66,9.20,27.90,30.90,68.00,3,1966,Finland,20/03/1966,84.9,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1966,Finland,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1966,Finland,16.5,0.81,0.80,5.22,4.96,0.26,0.05,2.91,1966,Finland,,,,,,,,,,,,,,,,1966,Finland,0,0,0,1,2,1,0,0,1966,Finland,,38.89,33.23,33.46,2.37,7.21,3.87,13.83,13.83,0.23,0.16,,8.41,,1966,Finland,2222.00,2181.00,2148.00,74.46,71.98,619.00,707.00,822.00,31.20,1.40,1966,Finland,150.00,66.10,122.09,54.95,673.90,598.63,39.57,,673.90,598.63,39.57,68.33,1966,Finland,7.40,,,,,,,,,,,,,1966,Finland,,,,,,,,,,,,,,,,,1966,Finland,,,,,,4581.00,2984.00,376.00,8.21,1966,Finland
1967,Finland,11,FIN,246,1,0,0,0,0.00,33.33,66.67,4,1,1,0,0.00,32.24,67.76,0.00,24.50,51.50,76.00,3,1967,Finland,,84.9,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1967,Finland,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1967,Finland,16.5,0.81,0.80,5.22,4.96,0.26,0.05,2.91,1967,Finland,,,,,,,,,,,,,,,,1967,Finland,0,0,0,1,2,1,0,0,1967,Finland,,37.89,34.11,35.34,2.17,9.69,5.38,14.18,14.18,1.23,1.22,,8.19,,1967,Finland,2206.00,2166.00,2103.00,73.19,69.77,563.00,707.00,833.00,59.60,2.70,1967,Finland,43.00,26.60,320.67,145.36,712.90,619.37,40.69,,712.90,619.37,40.69,70.67,1967,Finland,7.90,,,,,,,,,,,,,1967,Finland,,,,,,,,,,,,,,,,,1967,Finland,,,,,,4606.00,3014.00,387.00,8.40,1967,Finland
1968,Finland,11,FIN,246,1,0,0,0,6.49,33.33,60.18,3,1,-1,1,7.32,29.88,62.80,6.00,24.50,51.50,82.00,3,1968,Finland,,84.9,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1968,Finland,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1968,Finland,16.5,0.81,0.80,5.22,4.96,0.26,0.05,2.91,1968,Finland,,,,,,,,,,,,,,,,1968,Finland,0,0,0,1,2,1,0,0,1968,Finland,,41.07,34.05,35.48,2.30,14.65,9.19,14.16,14.16,1.43,1.42,,8.15,,1968,Finland,2189.00,2147.00,2063.00,71.96,67.82,528.00,687.00,848.00,81.00,3.70,1968,Finland,68.00,26.80,282.29,128.96,732.20,622.71,41.02,73.00,732.20,622.71,41.02,73.00,1968,Finland,7.50,,,,,,,,,,,,,1968,Finland,,,,,,,,,,,,,,,,,1968,Finland,,,,,,4626.00,3042.00,396.00,8.56,1968,Finland
1969,Finland,11,FIN,246,1,0,0,0,8.33,33.33,58.33,3,0,0,0,7.32,29.88,62.80,6.00,24.50,51.50,82.00,3,1969,Finland,,84.9,27.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,13.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1969,Finland,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,20.5,0.0,0.0,0.0,0.0,0.0,24.5,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1969,Finland,16.5,0.81,0.80,5.22,4.96,0.26,0.05,2.91,1969,Finland,,,,,,,,,,,,,1.47,1.49,1.00,1969,Finland,0,0,0,1,2,1,0,0,1969,Finland,,44.48,32.66,34.48,9.59,14.14,2.21,13.51,13.51,1.82,1.86,,7.91,,1969,Finland,2188.00,2147.00,2086.00,71.71,68.37,502.00,710.00,874.00,56.90,2.60,1969,Finland,158.00,83.20,161.08,73.62,857.80,740.25,47.51,,857.80,740.25,47.51,73.00,1969,Finland,7.20,,,,,,,,,,,,,1969,Finland,,,,,,,,,,,,,,,,,1969,Finland,,,,,,4624.00,3051.00,409.00,8.85,1969,Finland
