year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,France,12,FRA,250,1,0,1,0,42.86,19.05,4.76,2,0,0,0,80.54,13.91,5.54,71.20,12.30,4.90,88.40,3,1960,France,,77.2,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1960,France,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,42.6,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,France,1.5,0.84,0.71,6.10,3.44,2.66,0.44,21.18,1960,France,-0.86,-0.22,3.26,54.8,8.00,20.88,2.90,1.3,3.0,1.7,2.4,0.35,,,,1960,France,1,3,0,3,1,3,0,0,1960,France,,26.98,,36.13,,,4.14,,94.05,,,,5.66,,1960,France,19905.00,18838.00,18595.00,70.29,65.66,4180.00,7000.00,7415.00,280.10,1.40,1960,France,1494.00,1071.50,1069.96,53.75,2688.00,2532.00,19.65,70.00,2688.00,2532.00,19.65,70.00,1960,France,13.50,,,,,,,,,,,,,1960,France,,,,,,,,,,,,,,,,,1960,France,,,,,,45684.23,28320.29,5317.38,11.64,1960,France
1961,France,12,FRA,250,1,0,1,0,42.86,19.05,4.76,2,0,0,0,80.54,13.91,5.54,71.20,12.30,4.90,88.40,3,1961,France,,77.2,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,20.6,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1961,France,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,42.6,0.0,0.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,France,1.5,0.84,0.71,6.10,3.44,2.66,0.44,21.18,1961,France,,,,,,,,,,,,,,,,1961,France,1,3,0,3,1,3,0,0,1961,France,,26.43,,37.37,5.12,8.42,2.40,,86.79,,,,5.52,,1961,France,19878.00,18820.00,18608.00,69.62,65.17,4027.00,7076.00,7505.00,239.70,1.20,1961,France,1963.00,2551.80,2600.57,130.83,2800.00,2642.00,20.25,,2800.00,2642.00,20.25,70.00,1961,France,13.90,,,,,,,,,,,,,1961,France,,,,,,,,,,,,,,,,,1961,France,,,,,,46162.83,28552.60,5408.18,11.72,1961,France
1962,France,12,FRA,250,1,0,1,0,63.56,6.97,1.36,2,0,0,3,92.70,5.72,1.58,69.65,4.82,1.40,75.87,2,1962,France,18/11/1962,68.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,33.7,2.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1962,France,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,49.5,3.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1962,France,1.9,0.80,0.71,4.94,3.43,1.51,0.31,15.02,1962,France,,,,,,,,,,,,,,,,1962,France,1,3,0,3,1,3,0,0,1962,France,,24.88,,37.49,6.54,12.08,5.33,,77.88,,,,5.43,,1962,France,19911.00,18980.00,18738.00,68.33,64.31,3882.00,7187.00,7669.00,261.60,1.30,1962,France,1884.00,1472.50,1901.46,95.50,2700.00,2545.00,19.11,,2700.00,2545.00,19.11,70.00,1962,France,14.60,,,,,,,,,,,,,1962,France,,,,,,,,,,,,,,,,,1962,France,,,,,,46997.70,29137.70,5544.15,11.80,1962,France
1963,France,12,FRA,250,1,0,1,0,72.73,0.00,0.00,1,1,-1,0,92.87,7.13,0.00,49.50,3.80,0.00,53.30,2,1963,France,,68.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,33.7,2.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1963,France,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,49.5,3.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1963,France,1.9,0.80,0.71,4.94,3.43,1.51,0.31,15.02,1963,France,,,,,,,,,,,,,,,,1963,France,1,3,0,3,1,3,0,0,1963,France,,24.92,61.56,38.39,6.43,12.12,5.00,,73.26,-0.05,0.32,,5.34,,1963,France,20110.00,19338.00,19065.00,67.63,64.11,3743.00,7398.00,7924.00,307.40,1.50,1963,France,2382.00,2646.10,5991.60,297.94,2915.00,2772.00,20.13,,2915.00,2772.00,20.13,70.00,1963,France,15.40,,,,,,,,,,,,,1963,France,,,,,,,,,,,,,,,,,1963,France,,,,,,47816.22,29736.29,5663.88,11.85,1963,France
1964,France,12,FRA,250,1,0,1,0,72.73,0.00,0.00,1,0,0,0,92.87,7.13,0.00,49.50,3.80,0.00,53.30,2,1964,France,,68.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,33.7,2.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1964,France,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,49.5,3.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1964,France,1.9,0.80,0.71,4.94,3.43,1.51,0.31,15.02,1964,France,,,,,,,,,,,,,,,,1964,France,1,3,0,3,1,3,0,0,1964,France,,25.71,56.59,39.26,6.57,10.92,3.21,,64.68,0.51,0.79,,5.45,,1964,France,20282.00,19616.00,19395.00,67.44,64.49,3606.00,7603.00,8186.00,249.30,1.20,1964,France,2281.00,2603.10,2496.79,123.10,2945.00,2806.00,19.73,,2945.00,2806.00,19.73,70.00,1964,France,16.10,,,,,,,,,,,,,1964,France,,,,,,,,,,,,,,,,,1964,France,,,,,,48310.41,30072.73,5777.42,11.96,1964,France
1965,France,12,FRA,250,1,0,1,0,72.73,0.00,0.00,1,0,0,0,92.87,7.13,0.00,49.50,3.80,0.00,53.30,2,1965,France,,68.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,33.7,2.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1965,France,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,49.5,3.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1965,France,1.9,0.80,0.71,4.94,3.43,1.51,0.31,15.02,1965,France,,,,,,,,,,,,,,,,1965,France,1,3,0,3,1,3,0,0,1965,France,,25.60,52.91,39.62,4.86,8.00,2.70,,58.08,0.53,0.81,,6.20,,1965,France,20407.00,19818.00,19541.00,67.20,64.35,3473.00,7640.00,8428.00,314.70,1.50,1965,France,1674.00,1237.10,979.86,48.02,2959.00,2818.00,19.47,70.00,2959.00,2818.00,19.47,70.00,1965,France,16.40,,,,,,,,,,,,,1965,France,,,,,,,,,,,,,,,,,1965,France,,,,,,48757.80,30368.49,5905.27,12.11,1965,France
1966,France,12,FRA,250,1,0,1,0,66.80,0.00,0.00,1,0,0,1,92.87,7.13,0.00,49.50,3.80,0.00,53.30,2,1966,France,,68.7,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,21.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,33.7,2.3,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1966,France,13.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,49.5,3.8,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1966,France,1.9,0.80,0.71,4.94,3.43,1.51,0.31,15.02,1966,France,,,,,,,,,,,,,,,,1966,France,1,3,0,3,1,3,0,0,1966,France,,26.21,52.22,39.47,5.23,8.37,2.60,,50.49,0.48,0.73,,6.58,,1966,France,20577.00,19975.00,19688.00,67.20,64.30,3344.00,7705.00,8639.00,338.40,1.60,1966,France,1711.00,3341.00,2523.49,122.64,2909.00,2781.00,18.89,,2909.00,2781.00,18.89,70.00,1966,France,16.50,,,,,,,,,,,,,1966,France,,,,,,,,,,,,,,,,,1966,France,,,,,,49163.66,30618.32,6039.57,12.28,1966,France
1967,France,12,FRA,250,1,0,1,0,57.77,20.02,0.00,1,0,0,1,85.15,14.85,0.00,42.97,7.40,0.00,50.36,5,1967,France,05/03/1967,81.1,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,33.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,14.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1967,France,0.0,0.0,25.1,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,40.6,8.7,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1967,France,2.3,0.78,0.73,4.55,3.76,0.79,0.17,9.99,1967,France,,,,,,,,,,,,,,,,1967,France,1,3,0,3,1,3,0,0,1967,France,,26.04,50.79,39.28,4.95,8.13,2.79,,53.13,0.02,0.42,,6.71,,1967,France,20737.00,20145.00,19762.00,67.24,64.08,3220.00,7686.00,8856.00,447.70,2.10,1967,France,1675.00,2823.60,4203.51,202.71,2972.00,2839.00,19.06,,2972.00,2839.00,19.06,70.00,1967,France,16.70,,,,,,,,,,,,,1967,France,,,,,,,,,,,,,,,,,1967,France,,,,,,49548.30,30839.50,6184.23,12.48,1967,France
1968,France,12,FRA,250,1,0,1,0,64.64,17.79,0.00,1,0,0,2,81.96,18.04,0.00,49.77,11.02,0.00,60.79,3,1968,France,23/06/1968,80.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1968,France,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1968,France,2.1,0.77,0.60,4.32,2.49,1.83,0.42,19.23,1968,France,,,,,,,,,,,,,,,,1968,France,1,3,0,3,1,3,0,0,1968,France,,26.49,48.34,39.99,4.42,9.10,4.54,,52.14,-0.57,-0.08,,6.95,,1968,France,20805.00,20221.00,19733.00,66.98,63.52,3072.00,7621.00,9040.00,555.50,2.60,1968,France,,,,,3272.00,3064.00,20.42,,3272.00,3064.00,20.42,70.00,1968,France,17.00,,,,,,,,,,,,,1968,France,,,,,,,,,,,,,,,,,1968,France,,,,,,49915.40,31063.62,6312.01,12.65,1968,France
1969,France,12,FRA,250,1,0,1,0,79.25,13.31,0.00,1,0,0,1,78.52,21.48,0.00,60.00,16.51,0.00,76.51,3,1969,France,,80.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1969,France,0.0,0.0,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1969,France,2.1,0.77,0.60,4.32,2.49,1.83,0.42,19.23,1969,France,,,,,,,,,,,,,-0.42,-1.63,0.94,1969,France,1,3,0,3,1,3,0,0,1969,France,,28.69,43.29,40.53,7.19,15.05,6.05,47.52,47.52,0.70,1.15,,8.18,,1969,France,21043.00,20466.00,20041.00,67.17,63.97,2901.00,7812.00,9328.00,475.40,2.20,1969,France,2207.00,1443.60,2223.57,105.67,3634.00,3439.00,22.19,,3634.00,3439.00,22.19,70.00,1969,France,17.00,,,,,,,,,,,,,1969,France,,,,,,,,,,,,,,,,,1969,France,,,,,,50317.98,31327.22,6421.81,12.76,1969,France
