year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Germany,13,DEU,276,1,0,1,0,5.85,94.15,0.00,1,0,0,1,2.93,97.07,0.00,1.69,54.40,0.00,56.09,1,1960,Germany,,87.8,31.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,39.7,10.5,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1960,Germany,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,43.7,10.7,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Germany,9.2,0.72,0.67,3.58,3.07,0.52,0.14,4.60,1960,Germany,0.78,2.41,3.09,37.8,3.80,2.67,0.88,5.0,4.0,3.5,4.0,0.69,,,,1960,Germany,5,4,2,0,2,4,0,1,1960,Germany,,27.93,32.71,35.84,,,1.54,16.28,16.28,3.13,3.25,,6.30,,1960,Germany,26518.00,26225.00,25954.00,70.34,68.85,3623.00,12191.00,10140.00,183.30,0.70,1960,Germany,,17.10,37.72,1.42,7778.60,6947.77,34.67,85.00,7778.60,6947.77,34.67,85.00,1960,Germany,12.00,,,,,,,,,,,,,1960,Germany,,,,,,,,,,,,,,,,,1960,Germany,,,,,,55585.00,37698.00,6029.00,10.85,1960,Germany
1961,Germany,13,DEU,276,1,0,1,0,3.13,96.87,0.00,1,0,0,1,2.85,97.15,0.00,1.76,53.62,0.00,55.39,1,1961,Germany,17/09/1961,87.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,9.6,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1961,Germany,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,10.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Germany,8.3,0.71,0.68,3.50,3.11,0.39,0.11,3.10,1961,Germany,,,,,,,,,,,,,,,,1961,Germany,5,4,2,0,2,4,0,1,1961,Germany,,26.66,34.06,36.93,4.72,9.62,2.29,15.60,15.60,2.87,2.93,,5.88,,1961,Germany,26772.00,26419.00,26238.00,70.95,69.53,3449.00,12490.00,10299.00,132.10,0.50,1961,Germany,,20.40,60.91,2.28,7834.20,6965.77,34.18,,7834.20,6965.77,34.18,85.00,1961,Germany,12.00,,,,,,,,,,,,,1961,Germany,,,,,,,,,,,,,,,,,1961,Germany,,,,,,56175.00,37735.00,6255.00,11.13,1961,Germany
1962,Germany,13,DEU,276,1,0,1,0,22.18,77.82,0.00,1,0,0,2,20.17,79.83,0.00,12.48,48.50,0.00,60.98,2,1962,Germany,,87.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,9.6,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1962,Germany,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,10.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Germany,8.3,0.71,0.68,3.50,3.11,0.39,0.11,3.10,1962,Germany,,,,,,,,,,,,,,,,1962,Germany,5,4,2,0,2,4,0,1,1962,Germany,,26.44,35.81,37.29,4.71,8.81,2.84,15.18,15.18,1.48,1.57,,5.91,,1962,Germany,26845.00,26444.00,26289.00,70.72,69.26,3307.00,12574.00,10408.00,105.70,0.40,1962,Germany,,79.20,450.95,16.80,7908.40,6981.53,33.84,,7908.40,6981.53,33.84,85.00,1962,Germany,12.10,,,,,,,,,,,,,1962,Germany,,,,,,,,,,,,,,,,,1962,Germany,,,,,,56837.00,37958.00,6415.00,11.29,1962,Germany
1963,Germany,13,DEU,276,1,0,1,0,24.06,75.94,0.00,1,0,0,1,21.65,78.35,0.00,13.40,48.50,0.00,61.90,2,1963,Germany,,87.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,9.6,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1963,Germany,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,10.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Germany,8.3,0.71,0.68,3.50,3.11,0.39,0.11,3.10,1963,Germany,,,,,,,,,,,,,,,,1963,Germany,5,4,2,0,2,4,0,1,1963,Germany,,26.97,36.59,37.50,2.93,6.10,2.97,15.96,15.96,0.92,1.02,,6.05,,1963,Germany,26930.00,26505.00,26319.00,70.75,69.15,3144.00,12604.00,10571.00,132.50,0.50,1963,Germany,,316.40,1846.03,68.55,7936.90,6953.83,33.37,,7936.90,6953.83,33.37,85.00,1963,Germany,12.00,,,,,,,,,,,,,1963,Germany,,,,,,,,,,,,,,,,,1963,Germany,,,,,,57389.00,38063.00,6595.00,11.49,1963,Germany
1964,Germany,13,DEU,276,1,0,1,0,25.00,75.00,0.00,1,0,0,0,21.65,78.35,0.00,13.40,48.50,0.00,61.90,2,1964,Germany,,87.7,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,9.6,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1964,Germany,38.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.5,10.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,Germany,8.3,0.71,0.68,3.50,3.11,0.39,0.11,3.10,1964,Germany,,,,,,,,,,,,,,,,1964,Germany,5,4,2,0,2,4,0,1,1964,Germany,,27.29,36.38,37.11,6.42,9.67,2.34,16.01,16.01,0.74,0.86,,6.23,,1964,Germany,26922.00,26466.00,26297.00,70.52,68.88,3002.00,12615.00,10680.00,132.40,0.50,1964,Germany,,5.60,16.71,0.62,8006.80,6954.68,33.07,,8006.80,6954.68,33.07,85.00,1964,Germany,12.00,,,,,,,,,,,,,1964,Germany,,,,,,,,,,,,,,,,,1964,Germany,,,,,,57971.00,38176.00,6806.00,11.74,1964,Germany
1965,Germany,13,DEU,276,1,0,1,0,23.91,76.09,0.00,1,0,0,1,20.74,79.26,0.00,12.76,48.67,0.00,61.42,2,1965,Germany,19/09/1965,86.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1965,Germany,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,9.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Germany,6.9,0.68,0.66,3.15,2.93,0.22,0.07,2.06,1965,Germany,,,,,,,,,,,,,,,,1965,Germany,5,4,2,0,2,4,0,1,1965,Germany,,28.38,37.10,36.48,5.26,9.15,3.24,16.57,16.57,-0.62,-0.46,,7.05,,1965,Germany,27034.00,26565.00,26418.00,70.49,68.89,2876.00,12792.00,10750.00,106.20,0.40,1965,Germany,,6.30,48.52,1.79,8094.60,7001.27,32.89,85.00,8094.60,7001.27,32.89,85.00,1965,Germany,12.30,,,,,,,,,,,,,1965,Germany,,,,,,,,,,,,,,,,,1965,Germany,,,,,,58619.00,38350.00,7028.00,11.99,1965,Germany
1966,Germany,13,DEU,276,1,0,1,0,15.66,80.52,3.82,2,1,1,2,13.72,82.44,3.84,8.14,49.40,3.46,60.99,2,1966,Germany,,86.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1966,Germany,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,9.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Germany,6.9,0.68,0.66,3.15,2.93,0.22,0.07,2.06,1966,Germany,,,,,,,,,,,,,,,,1966,Germany,5,4,2,0,2,4,0,1,1966,Germany,,28.92,37.14,36.96,2.89,6.44,3.53,17.07,17.07,-0.18,0.09,,8.13,,1966,Germany,26962.00,26481.00,26320.00,70.20,68.52,2790.00,12656.00,10874.00,132.50,0.50,1966,Germany,,196.00,27.09,1.00,8069.90,6910.25,32.47,,8069.90,6910.25,32.47,85.00,1966,Germany,12.60,,,,,,,,,,,,,1966,Germany,,,,,,,,,,,,,,,,,1966,Germany,,,,,,59148.00,38410.00,7245.00,12.25,1966,Germany
1967,Germany,13,DEU,276,1,0,1,0,0.00,55.00,45.00,3,1,1,0,0.00,54.83,45.17,0.00,49.40,40.70,90.10,2,1967,Germany,,86.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1967,Germany,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,9.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Germany,6.9,0.68,0.66,3.15,2.93,0.22,0.07,2.06,1967,Germany,,,,,,,,,,,,,,,,1967,Germany,5,4,2,0,2,4,0,1,1967,Germany,,29.24,39.00,37.54,-0.25,1.33,1.80,19.69,19.69,-1.46,-1.01,,6.92,,1967,Germany,26409.00,25920.00,25461.00,69.24,66.75,2638.00,11933.00,10890.00,362.10,1.40,1967,Germany,,59.60,389.58,14.75,7952.90,6747.34,32.81,,7952.90,6747.34,32.81,85.00,1967,Germany,13.70,,,,,,,,,,,,,1967,Germany,,,,,,,,,,,,,,,,,1967,Germany,,,,,,59286.00,38141.00,7459.00,12.58,1967,Germany
1968,Germany,13,DEU,276,1,0,1,0,0.00,55.00,45.00,3,0,0,0,0.00,54.83,45.17,0.00,49.40,40.70,90.10,2,1968,Germany,,86.8,39.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,9.6,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1968,Germany,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.5,9.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,Germany,6.9,0.68,0.66,3.15,2.93,0.22,0.07,2.06,1968,Germany,,,,,,,,,,,,,,,,1968,Germany,5,4,2,0,2,4,0,1,1968,Germany,,30.72,39.26,38.43,5.54,7.97,1.47,20.27,20.27,-0.83,-0.43,,6.53,,1968,Germany,26291.00,25814.00,25491.00,69.21,67.10,2523.00,12014.00,10954.00,257.90,1.00,1968,Germany,,25.20,25.25,0.96,7902.90,6676.93,32.25,,7902.90,6676.93,32.25,85.00,1968,Germany,13.70,,,,,,,,,,,,,1968,Germany,,,,,,,,,,,,,,,,,1968,Germany,,,,,,59500.00,37987.00,7654.00,12.86,1968,Germany
1969,Germany,13,DEU,276,1,0,1,0,3.65,44.30,50.84,3,0,0,1,2.28,44.16,53.56,1.17,39.79,41.58,82.53,2,1969,Germany,28/09/1969,86.7,42.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,9.5,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1969,Germany,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,9.9,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969,Germany,6.6,0.67,0.63,3.03,2.71,0.32,0.10,3.89,1969,Germany,,,,,,,,,,,,,0.37,0.25,0.38,1969,Germany,5,4,2,0,2,4,0,1,1969,Germany,,31.96,38.66,39.79,7.46,11.94,1.91,18.39,18.39,1.12,1.52,,6.84,,1969,Germany,26535.00,26050.00,25871.00,69.43,67.69,2395.00,12447.00,11029.00,156.40,0.60,1969,Germany,,89.60,249.18,9.39,8018.00,6746.92,31.72,,8018.00,6746.92,31.72,85.00,1969,Germany,13.60,,,,,,,,,,,,,1969,Germany,,,,,,,,,,,,,,,,,1969,Germany,,,,,,60067.00,38219.00,7837.00,13.05,1969,Germany
