year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Greece,14,GRC,300,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.00,0.00,0.00,57.00,1,1960,Greece,,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.2,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1960,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1960,Greece,1.3,0.72,0.59,3.52,2.45,1.07,0.30,14.34,1960,Greece,-0.64,-0.74,2.27,98.1,4.45,7.88,3.12,1.0,1.0,2.0,2.0,0.38,,,,1960,Greece,,0,0,0,2,1,0,1,1960,Greece,,24.47,23.05,23.28,,,1.48,8.68,8.68,0.24,0.22,,,,1960,Greece,3606.00,3606.00,3386.00,,,1935.00,588.00,863.00,200.70,5.60,1960,Greece,,,,,,,,,,,,,1960,Greece,5.30,,,,,,,,,,,,,1960,Greece,,,,,,,,,,,,,,,,,1960,Greece,,,,,,8331.72,5470.10,686.10,8.23,1960,Greece
1961,Greece,14,GRC,300,1,0,0,0,87.95,0.00,0.00,1,0,0,2,87.95,0.00,0.00,50.40,0.00,0.00,50.40,1,1961,Greece,29/10/1961,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1961,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1961,Greece,0.7,0.61,0.57,2.54,2.31,0.24,0.09,8.09,1961,Greece,,,,,,,,,,,,,,,,1961,Greece,,0,0,0,2,1,0,1,1961,Greece,,23.60,22.72,23.43,13.20,14.45,2.10,9.06,9.06,0.71,0.71,,,,1961,Greece,3639.00,3639.00,3424.00,66.14,61.81,1927.00,616.00,881.00,199.10,5.50,1961,Greece,,,,,,,,,,,,,1961,Greece,,,,,,,,,,,,,,1961,Greece,,,,,,,,,,,,,,,,,1961,Greece,,,,,,8398.05,5502.13,698.85,8.32,1961,Greece
1962,Greece,14,GRC,300,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,58.70,0.00,0.00,58.70,1,1962,Greece,,81.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1962,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6,1962,Greece,0.7,0.61,0.57,2.54,2.31,0.24,0.09,8.09,1962,Greece,,,,,,,,,,,,,,,,1962,Greece,,0,0,0,2,1,0,1,1962,Greece,,23.11,23.80,24.35,0.37,5.07,-0.48,9.79,9.79,0.56,0.59,,,,1962,Greece,3547.00,3547.00,3367.00,,,1841.00,626.00,900.00,169.60,4.80,1962,Greece,,,,,,,,,,,,,1962,Greece,,,,,,,,,,,,,,1962,Greece,,,,,,,,,,,,,,,,,1962,Greece,,,,,,8448.23,5548.58,717.48,8.49,1962,Greece
1963,Greece,14,GRC,300,1,0,0,0,60.82,0.00,0.00,1,0,0,4,60.82,0.00,0.00,33.86,0.00,0.00,33.86,1,1963,Greece,03/11/1963,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1963,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Greece,0.3,0.65,0.59,2.83,2.42,0.41,0.15,5.96,1963,Greece,,,,,,,,,,,,,,,,1963,Greece,,0,0,0,2,1,0,1,1963,Greece,,24.34,22.25,23.37,11.85,13.09,3.18,11.60,11.60,1.12,1.31,,,,1963,Greece,3494.00,3494.00,3320.00,,,1759.00,641.00,920.00,167.20,4.80,1963,Greece,,,,,,,,,,,,,1963,Greece,,,,,,,,,,,,,,1963,Greece,,,,,,,,,,,,,,,,,1963,Greece,,,,,,8479.63,5568.51,737.80,8.70,1963,Greece
1964,Greece,14,GRC,300,1,0,0,0,86.61,0.00,0.00,1,0,0,1,86.61,0.00,0.00,49.37,0.00,0.00,49.37,1,1964,Greece,16/02/1964,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1964,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,Greece,0.7,0.58,0.54,2.40,2.18,0.22,0.09,4.41,1964,Greece,,,,,,,,,,,,,,,,1964,Greece,,0,0,0,2,1,0,1,1964,Greece,,24.36,22.90,23.91,9.41,13.14,0.62,12.46,12.46,1.01,1.26,,,,1964,Greece,3438.00,3438.00,3278.00,,,1681.00,657.00,940.00,157.90,4.60,1964,Greece,,,,,,,,,,,,,1964,Greece,,,,,,,,,,,,,,1964,Greece,,,,,,,,,,,,,,,,,1964,Greece,,,,,,8510.43,5575.64,756.49,8.89,1964,Greece
1965,Greece,14,GRC,300,1,0,0,0,100.00,0.00,0.00,1,0,0,3,63.29,0.00,0.00,51.72,0.00,0.00,51.72,1,1965,Greece,,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1965,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Greece,0.7,0.58,0.54,2.40,2.18,0.22,0.09,4.41,1965,Greece,,,,,,,,,,,,,,,,1965,Greece,,0,0,0,2,1,0,1,1965,Greece,,24.67,22.44,22.84,10.77,15.29,3.22,12.83,12.83,0.40,0.75,,,,1965,Greece,3420.00,3420.00,3255.00,,,1606.00,688.00,961.00,164.00,4.80,1965,Greece,,,,,,,,,,,,,1965,Greece,,,,,,,,,,,,,,1965,Greece,,,,,,,,,,,,,,,,,1965,Greece,,,,,,8550.33,5592.39,773.50,9.05,1965,Greece
1966,Greece,14,GRC,300,1,0,0,0,97.26,0.00,0.00,1,0,0,1,97.26,0.00,0.00,49.31,0.00,0.00,49.31,2,1966,Greece,,81.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1966,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Greece,0.7,0.58,0.54,2.40,2.18,0.22,0.09,4.41,1966,Greece,,,,,,,,,,,,,,,,1966,Greece,,0,0,0,2,1,0,1,1966,Greece,,24.97,23.62,24.19,6.50,11.74,4.90,14.48,14.48,0.58,0.90,,,,1966,Greece,3395.00,3395.00,3225.00,,,1534.00,709.00,982.00,169.60,5.00,1966,Greece,,,,,,,,,,,,,1966,Greece,,,,,,,,,,,,,,1966,Greece,,,,,,,,,,,,,,,,,1966,Greece,,,,,,8613.65,5631.25,795.14,9.23,1966,Greece
1967,Greece,14,GRC,300,1,0,0,0,16.36,0.00,0.00,1,0,0,2,4.93,0.00,0.00,5.45,0.00,0.00,5.45,,1967,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1967,Greece,,,,,,,,,1967,Greece,,,,,,,,,,,,,,,,1967,Greece,,,,,,,,,1967,Greece,,24.22,25.20,25.05,5.67,7.96,1.84,16.19,16.19,-0.15,0.20,,,,1967,Greece,3368.00,3368.00,3186.00,,,1466.00,716.00,1004.00,181.70,5.40,1967,Greece,,,,,,,,,,,,,1967,Greece,,,,,,,,,,,,,,1967,Greece,,,,,,,,,,,,,,,,,1967,Greece,,,,,,8684.09,5674.08,817.75,9.42,1967,Greece
1968,Greece,14,GRC,300,1,0,0,0,,,,,,,,,,,,,,,,1968,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1968,Greece,,,,,,,,,1968,Greece,,,,,,,,,,,,,,,,1968,Greece,,,,,,,,,1968,Greece,,23.64,25.75,26.18,7.20,8.79,0.14,17.44,17.44,0.43,0.83,,,,1968,Greece,3335.00,3335.00,3149.00,,,1401.00,722.00,1026.00,186.60,5.60,1968,Greece,,,,,,,,,,,,,1968,Greece,8.40,,,,,,,,,,,,,1968,Greece,,,,,,,,,,,,,,,,,1968,Greece,,,,,,8740.76,5700.73,839.52,9.60,1968,Greece
1969,Greece,14,GRC,300,1,0,0,0,,,,,,,,,,,,,,,,1969,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1969,Greece,,,,,,,,,1969,Greece,,,,,,,,,,,,,,,,1969,Greece,,,,,,,,,1969,Greece,,23.29,24.85,25.91,11.56,15.11,2.64,18.95,18.95,1.06,1.51,,,,1969,Greece,3312.00,3312.00,3138.00,,,1339.00,750.00,1049.00,172.00,5.20,1969,Greece,,,,,,,,,,,,,1969,Greece,8.00,,,,,,,,,,,,,1969,Greece,,,,,,,,,,,,,,,,,1969,Greece,,,,,,8772.76,5695.21,875.28,9.98,1969,Greece
