year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Hungary,15,HUN,348,0,1,0,0,53.19,5.85,23.41,2,1,,0,71.67,9.11,19.22,42.50,5.40,11.40,59.30,3,1990,Hungary,08/04/1990,65.1,10.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,11.7,3.1,0.0,24.7,0.0,0.0,8.6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1990,Hungary,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.3,0.0,42.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1990,Hungary,7.3,0.85,0.74,6.77,3.80,2.98,0.44,13.68,1990,Hungary,,,,,,,,,,,,,,,,1990,Hungary,,0,0,0,2,1,0,1,1990,Hungary,0.00,46.42,,,,21.27,28.37,,73.74,,,,,,1990,Hungary,,,,,,,,,,,1990,Hungary,,,,,3988.60,3988.60,83.10,,3988.60,3988.60,83.10,,1990,Hungary,,,,,,,,,,,,,,1990,Hungary,,,,,,,,,,,,,,,,,1990,Hungary,2.00,0.63,,,,10374.00,6890.00,1385.00,13.35,1990,Hungary
1991,Hungary,15,HUN,348,0,1,0,0,57.89,5.26,21.05,2,0,0,0,71.67,9.11,19.22,42.50,5.40,11.40,59.30,3,1991,Hungary,,65.1,10.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,11.7,3.1,0.0,24.7,0.0,0.0,8.6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1991,Hungary,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.3,0.0,42.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1991,Hungary,7.3,0.85,0.74,6.77,3.80,2.98,0.44,13.68,1991,Hungary,,,,,,,,,,,,,,,,1991,Hungary,,0,0,0,2,1,0,1,1991,Hungary,0.00,58.41,54.69,51.30,,19.58,34.82,78.40,78.77,-2.40,-1.51,,,,1991,Hungary,,,,,,,,,,,1991,Hungary,3.00,24.00,9.45,, , , ,,3550.88,3478.88,76.30,,1991,Hungary,,,,,,,,5.63,,,,,,1991,Hungary,,,,,,,,,,,,,,,,,1991,Hungary,2.00,0.63,41.40,41.20,27.40,10373.00,6925.00,1405.00,13.54,1991,Hungary
1992,Hungary,15,HUN,348,0,1,0,0,57.89,5.26,21.05,2,0,0,0,71.67,9.11,19.22,42.50,5.40,11.40,59.30,3,1992,Hungary,,65.1,10.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,11.7,3.1,0.0,24.7,0.0,0.0,8.6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1992,Hungary,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.3,0.0,42.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1992,Hungary,7.3,0.85,0.74,6.77,3.80,2.98,0.44,13.68,1992,Hungary,,,,,,,,,,,,,,,,1992,Hungary,,0,0,0,2,1,0,1,1992,Hungary,0.00,55.49,59.09,50.90,-3.06,17.79,23.66,80.27,80.65,-5.74,-4.22,,,,1992,Hungary,4527.00,4470.00,4026.00,65.11,57.90,460.00,1432.00,2134.00,,,1992,Hungary,4.00,1.00,4.17,0.92, , , ,67.50,3113.16,2969.16,69.50,67.50,1992,Hungary,,,,,,,,5.98,,0.58,2.13,,,1992,Hungary,,,,,,,0.14,0.14,0.00,0.14,0.00,0.00,0.09,0.08,2.08,0.05,1992,Hungary,2.00,0.63,,,,10369.00,6953.00,1421.00,13.70,1992,Hungary
1993,Hungary,15,HUN,348,0,1,0,0,58.03,5.67,20.98,2,0,0,1,71.67,9.11,19.22,42.50,5.40,11.40,59.30,3,1993,Hungary,,65.1,10.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,11.7,3.1,0.0,24.7,0.0,0.0,8.6,0.0,0.0,0.0,0.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,1993,Hungary,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.3,0.0,42.5,0.0,0.0,5.4,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,1993,Hungary,7.3,0.85,0.74,6.77,3.80,2.98,0.44,13.68,1993,Hungary,,,,,,,,,,,,,,,,1993,Hungary,,0,0,0,2,1,0,1,1993,Hungary,0.17,53.62,58.63,51.10,-0.58,20.58,22.46,91.07,91.50,-5.31,-3.88,,,-11.20,1993,Hungary,4346.00,4289.00,3770.00,62.34,54.07,349.00,1292.00,2129.00,,,1993,Hungary,5.00,3.00,5.20,1.20, , , ,45.10,2675.44,2459.44,62.71,45.10,1993,Hungary,,,,,,,,6.00,,0.64,2.06,,,1993,Hungary,,,,,,,0.14,0.22,0.00,0.10,0.00,0.00,0.13,0.04,1.96,0.10,1993,Hungary,2.00,0.63,,,,10358.00,6972.00,1435.00,13.85,1993,Hungary
1994,Hungary,15,HUN,348,0,1,0,0,43.37,10.02,46.61,3,1,1,1,49.87,4.86,45.27,31.04,2.88,31.29,65.22,3,1994,Hungary,28/05/1994,68.9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,8.8,2.1,0.0,11.7,2.5,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1994,Hungary,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.3,0.0,9.9,0.0,0.0,5.2,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1994,Hungary,11.4,0.82,0.66,5.52,2.90,2.63,0.48,15.50,1994,Hungary,,,,,,,,,,,,,,,,1994,Hungary,,0,0,0,2,1,0,1,1994,Hungary,0.17,56.52,62.75,50.10,2.95,23.01,18.87,90.86,91.30,-8.92,-6.85,,,-9.80,1994,Hungary,4203.00,4095.00,3644.00,60.19,52.18,328.00,1237.00,2079.00,,,1994,Hungary,4.00,32.00,28.65,6.82, , , ,39.50,2237.72,1949.72,55.91,39.50,1994,Hungary,,,,,,,,6.40,,0.59,1.18,,,1994,Hungary,,,,,,,0.14,0.18,0.00,0.11,0.00,0.00,0.13,0.02,1.03,0.14,1994,Hungary,2.00,0.63,48.60,47.40,31.80,10343.00,6983.00,1450.00,14.02,1994,Hungary
1995,Hungary,15,HUN,348,0,1,0,0,20.23,0.00,79.77,4,1,1,0,24.86,0.00,75.14,17.90,0.00,54.10,72.00,3,1995,Hungary,,68.9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,8.8,2.1,0.0,11.7,2.5,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1995,Hungary,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.3,0.0,9.9,0.0,0.0,5.2,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1995,Hungary,11.4,0.82,0.66,5.52,2.90,2.63,0.48,15.50,1995,Hungary,,,,,,,,,,,,,,,,1995,Hungary,,0,0,0,2,1,0,1,1995,Hungary,0.17,78.45,54.77,46.22,1.49,28.62,28.31,87.58,88.00,-8.55,-0.52,,,-5.30,1995,Hungary,4095.00,3992.00,3575.00,58.62,51.17,295.00,1199.00,2081.00,391.00,9.70,1995,Hungary,7.00,172.00,258.59,63.15,1800.00,1440.00,49.11,32.80,1800.00,1440.00,49.11,32.80,1995,Hungary,14.90,,,,,,,5.60,,0.41,0.87,,,1995,Hungary,,,,,,,0.12,0.12,0.00,0.06,0.00,0.00,0.10,0.00,0.68,0.18,1995,Hungary,2.00,0.63,,,,10329.00,6986.00,1468.00,14.21,1995,Hungary
1996,Hungary,15,HUN,348,0,1,0,0,20.00,0.00,80.00,4,0,0,0,24.86,0.00,75.14,17.90,0.00,54.10,72.00,3,1996,Hungary,,68.9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,8.8,2.1,0.0,11.7,2.5,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1996,Hungary,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.3,0.0,9.9,0.0,0.0,5.2,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1996,Hungary,11.4,0.82,0.66,5.52,2.90,2.63,0.48,15.50,1996,Hungary,,,,,,,,,,,,,,,,1996,Hungary,,0,0,0,2,1,0,1,1996,Hungary,0.41,83.36,50.60,46.25,-0.06,21.84,23.47,75.93,76.31,-4.35,3.08,4.14,,-3.60,1996,Hungary,4048.00,3957.00,3557.00,57.95,50.92,302.40,1190.10,2064.50,395.00,9.90,1996,Hungary,8.00,5.00,2.40,0.59, ,1240.00,42.60,44.00,1573.33,1240.00,42.60,44.00,1996,Hungary,13.26,,,,,,,5.38,,0.37,0.73,,,1996,Hungary,,,,,,,0.11,0.08,0.00,0.06,0.00,0.00,0.11,0.00,0.58,0.15,1996,Hungary,2.00,0.63,,,,10311.00,6985.00,1484.00,14.39,1996,Hungary
1997,Hungary,15,HUN,348,0,1,0,0,20.00,0.00,80.00,4,0,0,0,24.86,0.00,75.14,17.90,0.00,54.10,72.00,3,1997,Hungary,,68.9,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,8.8,2.1,0.0,11.7,2.5,0.0,7.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1997,Hungary,54.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,0.3,0.0,9.9,0.0,0.0,5.2,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1997,Hungary,11.4,0.82,0.66,5.52,2.90,2.63,0.48,15.50,1997,Hungary,,,,,,,,,,,,,,,,1997,Hungary,,0,0,0,2,1,0,1,1997,Hungary,0.41,94.94,49.11,43.61,3.37,24.24,18.31,66.40,66.64,-5.49,1.64,2.57,,-2.00,1997,Hungary,3995.00,3916.00,3567.00,57.21,51.08,287.80,1207.90,2071.30,358.00,9.10,1997,Hungary,5.00,1.00,1.92,0.48, ,1040.00,35.30,43.70,1346.67,1040.00,35.30,43.70,1997,Hungary,12.42,,,,,,,5.06,,0.43,0.61,,,1997,Hungary,,,,,,,0.13,0.08,0.00,0.07,0.00,0.00,0.14,0.00,0.44,0.17,1997,Hungary,2.00,0.63,,,,10290.00,6983.00,1499.00,14.57,1997,Hungary
1998,Hungary,15,HUN,348,0,1,0,0,48.42,0.00,51.58,3,1,-1,1,50.67,0.00,49.33,30.06,0.00,33.65,63.71,3,1998,Hungary,24/05/1998,56.3,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,2.8,0.0,0.0,29.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1998,Hungary,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,4.4,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1998,Hungary,8.3,0.78,0.71,4.46,3.45,1.00,0.23,7.41,1998,Hungary,,,,,,,,,,,,,,,,1998,Hungary,,0,0,0,2,1,0,1,1998,Hungary,0.41,107.43,50.34,42.93,4.17,18.27,14.15,64.49,64.69,-7.41,-1.32,-0.64,,-4.80,1998,Hungary,4011.00,3949.00,3636.00,57.51,52.13,278.80,1264.30,2092.90,350.00,8.70,1998,Hungary,7.00,1.00,0.39,0.10,1120.00,840.00,27.55,41.30,1120.00,840.00,27.55,41.30,1998,Hungary,12.89,,,,,,,4.94,,0.38,0.60,,,1998,Hungary,,,,,,,0.12,0.07,0.00,0.09,0.00,0.00,0.10,0.00,0.44,0.16,1998,Hungary,2.00,0.63,,,,10267.00,6975.00,1514.00,14.75,1998,Hungary
1999,Hungary,15,HUN,348,0,1,0,0,77.78,0.00,22.22,2,1,-1,0,77.50,0.00,22.50,42.70,0.00,12.40,55.10,3,1999,Hungary,,56.3,32.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,2.8,0.0,0.0,29.5,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1999,Hungary,34.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,0.0,0.0,4.4,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1999,Hungary,8.3,0.78,0.71,4.46,3.45,1.00,0.23,7.41,1999,Hungary,,,,,,,,,,,,,-0.43,-1.11,0.43,1999,Hungary,,0,0,0,2,1,0,1,1999,Hungary,0.41,113.93,48.41,43.30,3.09,11.28,10.00,66.56,66.71,-5.11,0.96,1.91,9.91,-7.80,1999,Hungary,4096.00,4034.00,3749.00,58.81,53.83,269.60,1296.20,2183.20,279.00,6.90,1999,Hungary,5.00,17.00,241.96,59.07,1086.00,775.00,24.50,38.90,1086.00,775.00,24.50,38.90,1999,Hungary,13.05,20.87,12.92,7.55,7.04,1.15,2.65,4.91,3.13,0.40,0.82,0.61,0.17,1999,Hungary,1.51,0.45,0.01,0.63,,0.53,0.11,0.07,0.00,0.08,0.00,0.00,0.13,0.00,0.63,0.20,1999,Hungary,2.00,0.63,44.40,43.60,29.00,10238.00,6965.00,1526.00,14.91,1999,Hungary
