year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Iceland,16,ISL,352,1,0,0,0,66.67,0.00,33.33,2,1,-2,0,72.73,0.00,27.27,40.00,0.00,15.00,55.00,2,1960,Iceland,,90.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Iceland,3.3,0.73,0.71,3.66,3.44,0.21,0.06,3.08,1960,Iceland,0.53,-1.00,3.72,46.3,3.20,3.85,2.20,1.0,1.4,1.0,2.0,0.34,,,,1960,Iceland,1,0,0,1,2,2,0,1,1960,Iceland,,86.07,,,,,1.99,,,,,,,,1960,Iceland,68.20,68.20,68.10,,,15.60,23.60,28.90,0.00,0.00,1960,Iceland,,,,,, , , ,,,,,1960,Iceland,7.10,,,,,,,,,,,,,1960,Iceland,,,,,,,,,,,,,,,,,1960,Iceland,,,,,,175.90,100.50,14.20,8.07,1960,Iceland
1961,Iceland,16,ISL,352,1,0,0,0,66.67,0.00,33.33,2,0,0,0,72.73,0.00,27.27,40.00,0.00,15.00,55.00,2,1961,Iceland,,90.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Iceland,3.3,0.73,0.71,3.66,3.44,0.21,0.06,3.08,1961,Iceland,,,,,,,,,,,,,,,,1961,Iceland,1,0,0,1,2,2,0,1,1961,Iceland,,78.48,,,-0.08,13.60,4.71,,,,,,,,1961,Iceland,69.40,69.40,69.30,,,15.40,24.20,29.70,0.20,0.30,1961,Iceland,,,,,, , , ,,,,,1961,Iceland,,,,,,,,,,,,,,1961,Iceland,,,,,,,,,,,,,,,,,1961,Iceland,,,,,,178.90,101.80,14.70,8.22,1961,Iceland
1962,Iceland,16,ISL,352,1,0,0,0,66.67,0.00,33.33,2,0,0,0,72.73,0.00,27.27,40.00,0.00,15.00,55.00,2,1962,Iceland,,90.4,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.7,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Iceland,3.3,0.73,0.71,3.66,3.44,0.21,0.06,3.08,1962,Iceland,,,,,,,,,,,,,,,,1962,Iceland,1,0,0,1,2,2,0,1,1962,Iceland,,85.18,,,8.31,20.02,11.02,,,,,,,,1962,Iceland,70.60,70.60,70.50,,,15.20,25.00,30.30,0.20,0.20,1962,Iceland,,,,,, , , ,,,,,1962,Iceland,,,,,,,,,,,,,,1962,Iceland,,,,,,,,,,,,,,,,,1962,Iceland,,,,,,182.10,103.30,15.10,8.29,1962,Iceland
1963,Iceland,16,ISL,352,1,0,0,0,65.41,0.00,34.59,3,1,1,1,73.03,0.00,26.97,40.00,0.00,14.78,54.78,2,1963,Iceland,09/06/1963,91.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1963,Iceland,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Iceland,1.7,0.70,0.70,3.37,3.33,0.04,0.01,2.83,1963,Iceland,,,,,,,,,,,,,,,,1963,Iceland,1,0,0,1,2,2,0,1,1963,Iceland,,82.35,,,10.28,19.47,12.93,,,,,,,,1963,Iceland,71.90,71.90,71.80,,,15.20,26.10,30.50,0.00,0.00,1963,Iceland,,,,,, , , ,,,,,1963,Iceland,,,,,,,,,,,,,,1963,Iceland,,,,,,,,,,,,,,,,,1963,Iceland,,,,,,185.50,105.40,15.50,8.36,1963,Iceland
1964,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,0,75.05,0.00,24.95,40.00,0.00,13.30,53.30,2,1964,Iceland,,91.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1964,Iceland,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,Iceland,1.7,0.70,0.70,3.37,3.33,0.04,0.01,2.83,1964,Iceland,,,,,,,,,,,,,,,,1964,Iceland,1,0,0,1,2,2,0,1,1964,Iceland,,74.36,,,9.92,27.73,19.25,,,,,,,,1964,Iceland,79.78,72.60,72.50,67.53,67.44,14.10,26.80,31.60,0.20,0.20,1964,Iceland,,,,,, , , ,,,,,1964,Iceland,,,,,,,,,,,,,,1964,Iceland,,,,,,,,,,,,,,,,,1964,Iceland,,,,,,188.80,107.50,15.80,8.37,1964,Iceland
1965,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,0,75.05,0.00,24.95,40.00,0.00,13.30,53.30,2,1965,Iceland,,91.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1965,Iceland,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Iceland,1.7,0.70,0.70,3.37,3.33,0.04,0.01,2.83,1965,Iceland,,,,,,,,,,,,,,,,1965,Iceland,1,0,0,1,2,2,0,1,1965,Iceland,,70.03,,,7.29,20.83,7.32,,,,,,,,1965,Iceland,83.43,75.80,75.70,69.10,69.01,14.20,27.90,33.60,0.20,0.20,1965,Iceland,,,,,, , , ,,,,,1965,Iceland,,,,,,,,,,,,,,1965,Iceland,,,,,,,,,,,,,,,,,1965,Iceland,,,,,,192.30,109.70,16.20,8.42,1965,Iceland
1966,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,0,75.05,0.00,24.95,40.00,0.00,13.30,53.30,2,1966,Iceland,,91.1,14.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,28.2,0.0,0.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1966,Iceland,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,31.7,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Iceland,1.7,0.70,0.70,3.37,3.33,0.04,0.01,2.83,1966,Iceland,,,,,,,,,,,,,,,,1966,Iceland,1,0,0,1,2,2,0,1,1966,Iceland,,65.72,,,8.74,20.11,10.69,,,,,,,,1966,Iceland,85.56,77.70,77.60,69.38,69.29,14.70,27.60,35.30,0.20,0.20,1966,Iceland,,,,,, , , ,,,,,1966,Iceland,,,,,,,,,,,,,,1966,Iceland,,,,,,,,,,,,,,,,,1966,Iceland,,,,,,195.60,112.00,16.60,8.49,1966,Iceland
1967,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,1,73.27,0.00,26.73,39.05,0.00,14.25,53.30,2,1967,Iceland,11/06/1967,91.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1967,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Iceland,1.7,0.74,0.72,3.77,3.55,0.23,0.06,2.23,1967,Iceland,,,,,,,,,,,,,,,,1967,Iceland,1,0,0,1,2,2,0,1,1967,Iceland,,63.18,,,-1.27,1.47,3.32,,,,,,,,1967,Iceland,85.61,77.60,77.30,67.89,67.63,14.80,27.20,35.30,0.60,0.70,1967,Iceland,,,,,, , , ,,,,,1967,Iceland,,,,,,,,,,,,,,1967,Iceland,,,,,,,,,,,,,,,,,1967,Iceland,,,,,,198.80,114.30,16.90,8.50,1967,Iceland
1968,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,0,71.86,0.00,28.14,38.30,0.00,15.00,53.30,2,1968,Iceland,,91.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1968,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,Iceland,1.7,0.74,0.72,3.77,3.55,0.23,0.06,2.23,1968,Iceland,,,,,,,,,,,,,,,,1968,Iceland,1,0,0,1,2,2,0,1,1968,Iceland,,69.93,,,-5.47,7.47,14.87,,,,,,,,1968,Iceland,87.68,79.00,78.00,67.81,66.95,15.00,26.90,36.10,1.90,2.20,1968,Iceland,,,,,, , , ,,,,,1968,Iceland,9.00,,,,,,,,,,,,,1968,Iceland,,,,,,,,,,,,,,,,,1968,Iceland,,,,,,201.50,116.50,17.30,8.59,1968,Iceland
1969,Iceland,16,ISL,352,1,0,0,0,57.14,0.00,42.86,3,0,0,0,71.86,0.00,28.14,38.30,0.00,15.00,53.30,2,1969,Iceland,,91.4,15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,28.1,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1969,Iceland,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,38.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969,Iceland,1.7,0.74,0.72,3.77,3.55,0.23,0.06,2.23,1969,Iceland,,,,,,,,,,,,,-0.52,0.56,-1.46,1969,Iceland,1,0,0,1,2,2,0,1,1969,Iceland,,82.59,,,2.37,23.76,22.05,,,,,,,,1969,Iceland,90.40,80.70,78.70,68.22,66.53,15.10,27.10,36.50,3.90,4.30,1969,Iceland,,,,,, , , ,,,,,1969,Iceland,,,,,,,,,,,,,,1969,Iceland,,,,,,,,,,,,,,,,,1969,Iceland,,,,,,203.40,118.30,17.70,8.70,1969,Iceland
