year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,53.10,0.00,0.00,53.10,1,1960,Ireland,,71.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,0.0,0.0,0.0,0.0,0.0,0.0,48.3,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,1960,Ireland,8.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,0.0,0.0,0.0,0.0,0.0,0.0,53.1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,1960,Ireland,3.4,0.68,0.64,3.17,2.75,0.42,0.13,3.95,1960,Ireland,0.17,-0.42,2.89,49.5,4.16,3.93,2.55,1.0,2.0,2.0,2.0,0.41,,,,1960,Ireland,1,0,0,1,2,2,0,1,1960,Ireland,,62.52,29.44,27.45,,,,,55.71,-1.99,-0.03,,,,1960,Ireland,1118.00,1109.00,1046.00,68.11,63.72,390.00,248.00,408.00,63.80,5.80,1960,Ireland,49.00,5.90,80.35,71.87,325.50,292.95,45.35, ,325.50,292.95,45.35,,1960,Ireland,5.50,,,,,,,,,,,,,1960,Ireland,,,,,,,,,,,,,,,,,1960,Ireland,,,,,,2832.10,1641.50,315.10,11.13,1960,Ireland
1961,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,52.09,0.00,0.00,52.09,1,1961,Ireland,04/10/1961,70.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1961,Ireland,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1961,Ireland,2.1,0.69,0.65,3.24,2.82,0.42,0.13,4.08,1961,Ireland,,,,,,,,,,,,,,,,1961,Ireland,1,0,0,1,2,2,0,1,1961,Ireland,,67.39,31.77,29.14,5.02,7.68,2.78,,54.97,-2.63,-0.57,,,,1961,Ireland,1121.10,1112.10,1041.00,68.95,64.02,379.00,259.00,403.00,57.90,5.30,1961,Ireland,96.00,27.40,377.26,336.51,335.60,302.04,47.12, ,335.60,302.04,47.12,,1961,Ireland,5.50,,,,,,,,,,,,,1961,Ireland,,,,,,,,,,,,,,,,,1961,Ireland,,,,,,2818.30,1626.00,315.10,11.18,1961,Ireland
1962,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,48.60,0.00,0.00,48.60,4,1962,Ireland,,70.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1962,Ireland,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1962,Ireland,2.1,0.69,0.65,3.24,2.82,0.42,0.13,4.08,1962,Ireland,,,,,,,,,,,,,,,,1962,Ireland,1,0,0,1,2,2,0,1,1962,Ireland,,64.47,32.01,29.07,3.22,8.26,4.23,,55.21,-2.94,-0.90,,,,1962,Ireland,1114.00,1106.00,1052.00,68.26,64.46,370.00,270.00,412.00,57.20,5.20,1962,Ireland,60.00,9.20,104.02,93.38,348.50,313.65,48.03, ,348.50,313.65,48.03,,1962,Ireland,5.40,,,,,,,,,,,,,1962,Ireland,,,,,,,,,,,,,,,,,1962,Ireland,,,,,,2830.10,1632.10,316.50,11.18,1962,Ireland
1963,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,48.60,0.00,0.00,48.60,4,1963,Ireland,,70.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1963,Ireland,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1963,Ireland,2.1,0.69,0.65,3.24,2.82,0.42,0.13,4.08,1963,Ireland,,,,,,,,,,,,,,,,1963,Ireland,1,0,0,1,2,2,0,1,1963,Ireland,,67.38,34.00,31.05,4.75,7.54,2.42,,56.08,-2.95,-0.84,,,,1963,Ireland,1122.00,1114.00,1058.00,68.29,64.40,363.00,279.00,416.00,59.80,5.40,1963,Ireland,70.00,16.10,233.62,208.22,350.90,315.81,47.78, ,350.90,315.81,47.78,,1963,Ireland,5.80,,,,,,,,,,,,,1963,Ireland,,,,,,,,,,,,,,,,,1963,Ireland,,,,,,2850.00,1642.90,319.00,11.19,1963,Ireland
1964,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,48.60,0.00,0.00,48.60,4,1964,Ireland,,70.6,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1964,Ireland,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,48.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7,1964,Ireland,2.1,0.69,0.65,3.24,2.82,0.42,0.13,4.08,1964,Ireland,,,,,,,,,,,,,,,,1964,Ireland,1,0,0,1,2,2,0,1,1964,Ireland,,67.42,35.21,31.82,3.79,13.81,6.76,,53.48,-3.39,-1.23,,,,1964,Ireland,1124.00,1116.00,1063.00,68.11,64.41,354.00,288.00,421.00,57.80,5.20,1964,Ireland,87.00,25.30,545.38,485.21,362.30,326.07,48.45, ,362.30,326.07,48.45,,1964,Ireland,5.70,,,,,,,,,,,,,1964,Ireland,,,,,,,,,,,,,,,,,1964,Ireland,,,,,,2863.80,1650.30,320.50,11.19,1964,Ireland
1965,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,49.65,0.00,0.00,49.65,4,1965,Ireland,07/04/1965,75.1,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1965,Ireland,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1965,Ireland,3.5,0.63,0.62,2.72,2.63,0.09,0.03,1.94,1965,Ireland,,,,,,,,,,,,,,,,1965,Ireland,1,0,0,1,2,2,0,1,1965,Ireland,,71.35,36.19,32.66,1.93,6.47,4.99,,55.34,-3.53,-1.15,,,,1965,Ireland,1120.00,1112.00,1061.00,67.60,64.04,340.00,296.00,425.00,55.30,5.00,1965,Ireland,89.00,38.90,552.35,493.17,371.90,334.71,48.23, ,371.90,334.71,48.23,,1965,Ireland,5.90,,,,,,,,,,,,,1965,Ireland,,,,,,,,,,,,,,,,,1965,Ireland,,,,,,2875.80,1656.70,321.90,11.19,1965,Ireland
1966,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,50.00,0.00,0.00,50.00,4,1966,Ireland,,75.1,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1966,Ireland,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1966,Ireland,3.5,0.63,0.62,2.72,2.63,0.09,0.03,1.94,1966,Ireland,,,,,,,,,,,,,,,,1966,Ireland,1,0,0,1,2,2,0,1,1966,Ireland,,72.91,37.27,34.99,0.89,5.38,3.01,,59.18,-2.28,0.30,,,,1966,Ireland,1132.10,1124.10,1057.60,68.17,63.69,334.00,293.00,430.60,56.30,5.10,1966,Ireland,112.00,52.20,783.63,692.19,372.60,335.34,48.32, ,372.60,335.34,48.32,,1966,Ireland,6.30,,,,,,,,,,,,,1966,Ireland,,,,,,,,,,,,,,,,,1966,Ireland,,,,,,2884.00,1660.60,323.00,11.20,1966,Ireland
1967,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,50.00,0.00,0.00,50.00,4,1967,Ireland,,75.1,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1967,Ireland,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1967,Ireland,3.5,0.63,0.62,2.72,2.63,0.09,0.03,1.94,1967,Ireland,,,,,,,,,,,,,,,,1967,Ireland,1,0,0,1,2,2,0,1,1967,Ireland,,71.45,39.71,36.99,5.79,9.22,3.18,,58.44,-2.72,0.07,,,,1967,Ireland,1116.00,1108.00,1052.00,66.81,62.98,320.00,297.00,435.00,60.70,5.50,1967,Ireland,79.00,20.90,182.65,163.66,377.70,339.93,48.77, ,377.70,339.93,48.77,,1967,Ireland,6.30,,,,,,,,,,,,,1967,Ireland,,,,,,,,,,,,,,,,,1967,Ireland,,,,,,2899.70,1670.30,324.10,11.18,1967,Ireland
1968,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,50.00,0.00,0.00,50.00,4,1968,Ireland,,75.1,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1968,Ireland,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.6,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1968,Ireland,2.1,0.63,0.62,2.72,2.63,0.09,0.03,1.94,1968,Ireland,,,,,,,,,,,,,,,,1968,Ireland,1,0,0,1,2,2,0,1,1968,Ireland,,76.31,40.45,37.70,8.24,12.83,4.75,,55.46,-2.75,0.00,,,,1968,Ireland,1123.00,1115.00,1055.00,66.93,62.88,310.00,305.00,440.00,64.40,5.80,1968,Ireland,126.00,38.90,405.69,361.26,389.80,350.82,49.62, ,389.80,350.82,49.62,,1968,Ireland,6.50,,,,,,,,,,,,,1968,Ireland,,,,,,,,,,,,,,,,,1968,Ireland,,,,,,2912.20,1677.90,324.90,11.16,1968,Ireland
1969,Ireland,17,IRL,372,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,51.05,0.00,0.00,51.05,1,1969,Ireland,16/06/1969,76.9,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.1,0.0,0.0,0.0,0.0,0.0,0.0,45.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1969,Ireland,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.7,0.0,0.0,0.0,0.0,0.0,0.0,52.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1969,Ireland,2.1,0.65,0.59,2.82,2.45,0.37,0.13,5.55,1969,Ireland,,,,,,,,,,,,,0.12,-0.01,0.21,1969,Ireland,1,0,0,1,2,2,0,1,1969,Ireland,,75.98,42.98,39.54,5.86,15.51,7.34,,52.86,-3.44,-0.50,,,,1969,Ireland,1122.00,1114.00,1058.00,66.55,62.76,298.00,315.00,445.00,61.00,5.50,1969,Ireland,134.00,61.80,935.90,834.14,409.20,368.28,51.29, ,409.20,368.28,51.29,,1969,Ireland,6.80,,,,,,,,,,,,,1969,Ireland,,,,,,,,,,,,,,,,,1969,Ireland,,,,,,2925.20,1685.90,326.00,11.14,1969,Ireland
