year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Italy,18,ITA,380,1,0,1,0,0.00,100.00,0.00,1,1,-1,2,0.00,100.00,0.00,0.00,45.80,0.00,45.80,4,1960,Italy,,93.7,14.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.6,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1960,Italy,14.1,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1960,Italy,4.2,0.74,0.71,3.87,3.46,0.41,0.11,3.24,1960,Italy,1.12,-0.39,4.84,11.7,1.49,3.61,2.42,1.3,3.0,2.0,2.1,0.28,,,,1960,Italy,3,1,0,0,2,3,0,1,1960,Italy,,26.01,28.39,27.56,,,2.35,42.32,42.33,-0.84,-0.10,,5.26,,1960,Italy,22042.00,21484.00,20269.00,66.61,61.25,6611.00,6865.00,6793.00,1156.70,5.30,1960,Italy,2471.00,2337.90,5786.18,262.51,4457.60,2885.80,24.68,80.00,4457.60,2885.80,24.68,80.00,1960,Italy,9.80,,,,,,,,,,,,,1960,Italy,,,,,,,,,,,,,,,,,1960,Italy,,,,,,48967.00,33093.00,4673.80,9.54,1960,Italy
1961,Italy,18,ITA,380,1,0,1,0,0.00,100.00,0.00,1,0,0,0,0.00,100.00,0.00,0.00,45.80,0.00,45.80,4,1961,Italy,,93.7,14.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.6,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1961,Italy,14.1,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1961,Italy,4.2,0.74,0.71,3.87,3.46,0.41,0.11,3.24,1961,Italy,,,,,,,,,,,,,,,,1961,Italy,3,1,0,0,2,3,0,1,1961,Italy,,26.31,27.49,26.76,8.21,11.22,2.05,41.87,41.88,-0.73,-0.05,,4.97,,1961,Italy,22039.00,21474.00,20366.00,66.21,61.18,6272.00,7138.00,6956.00,1070.00,4.90,1961,Italy,3502.00,2697.80,9890.86,448.79,4490.20,2981.10,24.78,,4490.20,2981.10,24.78,80.00,1961,Italy,9.09,,,,,,,,,,,,,1961,Italy,,,,,,,,,,,,,,,,,1961,Italy,,,,,,49156.00,33288.80,4778.95,9.72,1961,Italy
1962,Italy,18,ITA,380,1,0,1,0,0.00,89.25,10.75,2,1,1,1,0.00,93.70,6.30,0.00,46.66,3.18,49.84,2,1962,Italy,,93.7,14.2,0.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.6,0.0,0.0,0.0,0.0,0.0,42.4,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1962,Italy,14.1,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,1962,Italy,4.2,0.74,0.71,3.87,3.46,0.41,0.11,3.24,1962,Italy,,,,,,,,,,,,,,,,1962,Italy,3,1,0,0,2,3,0,1,1962,Italy,,26.54,28.50,27.57,6.20,12.35,4.69,42.50,42.51,-0.93,-0.30,,5.05,,1962,Italy,21805.00,21239.00,20270.00,64.98,60.41,5923.00,7341.00,7006.00,928.70,4.30,1962,Italy,3652.00,2909.80,22716.54,1041.80,4636.40,3127.00,25.23,,4636.40,3127.00,25.23,80.00,1962,Italy,9.54,,,,,,,,,,,,,1962,Italy,,,,,,,,,,,,,,,,,1962,Italy,,,,,,49563.00,33555.75,4887.45,9.86,1962,Italy
1963,Italy,18,ITA,380,1,0,1,0,0.00,91.58,8.42,2,0,0,2,0.00,94.28,5.72,0.00,43.95,3.13,47.08,2,1963,Italy,28/04/1963,92.9,13.8,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1963,Italy,13.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1963,Italy,4.6,0.76,0.73,4.16,3.74,0.42,0.10,2.52,1963,Italy,,,,,,,,,,,,,,,,1963,Italy,3,1,0,0,2,3,0,1,1963,Italy,,27.17,29.11,28.05,5.61,14.54,7.45,44.93,44.94,-1.06,-0.54,,5.19,,1963,Italy,21352.00,20789.00,19982.00,63.12,59.07,5436.00,7509.00,7037.00,782.80,3.70,1963,Italy,4145.00,3693.70,11394.65,533.66,4729.20,3293.60,26.06,,4729.20,3293.60,26.06,80.00,1963,Italy,10.07,,,,,,,,,,,,,1963,Italy,,,,,,,,,,,,,,,,,1963,Italy,,,,,,49936.00,33829.60,4974.65,9.96,1963,Italy
1964,Italy,18,ITA,380,1,0,1,0,0.00,65.38,34.62,3,1,1,1,0.00,69.12,30.88,0.00,42.30,18.90,61.20,3,1964,Italy,,92.9,13.8,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1964,Italy,13.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1964,Italy,4.6,0.76,0.73,4.16,3.74,0.42,0.10,2.52,1964,Italy,,,,,,,,,,,,,,,,1964,Italy,3,1,0,0,2,3,0,1,1964,Italy,,26.19,29.79,29.06,2.80,9.47,5.91,46.30,46.31,-0.73,-0.25,,5.74,,1964,Italy,21341.00,20808.00,19904.00,62.64,58.42,5125.00,7484.00,7295.00,845.60,4.00,1964,Italy,3841.00,3245.50,13088.61,613.31,4867.00,3326.90,26.57,,4867.00,3326.90,26.57,80.00,1964,Italy,9.98,,,,,,,,,,,,,1964,Italy,,,,,,,,,,,,,,,,,1964,Italy,,,,,,50439.00,34068.00,5074.60,10.06,1964,Italy
1965,Italy,18,ITA,380,1,0,1,0,0.00,65.38,34.62,3,0,0,0,0.00,69.12,30.88,0.00,42.30,18.90,61.20,3,1965,Italy,,92.9,13.8,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1965,Italy,13.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1965,Italy,4.6,0.76,0.73,4.16,3.74,0.42,0.10,2.52,1965,Italy,,,,,,,,,,,,,,,,1965,Italy,3,1,0,0,2,3,0,1,1965,Italy,,27.12,31.95,28.54,3.27,7.60,4.52,48.98,48.99,-3.41,-2.91,,5.39,,1965,Italy,21073.00,20542.00,19432.00,61.52,56.73,5103.00,7183.00,7146.00,1042.80,5.00,1965,Italy,3191.00,2310.00,6992.86,331.84,4625.90,3096.20,25.50,80.00,4625.90,3096.20,25.50,80.00,1965,Italy,11.58,,,,,,,,,,,,,1965,Italy,,,,,,,,,,,,,,,,,1965,Italy,,,,,,50840.00,34255.30,5194.95,10.22,1965,Italy
1966,Italy,18,ITA,380,1,0,1,0,0.00,65.38,34.62,3,0,0,1,0.00,69.12,30.88,0.00,42.30,18.90,61.20,3,1966,Italy,,92.9,13.8,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1966,Italy,13.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1966,Italy,4.6,0.76,0.73,4.16,3.74,0.42,0.10,2.52,1966,Italy,,,,,,,,,,,,,,,,1966,Italy,3,1,0,0,2,3,0,1,1966,Italy,,28.43,31.88,28.51,5.98,8.35,2.35,49.91,49.92,-3.36,-2.78,,5.49,,1966,Italy,20836.00,20287.00,19095.00,60.57,55.51,4810.00,7063.00,7222.00,1111.40,5.40,1966,Italy,2387.00,1888.00,14473.55,694.64,4568.70,3037.10,25.32,,4568.70,3037.10,25.32,80.00,1966,Italy,11.76,,,,,,,,,,,,,1966,Italy,,,,,,,,,,,,,,,,,1966,Italy,,,,,,51227.00,34400.45,5320.90,10.39,1966,Italy
1967,Italy,18,ITA,380,1,0,1,0,0.00,65.38,34.62,3,0,0,0,0.00,69.12,30.88,0.00,42.30,18.90,61.20,3,1967,Italy,,92.9,13.8,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.2,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,1967,Italy,13.8,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.3,0.0,0.0,0.0,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,1967,Italy,4.6,0.76,0.73,4.16,3.74,0.42,0.10,2.52,1967,Italy,,,,,,,,,,,,,,,,1967,Italy,3,1,0,0,2,3,0,1,1967,Italy,,28.69,31.38,29.39,7.18,10.15,3.73,51.16,51.17,-1.99,-1.30,,5.59,,1967,Italy,20967.00,20421.00,19315.00,60.77,55.98,4710.00,7203.00,7402.00,1036.60,5.00,1967,Italy,2658.00,2244.20,8568.43,408.66,4571.40,3094.40,25.27,,4571.40,3094.40,25.27,80.00,1967,Italy,11.67,,,,,,,,,,,,,1967,Italy,,,,,,,,,,,,,,,,,1967,Italy,,,,,,51664.00,34501.45,5457.30,10.56,1967,Italy
1968,Italy,18,ITA,380,1,0,1,0,0.00,81.53,18.47,2,1,-1,2,0.00,83.79,16.21,0.00,42.32,9.88,52.20,3,1968,Italy,19/05/1968,92.8,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1968,Italy,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1968,Italy,2.7,0.75,0.72,3.95,3.53,0.42,0.11,2.62,1968,Italy,,,,,,,,,,,,,,,,1968,Italy,3,1,0,0,2,3,0,1,1968,Italy,,29.27,32.42,29.94,6.54,8.39,1.28,53.77,53.79,-2.48,-1.69,,5.61,,1968,Italy,21039.00,20466.00,19294.00,60.83,55.78,4418.00,7292.00,7584.00,1101.00,5.30,1968,Italy,3377.00,4862.20,9239.79,439.17,4736.20,3891.30,31.44,,4736.20,3891.30,31.44,80.00,1968,Italy,12.60,,,,,,,,,,,,,1968,Italy,,,,,,,,,,,,,,,,,1968,Italy,,,,,,52042.00,34588.20,5583.70,10.73,1968,Italy
1969,Italy,18,ITA,380,1,0,1,0,0.00,80.27,19.73,2,0,0,1,0.00,85.31,14.69,0.00,43.03,8.52,51.55,3,1969,Italy,,92.8,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1969,Italy,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,28.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1969,Italy,2.7,0.75,0.72,3.95,3.53,0.42,0.11,2.62,1969,Italy,,,,,,,,,,,,,1.54,0.67,1.96,1969,Italy,3,1,0,0,2,3,0,1,1969,Italy,,31.18,31.86,29.09,6.10,10.40,2.66,54.15,54.17,-2.77,-1.96,,5.80,,1969,Italy,20857.00,20272.00,19112.00,60.17,55.13,4204.00,7444.00,7464.00,1090.60,5.30,1969,Italy,3788.00,7507.00,37824.57,1813.52,4981.90,4142.50,32.96,,4981.90,4142.50,32.96,80.00,1969,Italy,12.40,,,,,,,,,,,,,1969,Italy,,,,,,,,,,,,,,,,,1969,Italy,,,,,,52376.00,34665.70,5710.05,10.90,1969,Italy
