year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,2,100.00,0.00,0.00,61.62,0.00,0.00,61.62,1,1960,Japan,20/11/1960,73.5,27.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1960,Japan,31.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1960,Japan,1.5,0.58,0.50,2.40,2.00,0.40,0.17,6.35,1960,Japan,0.60,0.17,3.62,40.1,3.37,7.00,1.48,2.0,3.0,4.0,2.0,0.25,,,,1960,Japan,2,2,0,0,1,3,0,1,1960,Japan,,20.59,20.96,19.31,,,3.57,,6.81,-1.65,-1.64,,,,1960,Japan,48425.40,45110.00,44360.00,80.71,73.93,13400.00,12650.00,18310.00,781.60,1.70,1960,Japan,1063.00,918.10,4912.19,101.44,7796.10,7796.10,32.89,33.30,7796.10,7796.10,32.89,33.30,1960,Japan,3.80,,,,,,,,,,,,,1960,Japan,,,,,,,,,,,,,,,,,1960,Japan,,,,,,93419.00,60002.00,5350.00,5.73,1960,Japan
1961,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,63.40,0.00,0.00,63.40,1,1961,Japan,,73.5,27.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1961,Japan,31.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1961,Japan,1.5,0.58,0.50,2.40,2.00,0.40,0.17,6.35,1961,Japan,,,,,,,,,,,,,,,,1961,Japan,2,2,0,0,1,3,0,1,1961,Japan,,19.78,20.62,19.89,11.85,20.78,5.37,,5.19,-0.73,-0.82,,,,1961,Japan,48960.40,45620.00,44980.00,80.64,74.08,13030.00,13460.00,18490.00,650.70,1.40,1961,Japan,1401.00,1680.00,6149.88,125.61,8376.17,8376.20,33.80,,8376.17,8376.20,33.80,33.76,1961,Japan,3.50,,,,,,,,,,,,,1961,Japan,,,,,,,,,,,,,,,,,1961,Japan,,,,,,94285.00,60715.00,5503.00,5.84,1961,Japan
1962,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,63.40,0.00,0.00,63.40,1,1962,Japan,,73.5,27.6,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,1962,Japan,31.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1962,Japan,1.5,0.58,0.50,2.40,2.00,0.40,0.17,6.35,1962,Japan,,,,,,,,,,,,,,,,1962,Japan,2,2,0,0,1,3,0,1,1962,Japan,,18.35,21.60,20.08,8.60,13.48,6.84,,4.85,-1.52,-1.70,,,,1962,Japan,49544.03,46140.00,45560.00,79.58,73.18,12670.00,14210.00,18680.00,611.40,1.30,1962,Japan,1299.00,1517.80,5400.36,109.00,8971.04,8971.00,34.60,,8971.04,8971.00,34.60,34.22,1962,Japan,3.70,,,,,,,,,,,,,1962,Japan,,,,,,,,,,,,,,,,,1962,Japan,,,,,,95178.00,62261.00,5642.00,5.93,1962,Japan
1963,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,63.22,0.00,0.00,63.22,1,1963,Japan,21/11/1963,71.1,29.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1963,Japan,30.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1963,Japan,1.5,0.61,0.54,2.56,2.15,0.41,0.16,5.13,1963,Japan,,,,,,,,,,,,,,,,1963,Japan,2,2,0,0,1,3,0,1,1963,Japan,,18.54,22.27,20.31,8.79,14.45,6.71,,3.83,-1.96,-2.13,,,,1963,Japan,49968.10,46520.00,45950.00,78.19,71.91,11940.00,14560.00,19450.00,616.60,1.30,1963,Japan,1079.00,1183.20,2770.42,55.44,9357.04,9357.00,35.02,,9357.04,9357.00,35.02,34.68,1963,Japan,4.00,,,,,,,,,,,,,1963,Japan,,,,,,,,,,,,,,,,,1963,Japan,,,,,,96156.00,63903.00,5836.00,6.07,1963,Japan
1964,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,60.60,0.00,0.00,60.60,1,1964,Japan,,71.1,29.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1964,Japan,30.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1964,Japan,1.5,0.61,0.54,2.56,2.15,0.41,0.16,5.13,1964,Japan,,,,,,,,,,,,,,,,1964,Japan,2,2,0,0,1,3,0,1,1964,Japan,,18.80,21.93,19.97,11.19,17.63,3.80,,3.74,-1.96,-2.22,,,,1964,Japan,50523.42,47100.00,46550.00,77.04,70.98,11490.00,14920.00,20140.00,527.50,1.10,1964,Japan,1234.00,1050.10,3165.26,62.65,9800.04,9800.00,35.47,,9800.04,9800.00,35.47,35.14,1964,Japan,4.00,,,,,,,,,,,,,1964,Japan,,,,,,,,,,,,,,,,,1964,Japan,,,,,,97186.00,65580.00,6016.00,6.19,1964,Japan
1965,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,60.60,0.00,0.00,60.60,1,1965,Japan,,71.1,29.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1965,Japan,30.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1965,Japan,1.5,0.61,0.54,2.56,2.15,0.41,0.16,5.13,1965,Japan,,,,,,,,,,,,,,,,1965,Japan,2,2,0,0,1,3,0,1,1965,Japan,,19.26,22.45,20.20,5.67,11.26,6.66,,4.42,-2.25,-2.64,,,,1965,Japan,51386.74,47870.00,47300.00,76.78,70.67,11130.00,15330.00,20840.00,585.30,1.20,1965,Japan,1542.00,1682.30,5669.36,110.33,10146.99,10147.00,35.28,35.60,10146.99,10147.00,35.28,35.60,1965,Japan,4.80,,,,,,,,,,,,,1965,Japan,,,,,,,,,,,,,,,,,1965,Japan,,,,,,98275.00,66928.00,6181.00,6.29,1965,Japan
1966,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,60.60,0.00,0.00,60.60,1,1966,Japan,,71.1,29.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1966,Japan,30.8,4.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1966,Japan,1.5,0.61,0.54,2.56,2.15,0.41,0.16,5.13,1966,Japan,,,,,,,,,,,,,,,,1966,Japan,2,2,0,0,1,3,0,1,1966,Japan,,19.22,22.51,19.79,10.25,16.14,5.04,,5.70,-2.72,-3.00,,,,1966,Japan,52491.04,48910.00,48270.00,77.06,70.87,10720.00,15800.00,21750.00,647.80,1.30,1966,Japan,1252.00,1132.40,2741.71,52.23,10403.96,10404.00,34.75,,10403.96,10404.00,34.75,35.60,1966,Japan,4.80,,,,,,,,,,,,,1966,Japan,,,,,,,,,,,,,,,,,1966,Japan,,,,,,99054.00,68112.00,6420.00,6.48,1966,Japan
1967,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,57.46,0.00,0.00,57.46,1,1967,Japan,29/01/1967,74.0,27.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1967,Japan,28.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1967,Japan,1.4,0.67,0.59,3.06,2.41,0.65,0.21,6.48,1967,Japan,,,,,,,,,,,,,,,,1967,Japan,2,2,0,0,1,3,0,1,1967,Japan,,18.72,21.49,20.05,11.08,17.19,3.99,,6.98,-1.44,-1.67,,6.90,,1967,Japan,53502.29,49830.00,49200.00,77.36,71.14,10360.00,16640.00,22200.00,660.20,1.30,1967,Japan,1214.00,732.50,1829.97,34.20,10566.01,10566.00,34.41,,10566.01,10566.00,34.41,35.60,1967,Japan,4.60,,,,,,,,,,,,,1967,Japan,,,,,,,,,,,,,,,,,1967,Japan,,,,,,100243.00,69161.00,6666.00,6.65,1967,Japan
1968,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.00,0.00,0.00,57.00,1,1968,Japan,,74.0,27.9,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,1968,Japan,28.8,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,1968,Japan,1.4,0.67,0.59,3.06,2.41,0.65,0.21,6.48,1968,Japan,,,,,,,,,,,,,,,,1968,Japan,2,2,0,0,1,3,0,1,1968,Japan,,18.74,21.54,20.27,11.91,18.43,5.34,,7.40,-1.27,-1.48,,6.98,,1968,Japan,54341.79,50610.00,50020.00,77.54,71.37,9880.00,17290.00,22850.00,619.00,1.20,1968,Japan,1546.00,1163.40,2840.87,52.28,10863.02,10863.00,34.51,,10863.02,10863.00,34.51,35.60,1968,Japan,4.50,,,,,,,,,,,,,1968,Japan,,,,,,,,,,,,,,,,,1968,Japan,,,,,,101408.00,70086.00,6899.00,6.80,1968,Japan
1969,Japan,19,JPN,392,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.00,0.00,0.00,57.00,1,1969,Japan,27/12/1969,68.5,21.4,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1969,Japan,18.5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1969,Japan,1.6,0.71,0.60,3.39,2.50,0.89,0.26,9.05,1969,Japan,,,,,,,,,,,,,-0.84,-0.76,-0.67,1969,Japan,2,2,0,0,1,3,0,1,1969,Japan,,19.14,21.35,20.41,11.95,17.47,5.25,,10.21,-0.94,-1.21,,6.99,,1969,Japan,54702.02,50980.00,50400.00,77.11,71.05,9460.00,17670.00,23270.00,571.10,1.10,1969,Japan,1783.00,1412.00,3633.58,66.43,11249.02,11249.00,35.16,,11249.02,11249.00,35.16,35.60,1969,Japan,4.50,,,,,,,,,,,,,1969,Japan,,,,,,,,,,,,,,,,,1969,Japan,,,,,,102648.00,70938.00,7109.00,6.93,1969,Japan
