year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1992,Lithuania,21,LTU,440,0,1,0,0,0.00,0.00,100.00,5,1,,0,0.00,0.00,100.00,0.00,0.00,51.80,51.80,1,1992,Lithuania,15/11/1992,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,3.6,0.0,5.9,1992,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.7,0.0,0.7,1992,Lithuania,8.1,0.74,0.66,3.83,2.98,0.85,0.22,5.99,1992,Lithuania,,,,,,,,,,,,,,,,1992,Lithuania,,1,0,1,1,1,0,1,1992,Lithuania,,32.97,,,-21.26,721.25,,,,,,,,,1992,Lithuania,,,,,,256.21,1017.96,814.27,23.70,1.40,1992,Lithuania,,,,,,,,,,,,,1992,Lithuania,,,,,,,,,,,,,,1992,Lithuania,,,,,,,,,,,,,,,,,1992,Lithuania,,,,,,3700.20,2448.14,422.52,11.42,1992,Lithuania
1993,Lithuania,21,LTU,440,0,1,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,51.80,51.80,1,1993,Lithuania,,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,3.6,0.0,5.9,1993,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.7,0.0,0.7,1993,Lithuania,7.1,0.74,0.66,3.83,2.98,0.85,0.22,5.99,1993,Lithuania,,,,,,,,,,,,,,,,1993,Lithuania,,1,0,1,1,1,0,1,1993,Lithuania,,132.12,,,-16.23,240.29,,,,,,,,-3.10,1993,Lithuania,,,,,,282.27,849.82,821.52,80.80,4.80,1993,Lithuania,,,,,,,,,,,,,1993,Lithuania,,,,,,,,,,,,,,1993,Lithuania,,,,,,,,,,,,,,,,,1993,Lithuania,,,,,,3682.90,2430.07,432.32,11.74,1993,Lithuania
1994,Lithuania,21,LTU,440,0,1,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,51.80,51.80,1,1994,Lithuania,,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,3.6,0.0,5.9,1994,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.7,0.0,0.7,1994,Lithuania,7.1,0.74,0.66,3.83,2.98,0.85,0.22,5.99,1994,Lithuania,,,,,,,,,,,,,,,,1994,Lithuania,,1,0,1,1,1,0,1,1994,Lithuania,,89.24,,,-9.77,45.86,,,7.65,,,,,-2.10,1994,Lithuania,,,,,,275.72,697.60,823.07,66.20,4.20,1994,Lithuania,,,,,,,,,,,,,1994,Lithuania,,,,,,,,,,,,,,1994,Lithuania,,,,,,,,,,,,,,,,,1994,Lithuania,,,,,,3657.20,2410.84,440.32,12.04,1994,Lithuania
1995,Lithuania,21,LTU,440,0,1,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,51.80,51.80,1,1995,Lithuania,,64.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.2,3.6,0.0,5.9,1995,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.7,0.0,0.7,1995,Lithuania,7.1,0.74,0.66,3.83,2.98,0.85,0.22,5.99,1995,Lithuania,,,,,,,,,,,,,,,,1995,Lithuania,,1,0,1,1,1,0,1,1995,Lithuania,,84.92,34.60,33.00,3.29,51.25,,11.50,11.50,-1.50,-1.20,,,-9.10,1995,Lithuania,1591.28,,,66.55,,275.93,647.03,816.34,108.10,6.80,1995,Lithuania,,,,,500.00,500.00,31.35, ,500.00,500.00,31.35,,1995,Lithuania,8.17,,,,,,,,,,,,,1995,Lithuania,,,,,,,,,,,,,,,,,1995,Lithuania,,,,,,3629.10,2391.06,447.85,12.34,1995,Lithuania
1996,Lithuania,21,LTU,440,0,1,0,0,7.31,1.69,90.44,4,1,-1,2,8.02,1.55,90.44,5.80,1.12,46.85,53.76,1,1996,Lithuania,11/11/1996,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.2,0.0,0.0,0.0,0.0,0.0,8.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.6,0.0,0.0,4.0,0.0,2.2,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1996,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.7,0.0,0.0,0.0,0.0,0.0,9.5,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,2.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1996,Lithuania,7.1,0.86,0.70,7.28,3.33,3.95,0.54,14.82,1996,Lithuania,,,,,,,,,,,,,,,,1996,Lithuania,,1,0,1,1,1,0,1,1996,Lithuania,0.94,93.17,36.60,33.30,5.15,25.11,24.70,13.90,13.90,-3.20,-2.40,,,-8.60,1996,Lithuania,1621.73,,,68.40,,308.45,643.09,802.34,124.70,7.70,1996,Lithuania,,,,, ,,, ,452.00,447.41,28.93,,1996,Lithuania,8.58,12.80,8.20,4.60,5.60,0.40,1.20,3.90,0.90,,0.20,0.00,0.50,1996,Lithuania,,,,,,,,,,,,,,,,,1996,Lithuania,,,,,,3601.60,2371.04,455.99,12.66,1996,Lithuania
1997,Lithuania,21,LTU,440,0,1,0,0,76.47,17.65,0.00,1,1,-3,0,83.82,16.18,0.00,60.60,11.70,0.00,72.30,3,1997,Lithuania,,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.2,0.0,0.0,0.0,0.0,0.0,8.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.6,0.0,0.0,4.0,0.0,2.2,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1997,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.7,0.0,0.0,0.0,0.0,0.0,9.5,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,2.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1997,Lithuania,17.5,0.86,0.70,7.28,3.33,3.95,0.54,14.82,1997,Lithuania,,,,,,,,,,,,,,,,1997,Lithuania,,1,0,1,1,1,0,1,1997,Lithuania,1.00,100.01,50.30,38.50,8.29,20.69,10.32,15.40,15.40,-11.80,-11.10,,,-9.70,1997,Lithuania,1610.75,,,68.48,,310.33,647.01,807.23,104.60,6.50,1997,Lithuania,,,,, ,,, ,404.00,394.81,26.51,,1997,Lithuania,9.64,13.30,8.30,5.00,5.80,0.50,1.00,4.20,1.00,,0.20,0.00,0.60,1997,Lithuania,,,,,,,,,,,,,,,,,1997,Lithuania,,,,,,3575.20,2352.23,464.44,12.99,1997,Lithuania
1998,Lithuania,21,LTU,440,0,1,0,0,68.90,14.31,0.00,1,0,0,0,83.82,16.18,0.00,60.60,11.70,0.00,72.30,3,1998,Lithuania,,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.2,0.0,0.0,0.0,0.0,0.0,8.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.6,0.0,0.0,4.0,0.0,2.2,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1998,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.7,0.0,0.0,0.0,0.0,0.0,9.5,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,2.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1998,Lithuania,17.5,0.86,0.70,7.28,3.33,3.95,0.54,14.82,1998,Lithuania,,,,,,,,,,,,,,,,1998,Lithuania,,1,0,1,1,1,0,1,1998,Lithuania,1.00,89.65,41.20,38.10,7.47,11.07,5.37,16.50,16.50,-3.00,-1.90,,,-11.50,1998,Lithuania,1721.40,,,73.69,,278.77,651.93,821.77,227.00,13.20,1998,Lithuania,,,,, ,,,7.50,356.00,342.22,24.09,7.50,1998,Lithuania,10.84,14.70,9.10,5.60,6.20,0.60,1.10,4.80,1.30,,0.20,0.00,0.50,1998,Lithuania,,,,,,,,,,,,,,,,,1998,Lithuania,,,,,,3549.30,2336.09,473.03,13.33,1998,Lithuania
1999,Lithuania,21,LTU,440,0,1,0,0,59.47,13.93,0.00,1,0,0,2,83.82,16.18,0.00,60.60,11.70,0.00,72.30,3,1999,Lithuania,,38.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,3.2,0.0,0.0,0.0,0.0,0.0,8.7,31.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,2.6,0.0,0.0,4.0,0.0,2.2,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,1999,Lithuania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.7,0.0,0.0,0.0,0.0,0.0,9.5,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.7,0.0,2.2,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,1999,Lithuania,17.5,0.86,0.70,7.28,3.33,3.95,0.54,14.82,1999,Lithuania,,,,,,,,,,,,,,,,1999,Lithuania,,1,0,1,1,1,0,1,1999,Lithuania,1.00,74.81,40.80,38.00,-1.13,-2.38,1.44,22.70,22.70,-2.80,-1.30,,,-10.90,1999,Lithuania,1710.49,,,73.59,,271.90,637.57,804.40,249.00,14.60,1999,Lithuania,,,,, ,,, ,308.00,289.63,21.67,9.38,1999,Lithuania,12.20,15.80,10.20,5.50,7.00,0.60,1.20,4.80,1.40,,0.30,0.00,0.50,1999,Lithuania,,,,,,,,,,,,,,,,,1999,Lithuania,,,,,,3524.20,2324.33,479.78,13.61,1999,Lithuania
2000,Lithuania,21,LTU,440,0,1,0,0,50.00,19.44,0.00,1,0,0,1,78.45,21.55,0.00,53.89,13.18,0.00,67.07,3,2000,Lithuania,08/10/2000,58.6,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.2,2.0,0.0,0.0,0.0,0.0,2.9,8.6,17.3,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2000,Lithuania,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.7,0.0,0.0,0.0,0.0,1.4,6.4,23.4,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2000,Lithuania,10.6,0.82,0.77,5.59,4.33,1.26,0.23,6.68,2000,Lithuania,,,,,,,,,,,,,,,,2000,Lithuania,,1,0,1,1,1,0,1,2000,Lithuania,1.00,83.27,39.40,36.20,3.83,5.16,1.09,23.50,23.50,-3.20,-1.50,,,-5.90,2000,Lithuania,1676.75,,,72.35,,260.31,610.39,770.12,274.00,16.40,2000,Lithuania,56.00,3.00,10.39,6.20, ,,, ,260.00,237.03,19.25,11.25,2000,Lithuania,11.48,15.20,9.90,5.30,6.60,0.60,1.30,4.50,1.30,,0.30,0.00,0.50,2000,Lithuania,,,,,,,,,,,,,,,,,2000,Lithuania,,,,,,3499.50,2317.44,483.65,13.82,2000,Lithuania
2001,Lithuania,21,LTU,440,0,1,0,0,25.34,42.86,14.09,2,1,1,1,27.39,41.50,31.11,11.86,19.90,16.77,48.53,5,2001,Lithuania,,58.6,31.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,4.2,2.0,0.0,0.0,0.0,0.0,2.9,8.6,17.3,0.0,19.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2001,Lithuania,36.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.7,0.7,0.0,0.0,0.0,0.0,1.4,6.4,23.4,0.0,19.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,2001,Lithuania,10.6,0.82,0.77,5.59,4.33,1.26,0.23,6.68,2001,Lithuania,,,,,,,,,,,,,0.04,-0.64,0.68,2001,Lithuania,,1,0,1,1,1,0,1,2001,Lithuania,1.00,93.55,37.10,33.60,6.52,6.18,1.55,22.90,22.90,-3.50,-2.00,,8.15,-4.70,2001,Lithuania,1640.90,,,71.12,,231.35,584.93,758.70,284.00,17.40,2001,Lithuania,34.00,2.00,2.17,1.32,212.00,184.44,16.83, ,212.00,184.44,16.83,13.13,2001,Lithuania,11.29,14.20,9.10,5.10,6.10,0.60,1.30,4.30,1.20,,0.30,0.00,0.50,2001,Lithuania,,,,,,,,,,,,,,,,,2001,Lithuania,,,,,,3470.82,2307.12,492.54,14.19,2001,Lithuania
