year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1993,Latvia,20,LVA,428,0,1,0,0,80.00,0.00,20.00,2,1,,0,75.00,0.00,25.00,36.00,0.00,12.00,48.00,5,1993,Latvia,06/06/1993,91.2,4.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,5.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1993,Latvia,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1993,Latvia,15.0,0.84,0.80,6.23,5.05,1.18,0.19,3.73,1993,Latvia,,,,,,,,,,,,,,,,1993,Latvia,,0,0,0,2,1,0,0,1993,Latvia,,111.07,,,-11.40,46.04,,,,,,,,17.80,1993,Latvia,1245.47,,,74.56,,185.30,496.06,663.63,83.00,6.70,1993,Latvia,,,,,,,,,,,,,1993,Latvia,,,,,,,,,,,,,,1993,Latvia,,,,,,,,,,,,,,,,,1993,Latvia,,,,,,2563.29,1686.33,332.58,12.97,1993,Latvia
1994,Latvia,20,LVA,428,0,1,0,0,75.35,0.00,16.20,2,0,0,1,82.40,0.00,17.60,36.00,0.00,8.45,44.45,5,1994,Latvia,,91.2,4.8,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,5.4,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,1994,Latvia,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,6.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1994,Latvia,15.0,0.84,0.80,6.23,5.05,1.18,0.19,3.73,1994,Latvia,,,,,,,,,,,,,,,,1994,Latvia,,0,0,0,2,1,0,0,1994,Latvia,,77.78,,,2.20,39.23,,,11.31,,,,,5.00,1994,Latvia,1201.38,,,73.86,,164.95,408.71,622.88,156.60,13.10,1994,Latvia,,,,,,,,,,,,,1994,Latvia,,,,,,,,,,,,,,1994,Latvia,,,,,,,,,,,,,,,,,1994,Latvia,,,,,,2520.74,1656.02,335.62,13.31,1994,Latvia
1995,Latvia,20,LVA,428,0,1,0,0,64.04,0.19,7.87,2,0,0,1,98.60,0.33,1.07,36.09,0.24,0.78,37.12,5,1995,Latvia,01/10/1995,72.7,15.2,0.0,5.6,4.6,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,7.7,1995,Latvia,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1995,Latvia,15.0,0.90,0.87,9.76,7.59,2.18,0.22,4.86,1995,Latvia,,,,,,,,,,,,,,,,1995,Latvia,,0,0,0,2,1,0,0,1995,Latvia,,73.92,35.60,34.20,-0.90,14.04,,13.90,13.90,-1.40,-0.60,,,-0.40,1995,Latvia,1098.86,,,72.55,,135.84,379.20,564.41,162.90,14.90,1995,Latvia,,,,,225.00,225.00,27.40,,225.00,225.00,27.40,,1995,Latvia,11.62,,,,,,,,,,,,,1995,Latvia,,,,,,,,,,,,,,,,,1995,Latvia,,,,,,2485.06,1633.06,338.11,13.61,1995,Latvia
1996,Latvia,20,LVA,428,0,1,0,0,56.25,6.25,31.25,2,0,0,0,53.42,10.96,35.62,39.00,8.00,26.00,73.00,3,1996,Latvia,,72.7,15.2,0.0,5.6,4.6,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,7.7,1996,Latvia,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1996,Latvia,9.0,0.90,0.87,9.76,7.59,2.18,0.22,4.86,1996,Latvia,,,,,,,,,,,,,,,,1996,Latvia,,0,0,0,2,1,0,1,1996,Latvia,0.88,89.97,35.40,35.00,2.36,15.26,,13.30,13.30,-0.40,0.90,,,-5.00,1996,Latvia,1117.53,,,67.29,,136.59,381.30,567.56,176.40,15.90,1996,Latvia,,,,,, , ,,220.20,218.80,26.50,,1996,Latvia,12.25,,,,,,,,,,,,,1996,Latvia,,,,,,,,,,,,,,,,,1996,Latvia,,,,,,2457.22,1617.56,342.22,13.93,1996,Latvia
1997,Latvia,20,LVA,428,0,1,0,0,54.52,14.41,25.28,2,0,0,2,59.23,12.15,28.63,39.00,8.00,18.94,65.94,3,1997,Latvia,,72.7,15.2,0.0,5.6,4.6,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,7.7,1997,Latvia,18.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1997,Latvia,9.0,0.90,0.87,9.76,7.59,2.18,0.22,4.86,1997,Latvia,,,,,,,,,,,,,,,,1997,Latvia,,0,0,0,2,1,0,1,1997,Latvia,0.94,88.51,35.10,36.50,8.97,15.31,8.07,10.60,10.70,1.40,2.30,,,-5.50,1997,Latvia,1161.17,,,69.09,,142.67,398.28,592.82,178.40,15.40,1997,Latvia,,,0.11,0.09,, , ,,215.40,212.60,25.61,,1997,Latvia,12.01,14.30,11.00,3.30,8.00,0.40,1.20,2.60,1.50,,0.40,0.10,0.10,1997,Latvia,,,,,,,,,,,,,,,,,1997,Latvia,,,,,,2432.85,1606.49,347.03,14.26,1997,Latvia
1998,Latvia,20,LVA,428,0,1,0,0,65.84,25.25,8.91,2,0,0,2,76.94,14.09,8.97,39.20,7.21,5.57,51.98,5,1998,Latvia,03/10/1998,71.0,0.0,0.0,14.2,0.0,12.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,6.6,1998,Latvia,0.0,0.0,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,Latvia,9.0,0.86,0.82,6.97,5.49,1.49,0.21,4.30,1998,Latvia,,,,,,,,,,,,,,,,1998,Latvia,,0,0,0,2,1,0,1,1998,Latvia,0.94,90.48,37.90,37.90,6.52,11.64,4.29,9.00,9.00,0.00,0.60,,,-9.30,1998,Latvia,1139.15,1152.80,986.10,72.28,,142.15,396.81,590.63,160.00,14.00,1998,Latvia,,,0.02,0.01,, , ,,210.61,206.41,24.71,,1998,Latvia,12.59,14.80,11.70,3.10,8.40,0.50,1.20,2.50,1.50,,0.50,0.10,0.10,1998,Latvia,,,,,,,,,,,,,,,,,1998,Latvia,,,,,,2410.02,1600.59,350.56,14.55,1998,Latvia
1999,Latvia,20,LVA,428,0,1,0,0,89.88,0.00,10.12,2,0,0,2,82.98,0.00,17.02,50.72,0.00,10.51,61.23,2,1999,Latvia,,71.0,0.0,0.0,14.2,0.0,12.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,6.6,1999,Latvia,0.0,0.0,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Latvia,17.0,0.86,0.82,6.97,5.49,1.49,0.21,4.30,1999,Latvia,,,,,,,,,,,,,,,,1999,Latvia,,0,0,0,2,1,0,1,1999,Latvia,0.94,79.90,40.80,37.10,2.62,4.15,2.11,12.10,12.10,-3.70,-3.10,,,-8.80,1999,Latvia,1119.69,1127.20,971.80,71.17,,139.60,389.69,580.04,158.00,14.10,1999,Latvia,,,26.69,23.84,, , ,,205.81,200.21,23.82,,1999,Latvia,14.46,16.30,12.90,3.40,9.30,0.50,1.30,2.70,1.60,,0.80,0.10,0.10,1999,Latvia,,,,,,,,,,,,,,,,,1999,Latvia,,,,,,2390.50,1599.95,352.46,14.74,1999,Latvia
2000,Latvia,20,LVA,428,0,1,0,0,91.18,0.00,8.82,2,0,0,1,92.44,0.00,7.56,62.00,0.00,5.29,67.29,3,2000,Latvia,,71.0,0.0,0.0,14.2,0.0,12.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,6.6,2000,Latvia,0.0,0.0,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,Latvia,17.0,0.86,0.82,6.97,5.49,1.49,0.21,4.30,2000,Latvia,,,,,,,,,,,,,,,,2000,Latvia,,0,0,0,2,1,0,1,2000,Latvia,0.94,81.78,37.30,34.50,5.41,9.22,2.63,12.10,12.10,-2.70,-1.80,,,-4.80,2000,Latvia,1087.46,1097.60,941.60,69.98,,134.97,376.52,560.39,158.00,14.30,2000,Latvia,,,0.00,0.00,, , ,,201.01,194.01,22.92,,2000,Latvia,12.22,15.00,11.70,3.20,8.30,0.50,1.20,2.60,1.50,,0.70,0.10,0.10,2000,Latvia,,,,,,,,,,,,,,,,,2000,Latvia,,,,,,2367.61,1594.92,354.22,14.96,2000,Latvia
2001,Latvia,20,LVA,428,0,1,0,0,86.67,0.00,13.33,2,0,0,0,88.57,0.00,11.43,62.00,0.00,8.00,70.00,3,2001,Latvia,,71.0,0.0,0.0,14.2,0.0,12.9,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,6.6,2001,Latvia,0.0,0.0,16.0,0.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001,Latvia,17.0,0.86,0.82,6.97,5.49,1.49,0.21,4.30,2001,Latvia,,,,,,,,,,,,,,,,2001,Latvia,,0,0,0,2,1,0,1,2001,Latvia,0.94,86.52,34.80,32.80,6.46,8.90,2.53,13.90,13.90,-2.00,-1.10,,7.57,-7.70,2001,Latvia,1094.39,1083.60,933.80,68.18,,141.50,401.33,550.74,148.00,13.50,2001,Latvia,,,0.01,0.01,, , ,,196.21,187.81,22.02,,2001,Latvia,11.13,14.10,10.70,3.50,7.60,0.40,1.10,2.90,1.40,,0.50,0.10,0.10,2001,Latvia,,,,,,,,,,,,,,,,,2001,Latvia,,,,,,2337.70,1582.33,356.53,15.25,2001,Latvia
2002,Latvia,20,LVA,428,0,1,0,0,82.68,6.07,11.25,2,0,0,1,84.11,6.25,9.64,57.47,3.44,6.75,67.66,3,2002,Latvia,05/10/2002,71.5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,16.6,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,4.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9,2002,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2002,Latvia,21.0,0.85,0.80,6.81,5.02,1.80,0.26,7.05,2002,Latvia,,,,,,,,,,,,,1.99,1.14,1.91,2002,Latvia,,0,0,0,2,1,0,1,2002,Latvia,0.94,83.37,35.20,32.90,7.10,12.56,1.96,13.10,13.20,-2.20,-1.50,,5.41,-6.70,2002,Latvia,1096.15,1103.60,951.00,69.16,,141.15,404.40,567.37,136.00,12.50,2002,Latvia,,,3.06,2.79,, , ,18.00,191.41,181.62,21.13,18.00,2002,Latvia,9.90,13.30,10.10,3.20,7.20,0.40,1.00,2.70,1.30,,0.50,0.10,0.10,2002,Latvia,,,,,,,,,,,,,,,,,2002,Latvia,,,,,,2310.38,1570.50,361.06,15.63,2002,Latvia
