year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Luxembourg,22,LUX,442,1,0,1,0,42.86,57.14,0.00,1,1,-1,0,34.42,65.58,0.00,21.20,40.40,0.00,61.60,2,1960,Luxembourg,,92.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1960,Luxembourg,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Luxembourg,0.0,0.69,0.68,3.26,3.14,0.12,0.04,1.60,1960,Luxembourg,0.61,-0.88,3.48,45.4,5.87,3.43,0.88,1.0,1.0,3.0,1.0,0.33,,,,1960,Luxembourg,2,0,0,0,2,1,0,0,1960,Luxembourg,,154.68,,,,,0.45,,,,,,,,1960,Luxembourg,132.00,131.60,131.60,61.96,61.77,21.90,59.10,50.60,0.00,0.00,1960,Luxembourg,,,,,,,,,,,,,1960,Luxembourg,11.60,,,,,,,,,,,,,1960,Luxembourg,,,,,,,,,,,,,,,,,1960,Luxembourg,,,,,,313.97,213.05,34.10,10.86,1960,Luxembourg
1961,Luxembourg,22,LUX,442,1,0,1,0,42.86,57.14,0.00,1,0,0,0,34.42,65.58,0.00,21.20,40.40,0.00,61.60,2,1961,Luxembourg,,92.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1961,Luxembourg,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,Luxembourg,0.0,0.69,0.68,3.26,3.14,0.12,0.04,1.60,1961,Luxembourg,,,,,,,,,,,,,,,,1961,Luxembourg,2,0,0,0,2,1,0,0,1961,Luxembourg,,161.39,,,3.83,0.04,0.48,,,,,,,,1961,Luxembourg,132.20,131.80,131.80,61.88,61.69,20.80,59.40,51.60,0.00,0.00,1961,Luxembourg,,,,,,,,,,,,,1961,Luxembourg,11.80,,,,,,,,,,,,,1961,Luxembourg,,,,,,,,,,,,,,,,,1961,Luxembourg,,,,,,316.84,213.65,34.82,10.99,1961,Luxembourg
1962,Luxembourg,22,LUX,442,1,0,1,0,42.86,57.14,0.00,1,0,0,0,34.42,65.58,0.00,21.20,40.40,0.00,61.60,2,1962,Luxembourg,,92.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1962,Luxembourg,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,Luxembourg,0.0,0.69,0.68,3.26,3.14,0.12,0.04,1.60,1962,Luxembourg,,,,,,,,,,,,,,,,1962,Luxembourg,2,0,0,0,2,1,0,0,1962,Luxembourg,,153.95,,,1.36,5.31,0.90,,,,,,,,1962,Luxembourg,132.60,132.20,132.20,61.77,61.58,19.70,60.30,52.20,0.00,0.00,1962,Luxembourg,,,,,,,,,,,,,1962,Luxembourg,12.00,,,,,,,,,,,,,1962,Luxembourg,,,,,,,,,,,,,,,,,1962,Luxembourg,,,,,,320.75,214.68,35.83,11.17,1962,Luxembourg
1963,Luxembourg,22,LUX,442,1,0,1,0,42.86,57.14,0.00,1,0,0,0,34.42,65.58,0.00,21.20,40.40,0.00,61.60,2,1963,Luxembourg,,92.3,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.9,0.0,0.0,0.0,0.0,0.0,0.0,20.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1963,Luxembourg,32.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.4,0.0,0.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,Luxembourg,0.0,0.69,0.68,3.26,3.14,0.12,0.04,1.60,1963,Luxembourg,,,,,,,,,,,,,,,,1963,Luxembourg,2,0,0,0,2,1,0,0,1963,Luxembourg,,150.19,,,3.44,6.69,2.88,,,,,,,,1963,Luxembourg,131.80,131.40,131.40,61.05,60.87,18.60,60.60,52.20,0.00,0.00,1963,Luxembourg,,,,,,,,,,,,,1963,Luxembourg,12.20,,,,,,,,,,,,,1963,Luxembourg,,,,,,,,,,,,,,,,,1963,Luxembourg,,,,,,324.10,215.88,36.94,11.40,1963,Luxembourg
1964,Luxembourg,22,LUX,442,1,0,1,0,23.30,53.88,22.81,2,1,1,1,18.71,59.01,22.28,11.53,39.90,17.11,68.54,2,1964,Luxembourg,07/06/1964,90.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,Luxembourg,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,Luxembourg,0.0,0.71,0.68,3.50,3.17,0.34,0.10,3.53,1964,Luxembourg,,,,,,,,,,,,,,,,1964,Luxembourg,2,0,0,0,2,1,0,0,1964,Luxembourg,,152.52,,,7.87,14.15,3.10,,,,,,,,1964,Luxembourg,132.90,132.50,132.50,61.24,61.06,17.50,61.70,53.30,0.00,0.00,1964,Luxembourg,,,,,,,,,,,,,1964,Luxembourg,12.50,,,,,,,,,,,,,1964,Luxembourg,,,,,,,,,,,,,,,,,1964,Luxembourg,,,,,,327.75,217.01,38.02,11.60,1964,Luxembourg
1965,Luxembourg,22,LUX,442,1,0,1,0,0.00,50.00,50.00,3,1,1,0,0.00,51.17,48.83,0.00,39.30,37.50,76.80,2,1965,Luxembourg,,90.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Luxembourg,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Luxembourg,0.0,0.71,0.68,3.50,3.17,0.34,0.10,3.53,1965,Luxembourg,,,,,,,,,,,,,,,,1965,Luxembourg,2,0,0,0,2,1,0,0,1965,Luxembourg,,155.60,,,1.93,4.78,3.33,,,,,,,,1965,Luxembourg,133.30,132.90,132.90,61.18,61.00,16.40,62.20,54.30,0.00,0.00,1965,Luxembourg,,,,,,,,,,,,,1965,Luxembourg,13.60,,,,,,,,,,,,,1965,Luxembourg,,,,,,,,,,,,,,,,,1965,Luxembourg,,,,,,331.50,217.87,38.98,11.76,1965,Luxembourg
1966,Luxembourg,22,LUX,442,1,0,1,0,0.00,50.00,50.00,3,0,0,0,0.00,51.17,48.83,0.00,39.30,37.50,76.80,2,1966,Luxembourg,,90.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Luxembourg,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Luxembourg,0.0,0.71,0.68,3.50,3.17,0.34,0.10,3.53,1966,Luxembourg,,,,,,,,,,,,,,,,1966,Luxembourg,2,0,0,0,2,1,0,0,1966,Luxembourg,,148.19,,,1.11,5.08,3.33,,,,,,,,1966,Luxembourg,133.70,133.30,133.30,61.24,61.05,15.30,62.50,55.50,0.00,0.00,1966,Luxembourg,,,,,,,,,,,,,1966,Luxembourg,14.20,,,,,,,,,,,,,1966,Luxembourg,,,,,,,,,,,,,,,,,1966,Luxembourg,,,,,,333.89,218.33,39.80,11.92,1966,Luxembourg
1967,Luxembourg,22,LUX,442,1,0,1,0,0.00,50.00,50.00,3,0,0,1,0.00,51.17,48.83,0.00,39.30,37.50,76.80,2,1967,Luxembourg,,90.6,35.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.7,0.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Luxembourg,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Luxembourg,0.0,0.71,0.68,3.50,3.17,0.34,0.10,3.53,1967,Luxembourg,,,,,,,,,,,,,,,,1967,Luxembourg,2,0,0,0,2,1,0,0,1967,Luxembourg,,145.39,,,0.22,0.65,2.17,,,,,,,,1967,Luxembourg,131.30,130.90,130.90,60.09,59.91,14.40,60.80,55.70,0.00,0.00,1967,Luxembourg,,,,,,,,,,,,,1967,Luxembourg,15.80,,,,,,,,,,,,,1967,Luxembourg,,,,,,,,,,,,,,,,,1967,Luxembourg,,,,,,334.99,218.51,40.51,12.09,1967,Luxembourg
1968,Luxembourg,22,LUX,442,1,0,1,0,0.00,50.00,50.00,3,0,0,0,0.00,51.17,48.83,0.00,39.30,37.50,76.80,2,1968,Luxembourg,15/12/1968,88.6,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1968,Luxembourg,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1968,Luxembourg,3.6,0.71,0.71,3.49,3.41,0.09,0.02,2.18,1968,Luxembourg,,,,,,,,,,,,,,,,1968,Luxembourg,2,0,0,0,2,1,0,0,1968,Luxembourg,,146.68,,,4.18,9.41,2.63,,,,,,,,1968,Luxembourg,131.00,130.60,130.60,59.87,59.69,13.40,60.90,56.30,0.00,0.00,1968,Luxembourg,,,,,,,,,,,,,1968,Luxembourg,15.30,,,,,,,,,,,,,1968,Luxembourg,,,,,,,,,,,,,,,,,1968,Luxembourg,,,,,,335.85,218.79,41.14,12.25,1968,Luxembourg
1969,Luxembourg,22,LUX,442,1,0,1,0,39.33,56.56,4.11,2,1,-1,1,31.50,64.48,4.01,17.99,37.65,3.08,58.72,2,1969,Luxembourg,,88.6,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1969,Luxembourg,32.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1969,Luxembourg,3.6,0.71,0.71,3.49,3.41,0.09,0.02,2.18,1969,Luxembourg,,,,,,,,,,,,,-0.43,0.45,-1.20,1969,Luxembourg,2,0,0,0,2,1,0,0,1969,Luxembourg,,148.54,,,9.97,15.80,2.29,,,,,,,,1969,Luxembourg,131.90,131.50,131.50,60.03,59.85,12.40,61.40,57.70,0.00,0.00,1969,Luxembourg,,,,,,,,,,,,,1969,Luxembourg,14.50,,,,,,,,,,,,,1969,Luxembourg,,,,,,,,,,,,,,,,,1969,Luxembourg,,,,,,337.50,219.71,41.79,12.38,1969,Luxembourg
