year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Netherlands,24,NLD,528,1,0,1,0,53.85,46.15,0.00,1,0,0,0,47.85,52.15,0.00,30.00,32.70,0.00,62.70,3,1960,Netherlands,,95.6,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,31.6,8.1,0.0,0.0,0.0,2.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1960,Netherlands,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,32.7,8.0,0.0,0.0,0.0,2.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1960,Netherlands,9.3,0.78,0.76,4.47,4.14,0.33,0.07,1.46,1960,Netherlands,1.34,0.30,4.87,26.8,2.91,1.21,0.98,3.0,3.0,3.0,1.0,0.48,,,,1960,Netherlands,1,1,0,0,2,3,0,0,1960,Netherlands,,95.02,,,,,,73.80,73.40,,,,4.46,,1960,Netherlands,4322.00,4192.00,4162.00,,,409.00,1684.00,2069.00,41.70,0.90,1960,Netherlands,121.00,75.50,467.39,108.14,1399.10,1319.00,40.02,72.28,1399.10,1319.00,40.02,72.28,1960,Netherlands,7.90,,,,,,,,,,,,,1960,Netherlands,,,,,,,,,,,,,,,,,1960,Netherlands,,,,,,11486.63,7009.17,1033.70,9.00,1960,Netherlands
1961,Netherlands,24,NLD,528,1,0,1,0,53.85,46.15,0.00,1,0,0,0,47.85,52.15,0.00,30.00,32.70,0.00,62.70,3,1961,Netherlands,,95.6,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,31.6,8.1,0.0,0.0,0.0,2.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1961,Netherlands,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,32.7,8.0,0.0,0.0,0.0,2.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1961,Netherlands,9.3,0.78,0.76,4.47,4.14,0.33,0.07,1.46,1961,Netherlands,,,,,,,,,,,,,,,,1961,Netherlands,1,1,0,0,2,3,0,0,1961,Netherlands,,92.20,,,3.22,5.71,0.57,73.47,73.08,,,,4.18,,1961,Netherlands,4367.00,4235.00,4213.00,,,395.00,1715.00,2103.00,32.70,0.70,1961,Netherlands,43.00,8.60,24.66,5.65,1418.60,1331.45,39.52,,1418.60,1331.45,39.52,72.60,1961,Netherlands,7.90,,,,,,,,,,,,,1961,Netherlands,,,,,,,,,,,,,,,,,1961,Netherlands,,,,,,11638.71,7121.01,1064.32,9.14,1961,Netherlands
1962,Netherlands,24,NLD,528,1,0,1,0,53.85,46.15,0.00,1,0,0,0,47.85,52.15,0.00,30.00,32.70,0.00,62.70,3,1962,Netherlands,,95.6,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,31.6,8.1,0.0,0.0,0.0,2.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,1962,Netherlands,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,32.7,8.0,0.0,0.0,0.0,2.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1962,Netherlands,9.3,0.78,0.76,4.47,4.14,0.33,0.07,1.46,1962,Netherlands,,,,,,,,,,,,,,,,1962,Netherlands,1,1,0,0,2,3,0,0,1962,Netherlands,,90.63,,,4.15,7.73,2.43,72.38,71.99,,,,4.24,,1962,Netherlands,4455.00,4319.00,4297.00,,,383.00,1755.00,2159.00,28.60,0.60,1962,Netherlands,24.00,2.20,9.09,2.04,1435.70,1344.58,38.78,,1435.70,1344.58,38.78,72.92,1962,Netherlands,8.50,,,,,,,,,,,,,1962,Netherlands,,,,,,,,,,,,,,,,,1962,Netherlands,,,,,,11805.69,7272.10,1093.74,9.26,1962,Netherlands
1963,Netherlands,24,NLD,528,1,0,1,0,53.85,46.15,0.00,1,0,0,1,46.93,53.07,0.00,29.16,32.96,0.00,62.13,3,1963,Netherlands,15/05/1963,95.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,31.9,8.6,0.0,0.0,0.0,2.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1963,Netherlands,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,33.3,8.7,0.0,0.0,0.0,2.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1963,Netherlands,10.0,0.79,0.78,4.80,4.50,0.30,0.06,1.19,1963,Netherlands,,,,,,,,,,,,,,,,1963,Netherlands,1,1,0,0,2,3,0,0,1963,Netherlands,,91.88,,,3.71,8.60,3.24,70.71,70.33,,,,4.31,,1963,Netherlands,4513.00,4381.00,4356.00,,,370.00,1781.00,2205.00,33.80,0.70,1963,Netherlands,104.00,26.10,37.76,8.37,1470.00,1373.65,38.84,,1470.00,1373.65,38.84,73.24,1963,Netherlands,10.20,,,,,,,,,,,,,1963,Netherlands,,,,,,,,,,,,,,,,,1963,Netherlands,,,,,,11965.97,7406.00,1120.07,9.36,1963,Netherlands
1964,Netherlands,24,NLD,528,1,0,1,0,53.85,46.15,0.00,1,0,0,0,45.77,54.23,0.00,28.10,33.30,0.00,61.40,3,1964,Netherlands,,95.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,31.9,8.6,0.0,0.0,0.0,2.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1964,Netherlands,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,33.3,8.7,0.0,0.0,0.0,2.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1964,Netherlands,10.0,0.79,0.78,4.80,4.50,0.30,0.06,1.19,1964,Netherlands,,,,,,,,,,,,,,,,1964,Netherlands,1,1,0,0,2,3,0,0,1964,Netherlands,,90.42,,,7.98,17.53,5.82,66.38,66.03,,,,5.09,,1964,Netherlands,4592.00,4467.00,4445.00,,,359.00,1823.00,2263.00,24.60,0.50,1964,Netherlands,53.00,8.50,43.86,9.55,1458.30,1359.09,37.63,,1458.30,1359.09,37.63,73.56,1964,Netherlands,10.30,,,,,,,,,,,,,1964,Netherlands,,,,,,,,,,,,,,,,,1964,Netherlands,,,,,,12127.12,7526.02,1147.62,9.46,1964,Netherlands
1965,Netherlands,24,NLD,528,1,0,1,0,26.86,43.90,24.36,2,1,1,1,22.94,49.37,27.69,14.87,33.30,19.58,67.74,3,1965,Netherlands,,95.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,31.9,8.6,0.0,0.0,0.0,2.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1965,Netherlands,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,33.3,8.7,0.0,0.0,0.0,2.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1965,Netherlands,10.0,0.79,0.78,4.80,4.50,0.30,0.06,1.19,1965,Netherlands,,,,,,,,,,,,,,,,1965,Netherlands,1,1,0,0,2,3,0,0,1965,Netherlands,,87.71,,,5.69,11.80,3.91,65.90,65.55,,,,5.50,,1965,Netherlands,4632.00,4512.00,4487.00,,,341.00,1842.00,2304.00,29.90,0.60,1965,Netherlands,60.00,23.20,54.61,11.79,1481.40,1375.90,37.39,,1481.40,1375.90,37.39,73.88,1965,Netherlands,11.50,,,,,,,,,,,,,1965,Netherlands,,,,,,,,,,,,,,,,,1965,Netherlands,,,,,,12294.73,7644.18,1176.09,9.57,1965,Netherlands
1966,Netherlands,24,NLD,528,1,0,1,0,16.09,45.75,31.80,3,1,1,1,13.23,50.63,36.15,8.70,33.30,25.55,67.55,3,1966,Netherlands,,95.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,31.9,8.6,0.0,0.0,0.0,2.3,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1966,Netherlands,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,33.3,8.7,0.0,0.0,0.0,2.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1966,Netherlands,10.0,0.79,0.78,4.80,4.50,0.30,0.06,1.19,1966,Netherlands,,,,,,,,,,,,,,,,1966,Netherlands,1,1,0,0,2,3,0,0,1966,Netherlands,,86.09,,,3.02,8.99,5.76,66.93,66.57,,,,6.58,,1966,Netherlands,4679.00,4555.00,4519.00,,,330.00,1836.00,2353.00,40.20,0.80,1966,Netherlands,20.00,11.20,12.65,2.70,1531.50,1418.64,38.10,74.20,1531.50,1418.64,38.10,74.20,1966,Netherlands,12.40,,,,,,,,,,,,,1966,Netherlands,,,,,,,,,,,,,,,,,1966,Netherlands,,,,,,12456.25,7757.86,1204.24,9.67,1966,Netherlands
1967,Netherlands,24,NLD,528,1,0,1,0,50.50,49.50,0.00,1,1,-2,1,43.47,56.53,0.00,24.11,29.34,0.00,53.44,2,1967,Netherlands,15/02/1967,94.9,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,26.5,8.1,0.0,0.0,0.0,2.0,10.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1967,Netherlands,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,8.0,0.0,0.0,0.0,2.0,11.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1967,Netherlands,8.0,0.84,0.82,6.23,5.71,0.52,0.08,1.42,1967,Netherlands,,,,,,,,,,,,,,,,1967,Netherlands,1,1,0,0,2,3,0,0,1967,Netherlands,,83.18,,,5.55,9.74,3.46,67.39,67.03,,,,6.42,,1967,Netherlands,4707.00,4580.00,4505.00,,,322.00,1779.00,2404.00,85.90,1.70,1967,Netherlands,8.00,1.60,6.17,1.31,1539.30,1424.40,38.27,,1539.30,1424.40,38.27,72.91,1967,Netherlands,12.80,,,,,,,,,,,,,1967,Netherlands,,,,,,,,,,,,,,,,,1967,Netherlands,,,,,,12598.20,7854.46,1235.48,9.81,1967,Netherlands
1968,Netherlands,24,NLD,528,1,0,1,0,57.14,42.86,0.00,1,0,0,0,51.13,48.87,0.00,29.30,28.00,0.00,57.30,2,1968,Netherlands,,94.9,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,26.5,8.1,0.0,0.0,0.0,2.0,10.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1968,Netherlands,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,8.0,0.0,0.0,0.0,2.0,11.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1968,Netherlands,8.0,0.84,0.82,6.23,5.71,0.52,0.08,1.42,1968,Netherlands,,,,,,,,,,,,,,,,1968,Netherlands,1,1,0,0,2,3,0,0,1968,Netherlands,,83.26,,,6.57,10.87,3.72,67.63,67.27,,,,6.52,,1968,Netherlands,4740.00,4620.00,4552.00,,,310.00,1781.00,2461.00,76.40,1.50,1968,Netherlands,11.00,4.60,13.70,2.89,1535.10,1416.04,37.49,,1535.10,1416.04,37.49,71.63,1968,Netherlands,16.20,,,,,,,,,,,,,1968,Netherlands,,,,,,,,,,,,,,,,,1968,Netherlands,,,,,,12729.72,7943.64,1266.56,9.95,1968,Netherlands
1969,Netherlands,24,NLD,528,1,0,1,0,57.14,42.86,0.00,1,0,0,0,51.13,48.87,0.00,29.30,28.00,0.00,57.30,2,1969,Netherlands,,94.9,23.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,26.5,8.1,0.0,0.0,0.0,2.0,10.7,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,1969,Netherlands,24.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,28.0,8.0,0.0,0.0,0.0,2.0,11.3,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1969,Netherlands,8.0,0.84,0.82,6.23,5.71,0.52,0.08,1.42,1969,Netherlands,,,,,,,,,,,,,1.09,1.62,0.21,1969,Netherlands,1,1,0,0,2,3,0,0,1969,Netherlands,,81.35,40.89,39.23,5.42,13.04,7.42,65.03,64.68,-1.66,-0.02,,7.47,,1969,Netherlands,4786.00,4670.00,4621.00,,,298.00,1812.00,2511.00,56.70,1.10,1969,Netherlands,28.00,12.40,21.70,4.53,1530.20,1404.09,36.45,,1530.20,1404.09,36.45,70.34,1969,Netherlands,16.80,,,,,,,,,,,,,1969,Netherlands,,,,,,,,,,,,,,,,,1969,Netherlands,,,,,,12877.98,8044.70,1295.97,10.06,1969,Netherlands
