year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Norway,26,NOR,578,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,52.00,52.00,1,1960,Norway,,78.3,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1960,Norway,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,Norway,6.7,0.70,0.67,3.35,2.99,0.36,0.11,3.65,1960,Norway,0.80,-0.66,3.64,55.3,4.04,4.53,0.38,2.0,1.5,3.0,2.0,0.17,,,,1960,Norway,2,0,0,0,2,2,0,1,1960,Norway,,72.11,29.18,,,,0.36,,48.87,3.44,3.58,,,,1960,Norway,1457.00,1412.00,1395.00,64.30,61.56,301.00,497.00,597.00,17.10,1.20,1960,Norway,12.00,0.70,2.42,1.66,680.80,622.41,60.02,65.00,680.80,622.41,60.02,65.00,1960,Norway,7.60,,,,,,,,,,,,,1960,Norway,,,,,,,,,,,,,,,,,1960,Norway,,,,,,3585.00,2266.00,391.00,10.91,1960,Norway
1961,Norway,26,NOR,578,1,0,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,51.17,51.17,1,1961,Norway,11/09/1961,79.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1961,Norway,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1961,Norway,8.7,0.71,0.69,3.49,3.22,0.27,0.08,3.04,1961,Norway,,,,,,,,,,,,,,,,1961,Norway,2,0,0,0,2,2,0,1,1961,Norway,,70.61,29.00,,6.27,9.09,2.16,,45.42,4.66,4.18,,,,1961,Norway,1469.00,1424.00,1411.00,64.18,61.64,292.00,507.00,612.00,13.00,0.90,1961,Norway,19.00,22.90,423.08,288.01,703.90,643.42,60.82,,703.90,643.42,60.82,65.00,1961,Norway,7.30,,,,,,,,,,,,,1961,Norway,,,,,,,,,,,,,,,,,1961,Norway,,,,,,3615.00,2289.00,402.00,11.12,1961,Norway
1962,Norway,26,NOR,578,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,49.30,49.30,4,1962,Norway,,79.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1962,Norway,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1962,Norway,8.7,0.71,0.69,3.49,3.22,0.27,0.08,3.04,1962,Norway,,,,,,,,,,,,,,,,1962,Norway,2,0,0,0,2,2,0,1,1962,Norway,,67.87,30.59,34.19,2.81,7.71,5.27,,43.78,3.60,3.39,,4.95,,1962,Norway,1478.00,1433.00,1418.00,64.15,61.55,282.00,511.00,625.00,14.50,1.00,1962,Norway,8.00,1.10,81.12,54.88,708.80,640.86,59.84,,708.80,640.86,59.84,65.00,1962,Norway,8.70,,,,,,,,,,,,,1962,Norway,,,,,,,,,,,,,,,,,1962,Norway,,,,,,3639.00,2304.00,416.00,11.43,1962,Norway
1963,Norway,26,NOR,578,1,0,0,0,4.09,3.58,92.33,4,1,-1,2,4.45,3.22,92.33,2.19,1.59,45.52,49.30,4,1963,Norway,,79.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1963,Norway,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1963,Norway,8.7,0.71,0.69,3.49,3.22,0.27,0.08,3.04,1963,Norway,,,,,,,,,,,,,,,,1963,Norway,2,0,0,0,2,2,0,1,1963,Norway,,68.94,31.97,34.14,3.79,7.31,2.47,,41.49,2.17,1.84,,4.86,,1963,Norway,1483.00,1436.00,1418.00,63.78,60.99,271.00,512.00,635.00,18.90,1.30,1963,Norway,8.00,10.60,226.39,152.66,714.80,646.21,60.06,,714.80,646.21,60.06,65.00,1963,Norway,9.00,,,,,,,,,,,,,1963,Norway,,,,,,,,,,,,,,,,,1963,Norway,,,,,,3667.00,2325.00,426.00,11.62,1963,Norway
1964,Norway,26,NOR,578,1,0,0,0,0.00,0.00,100.00,5,1,1,0,0.00,0.00,100.00,0.00,0.00,49.30,49.30,4,1964,Norway,,79.1,46.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1964,Norway,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1964,Norway,8.7,0.71,0.69,3.49,3.22,0.27,0.08,3.04,1964,Norway,,,,,,,,,,,,,,,,1964,Norway,2,0,0,0,2,2,0,1,1964,Norway,,70.23,31.96,34.66,5.01,9.97,5.87,,31.16,2.70,2.56,,4.74,,1964,Norway,1492.00,1444.00,1428.00,63.73,61.00,262.00,517.00,649.00,16.10,1.10,1964,Norway,3.00,0.20,1.31,0.88,721.30,646.47,59.25,,721.30,646.47,59.25,65.00,1964,Norway,8.90,,,,,,,,,,,,,1964,Norway,,,,,,,,,,,,,,,,,1964,Norway,,,,,,3694.00,2341.00,435.00,11.78,1964,Norway
1965,Norway,26,NOR,578,1,0,0,0,13.48,8.99,77.53,4,1,-1,1,13.76,8.71,77.53,7.35,4.65,38.22,50.22,4,1965,Norway,12/09/1965,85.4,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1965,Norway,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,Norway,8.0,0.74,0.72,3.83,3.51,0.32,0.08,4.15,1965,Norway,,,,,,,,,,,,,,,,1965,Norway,2,0,0,0,2,2,0,1,1965,Norway,,70.28,32.95,35.33,5.29,10.32,4.19,,36.90,2.38,2.14,,5.24,,1965,Norway,1496.00,1448.00,1435.00,63.50,60.91,252.00,522.00,661.00,13.20,0.90,1965,Norway,7.00,0.60,8.93,5.97,730.10,652.80,59.02,65.00,730.10,652.80,59.02,65.00,1965,Norway,9.00,,,,,,,,,,,,,1965,Norway,,,,,,,,,,,,,,,,,1965,Norway,,,,,,3723.00,2356.00,445.00,11.95,1965,Norway
1966,Norway,26,NOR,578,1,0,0,0,60.00,40.00,0.00,1,1,-3,0,61.24,38.76,0.00,32.70,20.70,0.00,53.40,2,1966,Norway,,85.4,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1966,Norway,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,Norway,8.0,0.74,0.72,3.83,3.51,0.32,0.08,4.15,1966,Norway,,,,,,,,,,,,,,,,1966,Norway,2,0,0,0,2,2,0,1,1966,Norway,,70.98,33.43,36.64,3.79,7.91,3.25,,35.78,3.21,2.99,,5.01,,1966,Norway,1503.00,1455.00,1443.00,63.44,60.91,241.00,530.00,672.00,11.80,0.80,1966,Norway,7.00,1.30,5.21,3.47,733.80,650.58,58.14,,733.80,650.58,58.14,65.00,1966,Norway,9.10,,,,,,,,,,,,,1966,Norway,,,,,,,,,,,,,,,,,1966,Norway,,,,,,3753.00,2369.00,457.00,12.18,1966,Norway
1967,Norway,26,NOR,578,1,0,0,0,60.00,40.00,0.00,1,0,0,0,61.24,38.76,0.00,32.70,20.70,0.00,53.40,2,1967,Norway,,85.4,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1967,Norway,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,Norway,8.0,0.74,0.72,3.83,3.51,0.32,0.08,4.15,1967,Norway,,,,,,,,,,,,,,,,1967,Norway,2,0,0,0,2,2,0,1,1967,Norway,,73.18,34.81,38.67,6.26,9.41,4.58,,37.06,3.85,3.65,,4.99,,1967,Norway,1517.00,1469.00,1458.00,63.66,61.18,234.00,539.00,685.00,10.40,0.70,1967,Norway,7.00,0.40,4.72,3.11,741.00,657.11,57.64,,741.00,657.11,57.64,65.00,1967,Norway,9.80,,,,,,,,,,,,,1967,Norway,,,,,,,,,,,,,,,,,1967,Norway,,,,,,3785.00,2383.00,469.00,12.39,1967,Norway
1968,Norway,26,NOR,578,1,0,0,0,60.00,40.00,0.00,1,0,0,0,61.24,38.76,0.00,32.70,20.70,0.00,53.40,2,1968,Norway,,85.4,43.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.1,0.0,0.0,0.0,0.0,0.0,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1968,Norway,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,Norway,8.0,0.74,0.72,3.83,3.51,0.32,0.08,4.15,1968,Norway,,,,,,,,,,,,,,,,1968,Norway,2,0,0,0,2,2,0,1,1968,Norway,,71.98,36.14,39.15,2.26,6.78,3.45,,36.90,3.01,2.78,,4.94,,1968,Norway,1528.00,1480.00,1463.00,63.69,60.98,225.00,537.00,701.00,16.40,1.10,1968,Norway,6.00,0.50,13.51,8.84,751.90,659.48,57.25,,751.90,659.48,57.25,65.00,1968,Norway,10.50,,,,,,,,,,,,,1968,Norway,,,,,,,,,,,,,,,,,1968,Norway,,,,,,3819.00,2399.00,481.00,12.59,1968,Norway
1969,Norway,26,NOR,578,1,0,0,0,60.00,40.00,0.00,1,0,0,1,59.36,40.64,0.00,31.21,21.30,0.00,52.51,2,1969,Norway,07/09/1969,83.8,46.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1969,Norway,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1969,Norway,9.3,0.72,0.69,3.52,3.18,0.34,0.10,3.73,1969,Norway,,,,,,,,,,,,,0.20,0.35,-0.01,1969,Norway,2,0,0,0,2,2,0,1,1969,Norway,,70.45,37.90,41.12,4.50,8.89,2.96,,36.57,3.22,2.82,,5.27,,1969,Norway,1538.00,1490.00,1474.00,63.69,61.04,217.00,543.00,714.00,16.60,1.10,1969,Norway,4.00,0.80,21.64,14.07,763.90,670.05,57.22,,763.90,670.05,57.22,65.00,1969,Norway,11.20,,,,,,,,,,,,,1969,Norway,,,,,,,,,,,,,,,,,1969,Norway,,,,,,3851.00,2415.00,491.00,12.75,1969,Norway
