year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,New Zealand,25,NZL,554,1,0,0,0,5.46,0.00,94.54,4,1,-1,1,5.46,0.00,94.54,3.14,0.00,48.50,51.64,1,1960,New Zealand,26/11/1960,89.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1960,New Zealand,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,New Zealand,5.0,0.58,0.49,2.37,1.96,0.41,0.17,9.29,1960,New Zealand,-0.47,-1.67,2.28,81.4,4.54,9.25,2.68,1.0,1.1,1.0,1.0,0.21,,,,1960,New Zealand,0,2,0,0,0,1,0,0,1960,New Zealand,,44.45,,,,,0.70,,67.99,,,,,,1960,New Zealand,876.00,865.00,864.00,63.02,62.16,133.00,324.00,407.00,0.00,0.00,1960,New Zealand,60.00,14.30,35.68,40.73,,,,,,,,,1960,New Zealand,10.96,,,,,,,,,,,,,1960,New Zealand,,,,,,,,,,,,,,,,,1960,New Zealand,,,,,,2377.00,1390.00,206.00,8.67,1960,New Zealand
1961,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,1,-3,0,100.00,0.00,0.00,57.50,0.00,0.00,57.50,1,1961,New Zealand,,89.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1961,New Zealand,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,New Zealand,5.0,0.58,0.49,2.37,1.96,0.41,0.17,9.29,1961,New Zealand,,,,,,,,,,,,,,,,1961,New Zealand,0,2,0,0,0,1,0,0,1961,New Zealand,,44.76,,,4.44,1.96,1.80,,64.59,,,,,,1961,New Zealand,895.00,886.00,886.00,63.16,62.53,128.90,328.30,428.80,0.00,0.00,1961,New Zealand,71.00,16.30,38.19,42.67,,,,,,,,,1961,New Zealand,10.87,,,,,,,,,,,,,1961,New Zealand,,,,,,,,,,,,,,,,,1961,New Zealand,,,,,,2427.00,1417.00,209.00,8.61,1961,New Zealand
1962,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.50,0.00,0.00,57.50,1,1962,New Zealand,,89.7,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1962,New Zealand,42.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,New Zealand,5.0,0.58,0.49,2.37,1.96,0.41,0.17,9.29,1962,New Zealand,,,,,,,,,,,,,,,,1962,New Zealand,0,2,0,0,0,1,0,0,1962,New Zealand,,41.21,,,2.48,8.25,2.68,,64.99,,,,,,1962,New Zealand,912.00,901.00,900.00,62.64,61.81,131.00,338.00,431.00,1.01,0.10,1962,New Zealand,96.00,39.90,93.16,102.15,,,,,,,,,1962,New Zealand,10.96,,,,,,,,,,,,,1962,New Zealand,,,,,,,,,,,,,,,,,1962,New Zealand,,,,,,2485.00,1456.00,211.00,8.49,1962,New Zealand
1963,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,57.46,0.00,0.00,57.46,1,1963,New Zealand,30/11/1963,90.2,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1963,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,New Zealand,6.3,0.58,0.49,2.39,1.97,0.42,0.18,8.57,1963,New Zealand,,,,,,,,,,,,,,,,1963,New Zealand,0,2,0,0,0,1,0,0,1963,New Zealand,,45.51,,,4.32,8.71,1.97,,64.49,,,,,,1963,New Zealand,930.00,920.00,919.00,62.46,61.72,131.00,345.00,443.00,1.01,0.09,1963,New Zealand,60.00,14.90,54.49,58.59,,,,,,,,,1963,New Zealand,10.52,,,,,,,,,,,,,1963,New Zealand,,,,,,,,,,,,,,,,,1963,New Zealand,,,,,,2537.00,1489.00,213.00,8.40,1963,New Zealand
1964,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,56.30,0.00,0.00,56.30,1,1964,New Zealand,,90.2,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1964,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,New Zealand,6.3,0.58,0.49,2.39,1.97,0.42,0.18,8.57,1964,New Zealand,,,,,,,,,,,,,,,,1964,New Zealand,0,2,0,0,0,1,0,0,1964,New Zealand,,42.94,,,4.20,8.21,3.47,,61.80,,,,,,1964,New Zealand,958.00,947.00,946.00,62.94,62.16,132.00,360.00,454.00,1.01,0.09,1964,New Zealand,93.00,34.80,66.83,69.76,,,,,,,,,1964,New Zealand,10.25,,,,,,,,,,,,,1964,New Zealand,,,,,,,,,,,,,,,,,1964,New Zealand,,,,,,2589.00,1522.00,215.00,8.30,1964,New Zealand
1965,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,56.30,0.00,0.00,56.30,1,1965,New Zealand,,90.2,43.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1965,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,New Zealand,6.3,0.58,0.49,2.39,1.97,0.42,0.18,8.57,1965,New Zealand,,,,,,,,,,,,,,,,1965,New Zealand,0,2,0,0,0,1,0,0,1965,New Zealand,,42.98,,,6.33,10.71,3.40,,59.60,,,,,,1965,New Zealand,991.00,980.00,979.00,63.69,62.92,133.00,375.00,471.00,1.01,0.09,1965,New Zealand,105.00,15.30,21.81,22.01,,,,,,,,,1965,New Zealand,9.89,,,,,,,,,,,,,1965,New Zealand,,,,,,,,,,,,,,,,,1965,New Zealand,,,,,,2635.00,1556.00,219.00,8.31,1965,New Zealand
1966,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,56.23,0.00,0.00,56.23,1,1966,New Zealand,26/11/1966,86.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1966,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,New Zealand,6.3,0.62,0.51,2.61,2.02,0.59,0.23,12.45,1966,New Zealand,,,,,,,,,,,,,,,,1966,New Zealand,0,2,0,0,0,1,0,0,1966,New Zealand,,44.00,,,8.16,2.16,2.76,,58.20,,,,,,1966,New Zealand,1026.00,1015.00,1015.00,64.73,64.04,134.60,388.00,492.40,0.00,0.00,1966,New Zealand,145.00,33.10,99.10,96.59,,,,,,,,,1966,New Zealand,9.71,,,,,,,,,,,,,1966,New Zealand,,,,,,,,,,,,,,,,,1966,New Zealand,,,,,,2683.00,1585.00,223.00,8.31,1966,New Zealand
1967,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,55.00,0.00,0.00,55.00,1,1967,New Zealand,,86.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1967,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,New Zealand,6.3,0.62,0.51,2.61,2.02,0.59,0.23,12.45,1967,New Zealand,,,,,,,,,,,,,,,,1967,New Zealand,0,2,0,0,0,1,0,0,1967,New Zealand,,38.11,,,-3.29,5.15,6.06,,59.70,,,,,,1967,New Zealand,1052.00,1042.00,1041.00,65.18,64.50,137.00,400.00,504.00,1.01,0.08,1967,New Zealand,89.00,28.50,139.49,132.60,,,,,,,,,1967,New Zealand,10.60,,,,,,,,,,,,,1967,New Zealand,,,,,,,,,,,,,,,,,1967,New Zealand,,,,,,2728.00,1614.00,226.00,8.28,1967,New Zealand
1968,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,55.00,0.00,0.00,55.00,1,1968,New Zealand,,86.0,41.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1968,New Zealand,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,New Zealand,6.3,0.62,0.51,2.61,2.02,0.59,0.23,12.45,1968,New Zealand,,,,,,,,,,,,,,,,1968,New Zealand,0,2,0,0,0,1,0,0,1968,New Zealand,,42.76,,,-2.77,5.36,4.31,,62.60,,,,,,1968,New Zealand,1043.00,1031.00,1023.00,63.87,62.65,137.00,381.00,505.00,8.09,0.67,1968,New Zealand,153.00,37.50,130.27,124.90,,,,,,,,,1968,New Zealand,10.87,,,,,,,,,,,,,1968,New Zealand,,,,,,,,,,,,,,,,,1968,New Zealand,,,,,,2754.00,1633.00,231.00,8.39,1968,New Zealand
1969,New Zealand,25,NZL,554,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,54.96,0.00,0.00,54.96,1,1969,New Zealand,29/11/1969,88.9,44.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1969,New Zealand,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969,New Zealand,4.8,0.59,0.50,2.45,1.99,0.46,0.19,8.89,1969,New Zealand,,,,,,,,,,,,,-1.42,-1.47,-0.93,1969,New Zealand,0,2,0,0,0,1,0,0,1969,New Zealand,,44.96,,,6.68,5.45,4.93,,62.60,,,,,,1969,New Zealand,1061.00,1049.00,1046.00,64.26,63.36,138.00,394.00,514.00,3.03,0.25,1969,New Zealand,169.00,44.00,138.68,130.71,,,,,,,,,1969,New Zealand,10.69,,,,,,,,,,,,,1969,New Zealand,,,,,,,,,,,,,,,,,1969,New Zealand,,,,,,2780.00,1651.00,234.00,8.42,1969,New Zealand
