year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1991,Poland,27,POL,616,0,1,0,0,13.04,53.67,0.00,1,1,,0,36.36,63.64,0.00,9.60,16.80,0.00,26.40,5,1991,Poland,27/10/1991,43.2,5.1,2.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,5.5,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,2.4,2.3,8.7,0.0,0.0,0.0,0.0,12.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,13.9,1991,Poland,5.9,0.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,6.1,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,1.1,0.7,10.7,0.0,0.0,0.0,0.0,13.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,6.6,1991,Poland,8.0,0.93,0.91,13.94,10.91,3.03,0.22,3.42,1991,Poland,,,,,,,,,,,,,,,,1991,Poland,,,,,,,,,1991,Poland,0.00,44.18,,,-7.02,44.36,76.77,,76.23,,,,,,1991,Poland,,17482.00,15326.00,,61.35,,,,,,1991,Poland,305.00,221.30,517.90,, ,3600.00,33.57,,,3600.00,33.57,,1991,Poland,,20.51,15.49,4.82,6.28,1.45,4.59,4.18,2.20,0.19,1.23,0.09,0.29,1991,Poland,1.72,0.44,0.04,0.00,,,,0.14,0.00,0.05,,,,,1.23,,1991,Poland,2.23,0.75,,,,38109.00,24983.00,3931.00,10.32,1991,Poland
1992,Poland,27,POL,616,0,1,0,0,23.11,34.63,0.00,1,0,0,2,41.54,48.90,0.00,14.34,15.72,0.00,30.06,5,1992,Poland,,43.2,5.1,2.1,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,5.5,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,2.4,2.3,8.7,0.0,0.0,0.0,0.0,12.3,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,13.9,1992,Poland,5.9,0.9,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,6.1,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,1.1,0.7,10.7,0.0,0.0,0.0,0.0,13.5,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,0.0,0.0,6.6,1992,Poland,8.0,0.93,0.91,13.94,10.91,3.03,0.22,3.42,1992,Poland,,,,,,,,,,,,,,,,1992,Poland,,1,0,1,2,3,0,0,1992,Poland,0.00,41.39,,,2.51,42.11,46.10,,74.18,,,,,,1992,Poland,17561.20,17516.00,15181.00,70.17,60.32,3800.00,,,2380.20,13.40,1992,Poland,6351.00,752.50,2360.40,134.41, ,3150.00,29.74,,,3150.00,29.74,,1992,Poland,,24.07,18.76,5.05,7.41,1.82,5.47,4.26,2.14,0.25,2.22,0.16,0.32,1992,Poland,1.65,0.42,0.07,0.00,,,0.02,0.15,0.00,0.05,0.00,0.00,0.01,0.02,1.53,0.69,1992,Poland,2.23,0.75,38.20,36.40,26.00,38173.00,25166.00,4022.00,10.54,1992,Poland
1993,Poland,27,POL,616,0,1,0,0,30.08,19.94,11.93,2,1,1,1,44.55,37.09,18.36,17.55,14.61,12.10,44.26,5,1993,Poland,19/09/1993,52.1,4.9,0.0,20.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.4,2.8,0.0,2.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,6.4,0.0,0.0,0.0,10.6,4.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1993,Poland,0.0,0.0,37.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1993,Poland,8.0,0.90,0.74,9.80,3.87,5.92,0.60,17.82,1993,Poland,,,,,,,,,,,,,,,,1993,Poland,,1,0,1,2,3,0,0,1993,Poland,0.00,40.52,,,3.74,35.53,36.96,,72.77,,,,,,1993,Poland,17371.20,17321.00,14894.00,68.96,58.80,3820.00,4691.00,6383.00,2477.20,14.10,1993,Poland,7443.00,383.20,580.40,33.41,5700.00,2950.00,28.77,,5700.00,2950.00,28.77,,1993,Poland,,23.56,18.31,4.72,7.61,1.88,5.68,3.93,1.78,0.53,1.67,0.00,0.49,1993,Poland,1.27,0.42,0.09,0.00,,,0.01,0.10,0.00,0.10,0.22,0.21,0.07,0.03,1.54,0.14,1993,Poland,2.23,0.75,,,,38221.00,25332.00,4119.00,10.78,1993,Poland
1994,Poland,27,POL,616,0,1,0,0,0.00,0.00,65.00,5,1,3,0,0.00,0.00,100.00,0.00,0.00,65.90,65.90,2,1994,Poland,,52.1,4.9,0.0,20.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.4,2.8,0.0,2.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,6.4,0.0,0.0,0.0,10.6,4.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1994,Poland,0.0,0.0,37.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1994,Poland,13.0,0.90,0.74,9.80,3.87,5.92,0.60,17.82,1994,Poland,,,,,,,,,,,,,,,,1994,Poland,,1,0,1,2,3,0,0,1994,Poland,0.25,40.74,,,5.29,44.50,32.99,,63.38,,,,,1.00,1994,Poland,17156.60,17135.00,14661.00,67.67,57.55,3496.00,4657.00,6508.00,2498.60,14.40,1994,Poland,429.00,211.40,561.80,32.75, ,2750.00,27.16,,5200.00,2750.00,27.16,,1994,Poland,,22.49,17.77,4.28,7.53,1.88,5.63,3.63,1.42,0.44,1.57,0.01,0.37,1994,Poland,0.90,0.44,0.09,0.00,,,0.01,0.08,0.00,0.12,0.14,0.13,0.08,0.01,1.48,0.09,1994,Poland,2.23,0.75,,,,38252.00,25477.00,4206.00,11.00,1994,Poland
1995,Poland,27,POL,616,0,1,0,0,0.00,0.00,82.08,5,0,0,1,0.00,0.00,100.00,0.00,0.00,65.90,65.90,2,1995,Poland,,52.1,4.9,0.0,20.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.4,2.8,0.0,2.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,6.4,0.0,0.0,0.0,10.6,4.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1995,Poland,0.0,0.0,37.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1995,Poland,13.0,0.90,0.74,9.80,3.87,5.92,0.60,17.82,1995,Poland,,,,,,,,,,,,,,,,1995,Poland,,1,0,1,2,3,0,0,1995,Poland,0.41,43.68,48.67,44.40,6.95,36.88,27.95,51.59,50.94,-4.26,1.06,,,0.60,1995,Poland,17070.20,17068.00,14792.00,66.90,57.75,3345.00,4728.00,6719.00,2279.20,13.20,1995,Poland,42.00,18.30,56.30,3.30, ,2100.00,20.20,,4700.00,2100.00,20.20,,1995,Poland,16.60,21.83,17.13,4.33,7.40,1.82,5.54,3.62,1.04,0.37,1.60,0.07,0.37,1995,Poland,0.62,0.32,0.09,0.00,,,0.01,0.09,0.00,0.11,0.08,0.08,0.07,0.02,1.56,0.04,1995,Poland,2.23,0.75,50.40,47.40,30.90,38275.00,25613.00,4283.00,11.19,1995,Poland
1996,Poland,27,POL,616,0,1,0,0,0.00,0.00,68.17,5,0,0,1,0.00,0.00,100.00,0.00,0.00,65.90,65.90,2,1996,Poland,,52.1,4.9,0.0,20.4,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2.4,2.8,0.0,2.7,4.4,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,6.4,0.0,0.0,0.0,10.6,4.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1996,Poland,0.0,0.0,37.2,8.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1996,Poland,13.0,0.90,0.74,9.80,3.87,5.92,0.60,17.82,1996,Poland,,,,,,,,,,,,,,,,1996,Poland,,1,0,1,2,3,0,0,1996,Poland,0.17,45.48,52.06,47.43,6.31,25.03,19.79,51.51,50.86,-4.63,-0.32,0.16,,-2.10,1996,Poland,17209.60,17078.00,14967.50,67.01,58.14,3307.80,4739.70,6920.00,2240.60,12.10,1996,Poland,21.00,44.30,75.00,4.36, ,2150.00,20.37,,4200.00,2150.00,20.37,,1996,Poland,16.72,22.02,16.91,4.66,7.31,1.91,5.51,3.87,0.93,0.45,1.53,0.12,0.40,1996,Poland,0.55,0.29,0.09,0.00,,,0.02,0.10,0.00,0.08,0.18,0.18,0.05,0.02,1.49,0.04,1996,Poland,2.23,0.75,,,,38289.00,25742.00,4363.00,11.39,1996,Poland
1997,Poland,27,POL,616,0,1,0,0,16.25,0.00,55.79,4,1,-1,1,16.99,0.00,83.01,9.63,0.00,54.71,64.34,2,1997,Poland,21/09/1997,47.9,0.0,0.0,27.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1997,Poland,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1997,Poland,13.0,0.78,0.66,4.61,2.96,1.66,0.36,10.42,1997,Poland,,,,,,,,,,,,,,,,1997,Poland,,1,0,1,2,3,0,1,1997,Poland,0.17,50.47,47.53,42.92,6.99,21.85,14.91,48.44,47.83,-4.61,-0.52,-0.65,,-3.70,1997,Poland,17025.70,17102.80,15185.80,65.81,58.72,3122.60,4849.70,7213.50,1848.70,10.90,1997,Poland,35.00,14.20,27.80,1.63, ,2225.00,20.45,,3700.00,2225.00,20.45,,1997,Poland,16.84,21.51,16.77,4.26,7.61,1.94,5.62,3.53,0.88,0.48,1.00,0.12,0.34,1997,Poland,0.51,0.27,0.10,0.00,,,0.03,0.10,0.00,0.08,0.16,0.16,0.08,0.03,1.00,,1997,Poland,2.23,0.75,,,,38292.00,25862.00,4443.00,11.60,1997,Poland
1998,Poland,27,POL,616,0,1,0,0,96.01,0.00,0.00,1,1,-3,0,100.00,0.00,0.00,56.70,0.00,0.00,56.70,2,1998,Poland,,47.9,0.0,0.0,27.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1998,Poland,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1998,Poland,13.0,0.78,0.66,4.61,2.96,1.66,0.36,10.42,1998,Poland,,,,,,,,,,,,,,,,1998,Poland,,1,0,1,2,3,0,1,1998,Poland,0.17,56.66,45.46,41.25,4.92,16.54,11.60,43.97,43.41,-4.21,-0.38,-0.32,,-4.00,1998,Poland,17085.50,17162.00,15354.00,65.48,59.11,2946.40,4922.00,7485.60,1729.50,10.20,1998,Poland,37.00,16.90,42.74,2.50,3200.00,2285.00,20.45,,3200.00,2285.00,20.45,,1998,Poland,16.19,20.81,15.96,4.39,7.28,1.88,5.70,3.46,1.07,0.46,0.50,0.15,0.31,1998,Poland,0.49,0.26,0.11,0.22,,,0.04,0.11,0.00,0.08,0.16,0.15,0.05,0.03,0.50,,1998,Poland,2.23,0.75,,,,38283.00,25974.00,4524.00,11.82,1998,Poland
1999,Poland,27,POL,616,0,1,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,56.70,0.00,0.00,56.70,2,1999,Poland,,47.9,0.0,0.0,27.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1999,Poland,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1999,Poland,13.0,0.78,0.66,4.61,2.96,1.66,0.36,10.42,1999,Poland,,,,,,,,,,,,,,,,1999,Poland,,1,0,1,2,3,0,1,1999,Poland,0.17,54.02,43.88,41.60,4.45,10.72,7.15,46.83,46.24,-2.28,0.33,0.43,9.53,-7.40,1999,Poland,17057.40,17148.00,14757.00,65.29,56.68,2666.00,4623.00,7468.00,2300.40,13.40,1999,Poland,920.00,27.10,106.89,6.27,2800.00,2210.00,20.50,,2800.00,2210.00,20.50,,1999,Poland,16.64,21.15,16.13,4.65,7.38,1.92,5.58,3.83,1.06,0.37,0.59,0.17,0.25,1999,Poland,0.49,0.25,0.12,0.21,,,0.04,0.10,0.00,0.06,0.12,0.12,0.03,0.02,0.59,,1999,Poland,2.23,0.75,43.10,43.20,28.20,38270.00,26034.00,4604.00,12.03,1999,Poland
2000,Poland,27,POL,616,0,1,0,0,89.50,0.00,0.00,1,0,0,1,100.00,0.00,0.00,50.09,0.00,0.00,50.09,4,2000,Poland,,47.9,0.0,0.0,27.1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.8,0.0,0.0,0.0,0.0,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,2000,Poland,0.0,0.0,35.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.7,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2000,Poland,13.0,0.78,0.66,4.61,2.96,1.66,0.36,10.42,2000,Poland,,,,,,,,,,,,,0.20,-0.24,0.53,2000,Poland,,1,0,1,2,3,0,1,2000,Poland,0.17,60.79,42.09,39.11,4.47,12.12,9.90,45.42,44.85,-2.98,-0.35,-0.19,11.79,-6.00,2000,Poland,17320.00,17311.00,14526.00,66.27,55.58,2726.00,4481.00,7319.00,2794.00,16.10,2000,Poland,44.00,7.90,74.27,4.29, ,1850.00,17.54,25.00,2550.00,1850.00,17.54,25.00,2000,Poland,15.98,20.22,15.75,4.22,8.48,2.07,3.45,3.65,1.18,0.25,0.87,0.17,0.11,2000,Poland,0.51,0.28,0.16,0.23,,,0.03,0.08,0.00,0.03,0.08,0.08,0.02,0.01,0.38,0.48,2000,Poland,2.23,0.75,,,,38256.00,26134.00,4678.00,12.23,2000,Poland
