year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1975,Portugal,28,PRT,620,1,0,0,0,,,,,,,,,,,,,,,,1975,Portugal,25/04/1975,91.7,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.2,0.0,0.0,0.0,0.0,0.0,0.0,28.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,1975,Portugal,46.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,32.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1975,Portugal,8.0,0.73,0.66,3.67,2.95,0.72,0.20,5.50,1975,Portugal,,,,,,,,,,,,,,,,1975,Portugal,,,,,,,,,1975,Portugal,0.17,41.53,,,-4.35,11.18,15.27,22.43,22.43,,,,10.50,,1975,Portugal,4030.00,3902.00,3724.00,71.17,65.77,1264.00,1259.00,1201.00,179.80,4.40,1975,Portugal,,,,,,,,,,,,,1975,Portugal,8.57,,,,,,,,,,,,,1975,Portugal,,,,,,,,,,,,,,,,,1975,Portugal,,,,,,9093.47,5799.00,923.45,10.16,1975,Portugal
1976,Portugal,28,PRT,620,1,0,0,0,0.00,0.00,70.59,5,1,,0,0.00,0.00,100.00,0.00,0.00,40.70,40.70,4,1976,Portugal,25/04/1976,83.3,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1976,Portugal,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1976,Portugal,4.9,0.75,0.71,4.01,3.43,0.58,0.14,3.41,1976,Portugal,,,,,,,,,,,,,,,,1976,Portugal,0,0,0,1,2,1,0,1,1976,Portugal,0.17,37.71,,,6.90,24.30,21.14,27.31,27.31,,,,11.00,,1976,Portugal,4121.00,4050.00,3789.00,70.86,65.16,1284.00,1272.00,1233.00,262.70,6.20,1976,Portugal,,,,,,,,,,,,,1976,Portugal,11.61,,,,,,,,,,,,,1976,Portugal,,,,,,,,,,,,,,,,,1976,Portugal,,,,,,9355.81,5867.00,986.18,10.54,1976,Portugal
1977,Portugal,28,PRT,620,1,0,0,0,0.00,0.00,70.59,5,0,0,0,0.00,0.00,100.00,0.00,0.00,40.70,40.70,4,1977,Portugal,,83.3,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1977,Portugal,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1977,Portugal,4.9,0.75,0.71,4.01,3.43,0.58,0.14,3.41,1977,Portugal,,,,,,,,,,,,,,,,1977,Portugal,0,0,0,1,2,1,0,1,1977,Portugal,0.17,40.52,28.90,26.64,5.60,33.48,31.02,28.57,28.57,-2.26,-1.12,,13.92,,1977,Portugal,4165.00,4093.00,3784.00,70.78,64.30,1246.00,1252.00,1286.00,317.20,7.40,1977,Portugal,332.00,308.00,309.46,74.30,,,,,,,,,1977,Portugal,10.84,,,,,,,,,,,,,1977,Portugal,,,,,,,,,,,,,,,,,1977,Portugal,,,,,,9455.67,5914.00,1008.51,10.67,1977,Portugal
1978,Portugal,28,PRT,620,1,0,0,0,10.84,0.00,34.51,4,1,-1,3,16.31,0.00,49.44,9.25,0.00,26.76,36.01,2,1978,Portugal,,83.3,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,1978,Portugal,40.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1978,Portugal,4.9,0.75,0.71,4.01,3.43,0.58,0.14,3.41,1978,Portugal,,,,,,,,,,,,,,,,1978,Portugal,0,0,0,1,2,1,0,1,1978,Portugal,0.17,41.13,31.41,25.05,2.82,25.79,21.04,32.07,32.07,-6.37,-4.49,,18.99,,1978,Portugal,4177.00,4106.00,3772.00,70.05,63.26,1179.00,1315.00,1278.00,348.70,8.10,1978,Portugal,333.00,,,,1486.80,1486.80,60.76,68.00,1486.80,1486.80,60.76,68.00,1978,Portugal,10.09,,,,,,,,,,,,,1978,Portugal,,,,,,,,,,,,,,,,,1978,Portugal,,,,,,9558.25,5977.00,1036.01,10.84,1978,Portugal
1979,Portugal,28,PRT,620,1,0,0,0,0.00,0.00,0.00,1,1,-3,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,1979,Portugal,05/10/1979,87.5,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,19.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.3,0.0,0.0,3.8,1979,Portugal,29.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.2,0.0,0.0,2.0,1979,Portugal,6.8,0.67,0.63,3.01,2.74,0.27,0.09,2.66,1979,Portugal,,,,,,,,,,,,,,,,1979,Portugal,0,0,0,1,2,1,0,1,1979,Portugal,0.17,50.73,30.80,25.61,5.64,26.17,21.90,21.88,21.88,-5.19,-3.24,,20.02,,1979,Portugal,4274.00,4198.00,3854.00,70.65,63.71,1177.00,1348.00,1329.00,361.10,8.20,1979,Portugal,370.00,267.00,493.00,115.35,1500.00,1500.00,60.10,69.00,1500.00,1500.00,60.10,69.00,1979,Portugal,9.55,,,,,,,,,,,,,1979,Portugal,,,,,,,,,,,,,,,,,1979,Portugal,,,,,,9661.26,6052.00,1067.92,11.05,1979,Portugal
1980,Portugal,28,PRT,620,1,0,0,0,86.19,0.00,0.00,1,0,0,1,99.45,0.00,0.00,52.31,0.00,0.00,52.31,1,1980,Portugal,05/10/1980,85.4,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,5.6,1980,Portugal,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0.0,4.6,1980,Portugal,6.8,0.65,0.63,2.89,2.68,0.21,0.07,3.52,1980,Portugal,,,,,,,,,,,,,,,,1980,Portugal,0,0,0,1,2,1,0,1,1980,Portugal,0.17,54.23,33.14,26.86,4.59,26.45,15.87,31.97,31.97,-6.28,-4.24,,19.90,,1980,Portugal,4360.00,4274.00,3940.00,70.99,64.15,1074.00,1443.00,1423.00,359.40,8.00,1980,Portugal,269.00,290.00,533.40,122.34,,1460.00,54.83,70.00,1460.00,1460.00,54.83,70.00,1980,Portugal,10.57,9.74,6.72,3.02,3.06,0.62,2.12,2.99,0.64,,0.27,0.00,0.04,1980,Portugal,0.53,0.09,0.01,0.00,,0.00,,,,,,,,,0.27,,1980,Portugal,,,,,,9766.31,6142.10,1104.76,11.31,1980,Portugal
1981,Portugal,28,PRT,620,1,0,0,0,86.67,0.00,0.00,1,0,0,2,100.00,0.00,0.00,52.60,0.00,0.00,52.60,1,1981,Portugal,,85.4,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,5.6,1981,Portugal,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0.0,4.6,1981,Portugal,6.8,0.65,0.63,2.89,2.68,0.21,0.07,3.52,1981,Portugal,0.04,-0.63,2.85,55.4,3.69,4.85,2.62,1.0,1.0,3.0,2.0,0.32,,,,1981,Portugal,0,0,0,1,2,1,0,1,1981,Portugal,0.17,55.57,36.57,28.68,1.62,19.51,19.04,40.26,40.26,-7.89,-4.60,-4.12,20.64,,1981,Portugal,4334.00,4238.00,3918.00,69.62,62.94,1017.00,1450.00,1451.00,347.70,7.80,1981,Portugal,602.00,404.00,,,,1420.00,53.54,,1420.00,1420.00,53.54,71.50,1981,Portugal,11.61,10.41,7.28,3.14,3.23,0.73,2.32,3.10,0.73,,0.26,0.00,0.04,1981,Portugal,0.60,0.10,0.02,0.00,,0.00,,,,,,,,,0.26,,1981,Portugal,,,,,,9851.36,6224.99,1132.73,11.50,1981,Portugal
1982,Portugal,28,PRT,620,1,0,0,0,93.33,0.00,0.00,1,0,0,0,100.00,0.00,0.00,52.60,0.00,0.00,52.60,1,1982,Portugal,,85.4,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,5.6,1982,Portugal,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.6,0.0,0.0,4.6,1982,Portugal,6.8,0.65,0.63,2.89,2.68,0.21,0.07,3.52,1982,Portugal,,,,,,,,,,,,,,,,1982,Portugal,0,0,0,1,2,1,0,1,1982,Portugal,0.17,55.76,35.91,29.99,2.14,23.27,21.68,43.17,43.17,-5.92,-2.28,-1.75,23.16,,1982,Portugal,4330.00,4245.00,3928.00,68.82,62.43,991.00,1472.00,1465.00,348.50,7.80,1982,Portugal,528.00,263.00,456.10,105.33,,1380.00,50.49,73.00,1380.00,1380.00,50.49,73.00,1982,Portugal,11.47,9.90,7.12,2.78,3.00,0.73,2.44,2.74,0.70,,0.25,0.00,0.04,1982,Portugal,0.58,0.10,0.01,0.00,,0.00,,,,,,,,,0.25,,1982,Portugal,,,,,,9911.77,6292.15,1148.98,11.59,1982,Portugal
1983,Portugal,28,PRT,620,1,0,0,0,60.58,0.00,29.88,2,1,1,1,67.61,0.00,32.39,39.84,0.00,22.80,62.65,2,1983,Portugal,25/04/1983,78.6,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1983,Portugal,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1983,Portugal,7.2,0.73,0.70,3.74,3.35,0.39,0.10,2.84,1983,Portugal,,,,,,,,,,,,,,,,1983,Portugal,0,0,0,1,2,1,0,1,1983,Portugal,0.17,58.92,35.76,32.15,-0.17,24.39,24.00,48.17,48.17,-3.61,0.78,1.96,26.55,,1983,Portugal,4555.00,4482.00,4128.00,71.67,64.95,957.00,1458.00,1713.00,423.00,8.90,1983,Portugal,500.00,274.00,650.70,142.85,,1340.00,47.22,,1340.00,1340.00,47.22,73.67,1983,Portugal,10.94,10.01,7.55,2.46,3.41,0.82,2.44,2.42,0.70,,0.17,0.00,0.06,1983,Portugal,0.59,0.09,0.01,0.00,,0.00,,,,,,,,,0.17,,1983,Portugal,,,,,,9957.87,6355.81,1159.79,11.65,1983,Portugal
1984,Portugal,28,PRT,620,1,0,0,0,35.29,0.00,52.94,3,1,1,0,42.61,0.00,57.39,30.00,0.00,40.40,70.40,2,1984,Portugal,,78.6,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1984,Portugal,40.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1984,Portugal,7.2,0.73,0.70,3.74,3.35,0.39,0.10,2.84,1984,Portugal,,,,,,,,,,,,,,,,1984,Portugal,0,0,0,1,2,1,0,1,1984,Portugal,0.17,64.40,35.66,31.67,-1.88,22.33,28.38,53.63,53.63,-3.99,0.25,3.28,29.74,,1984,Portugal,4529.00,4457.00,4075.00,70.58,63.50,969.00,1388.00,1718.00,453.00,9.60,1984,Portugal,525.00,231.00,269.70,59.55,1300.00,1300.00,47.24,,1300.00,1300.00,47.24,74.33,1984,Portugal,10.88,9.94,7.45,2.49,3.30,0.79,2.45,2.45,0.66,,0.24,0.00,0.05,1984,Portugal,0.56,0.09,0.01,0.00,,0.00,,,,,,,,,0.24,,1984,Portugal,,,,,,9996.23,6417.12,1169.44,11.70,1984,Portugal
