year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Romania,29,ROU,642,0,1,0,0,0.00,0.00,91.30,5,1,,0,0.00,0.00,100.00,0.00,0.00,66.40,66.40,1,1990,Romania,20/05/1990,86.2,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,7.2,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1990,Romania,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1990,Romania,3.6,0.55,0.55,2.23,2.20,0.03,0.01,0.80,1990,Romania,,,,,,,,,,,,,,,,1990,Romania,,,,,,,,,1990,Romania,,39.45,,,,7.30,,,0.35,,,,,,1990,Romania,,,,,,4667.70,8937.86,3176.39,,,1990,Romania,,,579.60,,,,, ,,,,,1990,Romania,,,,,,,,,,,,,,1990,Romania,,,,,,,,,,,,,,,,,1990,Romania,,,,,,22997.79,15334.39,2415.23,10.41,1990,Romania
1991,Romania,29,ROU,642,0,1,0,0,3.33,0.00,86.48,4,1,-1,1,1.95,0.00,98.05,1.54,0.00,67.52,69.06,1,1991,Romania,,86.2,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,7.2,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1991,Romania,66.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,7.3,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1991,Romania,3.6,0.55,0.55,2.23,2.20,0.03,0.01,0.80,1991,Romania,,,,,,,,,,,,,,,,1991,Romania,,1,0,1,2,3,0,1,1991,Romania,,36.00,,,-13.08,156.75,,,0.96,,,,,-361.20,1991,Romania,,,,,,4841.63,8311.53,3378.07,,,1991,Romania,,,987.90,,6000.00,6000.00,80.18, ,6000.00,6000.00,80.18,,1991,Romania,,,,,,,,,,,,,,1991,Romania,,,,,,,,,,,,,,,,,1991,Romania,,,,,,22790.95,15233.58,2478.64,10.78,1991,Romania
1992,Romania,29,ROU,642,0,1,0,0,13.68,0.00,71.98,4,0,0,1,8.00,0.00,92.00,6.32,0.00,66.69,73.02,3,1992,Romania,27/09/1992,76.3,27.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,7.5,0.0,0.0,0.0,3.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.2,1992,Romania,34.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.9,1992,Romania,4.1,0.86,0.79,6.99,4.79,2.20,0.31,6.65,1992,Romania,,,,,,,,,,,,,,,,1992,Romania,,1,0,1,2,3,0,1,1992,Romania,,58.85,,,-8.72,173.62,,,3.94,,,,,-207.80,1992,Romania,,,,,,5198.09,7403.38,3232.90,1158.50,8.30,1992,Romania,9.00,4.00,17.00,,,,, ,5192.00,5192.00,74.42,,1992,Romania,,,,,,,,,,,,,,1992,Romania,,,,,,,,,,,,,,,,,1992,Romania,,,,,,22759.95,15150.67,2537.74,11.13,1992,Romania
1993,Romania,29,ROU,642,0,1,0,0,0.00,0.00,95.00,5,1,1,0,0.00,0.00,100.00,0.00,0.00,34.30,34.30,4,1993,Romania,,76.3,27.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,7.5,0.0,0.0,0.0,3.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.2,1993,Romania,34.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.9,1993,Romania,4.1,0.86,0.79,6.99,4.79,2.20,0.31,6.65,1993,Romania,,,,,,,,,,,,,,,,1993,Romania,,1,0,1,2,3,0,1,1993,Romania,,46.91,,,1.52,232.30,,,4.15,,,,,-50.20,1993,Romania,,,,,,5457.78,6826.36,2930.39,1460.10,10.60,1993,Romania,30.00,23.00,89.50,,4384.00,4384.00,68.66, ,4384.00,4384.00,68.66,,1993,Romania,,,,,,,,,,,,,,1993,Romania,,,,,,,,,,,,,,,,,1993,Romania,,,,,,22726.88,15211.93,2597.63,11.41,1993,Romania
1994,Romania,29,ROU,642,0,1,0,0,3.39,0.00,86.70,4,1,-1,1,7.61,0.00,92.39,3.28,0.00,34.30,37.58,4,1994,Romania,,76.3,27.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,7.5,0.0,0.0,0.0,3.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.2,1994,Romania,34.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.9,1994,Romania,4.1,0.86,0.79,6.99,4.79,2.20,0.31,6.65,1994,Romania,,,,,,,,,,,,,,,,1994,Romania,,1,0,1,2,3,0,1,1994,Romania,,47.72,,,3.93,148.42,,,5.11,,,,,-7.10,1994,Romania,,,,,,5505.86,6488.98,3010.88,1529.90,11.10,1994,Romania,33.00,69.00,361.08,,,,, ,4090.60,4090.60,63.94,,1994,Romania,,,,,,,,,,,,,,1994,Romania,,,,,,,,,,,,,,,,,1994,Romania,,,,,,22680.95,15267.03,2659.11,11.70,1994,Romania
1995,Romania,29,ROU,642,0,1,0,0,8.94,0.00,75.68,4,0,0,0,20.42,0.00,79.58,8.80,0.00,34.30,43.10,5,1995,Romania,,76.3,27.7,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,7.5,0.0,0.0,0.0,3.9,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,12.2,1995,Romania,34.3,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,4.7,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,3.9,1995,Romania,4.1,0.86,0.79,6.99,4.79,2.20,0.31,6.65,1995,Romania,,,,,,,,,,,,,,,,1995,Romania,,1,0,1,2,3,0,1,1995,Romania,,55.95,34.10,32.10,7.14,44.93,,6.60,6.60,-2.00,-0.40,,,-4.70,1995,Romania,13114.52,,,85.65,,4928.90,6023.90,3130.00,1248.00,9.70,1995,Romania,27.00,38.00,212.09,16.17,,,, ,3797.20,3797.20,59.23,,1995,Romania,9.15,,,,,,,,,,,,,1995,Romania,,,,,,,,,,,,,,,,,1995,Romania,,,34.30,32.90,27.40,22607.62,15311.03,2721.20,12.00,1995,Romania
1996,Romania,29,ROU,642,0,1,0,0,9.15,0.27,87.50,4,0,0,2,17.05,0.68,82.26,7.86,0.40,33.27,41.53,5,1996,Romania,17/11/1996,76.0,21.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,4.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,15.5,1996,Romania,26.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,5.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,4.2,1996,Romania,7.3,0.84,0.77,6.12,4.30,1.82,0.30,6.08,1996,Romania,,,,,,,,,,,,,,,,1996,Romania,,1,0,1,2,3,0,1,1996,Romania,,60.38,32.90,29.40,3.87,49.72,38.85,10.60,10.60,-3.50,-1.70,,,-7.00,1996,Romania,12327.12,,,80.36,,4600.60,5988.30,3100.50,847.00,7.00,1996,Romania,15.00,60.00,142.44,11.55,,,, ,3503.80,3503.80,54.52,,1996,Romania,8.99,,,,,,,,,,,,,1996,Romania,,,,,,,,,,,,,,,,,1996,Romania,,,,,,22545.93,15339.18,2775.53,12.28,1996,Romania
1997,Romania,29,ROU,642,0,1,0,0,65.00,5.00,25.00,2,1,-2,0,60.96,12.50,26.54,35.60,7.30,15.50,58.40,3,1997,Romania,,76.0,21.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,4.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,15.5,1997,Romania,26.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,5.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,4.2,1997,Romania,7.3,0.84,0.77,6.12,4.30,1.82,0.30,6.08,1997,Romania,,,,,,,,,,,,,,,,1997,Romania,,1,0,1,2,3,0,1,1997,Romania,,62.74,34.40,30.00,-4.82,124.09,154.93,14.90,14.90,-4.40,0.00,,,-5.90,1997,Romania,12262.90,,,79.96,,4711.80,5978.30,3090.70,717.00,6.10,1997,Romania,15.00,52.00,167.35,13.65,,,, ,3210.40,3210.40,49.80,,1997,Romania,9.43,,,,,,,,,,,,,1997,Romania,,,,,,,,,,,,,,,,,1997,Romania,,,34.60,33.40,27.90,22502.80,15337.14,2831.33,12.56,1997,Romania
1998,Romania,29,ROU,642,0,1,0,0,55.42,4.82,31.12,3,1,1,2,54.00,11.07,34.93,35.60,7.30,23.44,66.34,3,1998,Romania,,76.0,21.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,4.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,15.5,1998,Romania,26.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,5.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,4.2,1998,Romania,7.3,0.84,0.77,6.12,4.30,1.82,0.30,6.08,1998,Romania,,,,,,,,,,,,,,,,1998,Romania,,1,0,1,2,3,0,1,1998,Romania,,53.48,35.60,32.40,-2.09,45.03,59.10,16.70,16.70,-3.20,0.80,,,-7.00,1998,Romania,11936.70,,,77.92,,4759.50,5439.70,3008.80,726.00,6.30,1998,Romania,54.00,120.00,360.97,30.24,2917.00,2917.00,45.09, ,2917.00,2917.00,45.09,,1998,Romania,10.60,,,,,,,,,,,,,1998,Romania,,,,,,,,,,,,,,,,,1998,Romania,,,,,,22458.02,15319.27,2889.21,12.84,1998,Romania
1999,Romania,29,ROU,642,0,1,0,0,52.86,4.81,33.33,3,0,0,1,51.76,10.61,37.63,35.60,7.30,25.99,68.89,3,1999,Romania,,76.0,21.5,12.9,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,4.5,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,0.0,0.0,15.5,1999,Romania,26.6,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,0.0,5.6,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,0.0,0.0,4.2,1999,Romania,7.3,0.84,0.77,6.12,4.30,1.82,0.30,6.08,1999,Romania,,,,,,,,,,,,,1.19,0.32,1.51,1999,Romania,,1,0,1,2,3,0,1,1999,Romania,,59.93,39.00,34.60,-0.40,48.91,45.81,21.60,21.60,-4.40,0.60,,,-4.00,1999,Romania,11910.05,,,77.72,,4856.10,5115.20,2959.80,820.00,7.10,1999,Romania,85.00,232.00,1403.00,117.80,,,, ,2698.50,2698.50,42.50,,1999,Romania,10.30,,,,,,,,,,,,,1999,Romania,,,,,,,,,,,,,,,,,1999,Romania,,,,,,22435.21,15324.36,2936.99,13.08,1999,Romania
