year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
year,Spain,32,ESP,724,1,0,0,0,0.00,95.00,0.00,1,1,,0,0.00,100.00,0.00,0.00,47.10,0.00,47.10,4,1977,Spain,15/06/1977,77.0,30.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,1977,Spain,33.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1977,Spain,6.0,0.77,0.66,4.32,2.92,1.40,0.32,10.00,1977,Spain,,,,,,,,,,,,,,,,1977,Spain,1,3,2,0,2,3,0,1,1977,Spain,0.41,29.19,29.26,26.83,2.84,26.87,24.54,13.98,13.98,-2.43,-2.87,,10.33,,1977,Spain,13614.20,13174.90,12485.90,59.95,54.98,2604.70,4592.80,5288.40,741.30,5.30,1977,Spain,1194.00,2955.00,16641.70,1222.38,1606.00,1606.00,18.32,33.00,1606.00,1606.00,18.32,33.00,1977,Spain,11.69,,,,,,,,,,,,,1977,Spain,,,,,,,,,,,,,,,,,1977,Spain,,,,,,36563.84,22709.43,3997.04,10.93,1977,Spain
1978,Spain,32,ESP,724,1,0,0,0,0.00,95.00,0.00,1,0,0,0,0.00,100.00,0.00,0.00,47.10,0.00,47.10,4,1978,Spain,,77.0,30.3,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,1978,Spain,33.7,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.1,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1978,Spain,6.0,0.77,0.66,4.32,2.92,1.40,0.32,10.00,1978,Spain,,,,,,,,,,,,,,,,1978,Spain,1,3,2,0,2,3,0,1,1978,Spain,0.41,27.76,31.17,27.33,1.46,22.42,19.77,13.78,13.78,-3.84,-4.29,,11.94,,1978,Spain,13654.70,13205.00,12280.40,59.32,53.35,2510.00,4488.70,5281.70,995.60,7.10,1978,Spain,1128.00,3864.00,11550.90,845.93,3899.30,3899.30,45.09,53.90,3899.30,3899.30,45.09,53.90,1978,Spain,13.24,,,,,,,,,,,,,1978,Spain,,,,,,,,,,,,,,,,,1978,Spain,,,,,,36971.47,23017.58,4085.49,11.05,1978,Spain
1979,Spain,32,ESP,724,1,0,0,0,0.00,92.53,0.00,1,0,0,1,0.00,100.00,0.00,0.00,47.77,0.00,47.77,4,1979,Spain,01/03/1979,68.1,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1979,Spain,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1979,Spain,6.9,0.77,0.64,4.30,2.81,1.49,0.35,10.54,1979,Spain,,,,,,,,,,,,,,,,1979,Spain,1,3,2,0,2,3,0,1,1979,Spain,0.41,27.87,32.07,28.36,0.04,16.98,15.66,15.80,15.80,-3.71,-4.15,-3.42,13.31,,1979,Spain,13712.20,13264.60,12109.00,58.82,51.94,2379.90,4351.10,5378.00,1239.50,8.80,1979,Spain,2680.00,5713.00,18917.00,1379.57,2689.80,2689.80,31.65,,2689.80,2689.80,31.65,64.95,1979,Spain,14.48,,,,,,,,,,,,,1979,Spain,,,,,,,,,,,,,,,,,1979,Spain,,,,,,37289.01,23312.05,4155.66,11.14,1979,Spain
1980,Spain,32,ESP,724,1,0,0,0,0.00,91.67,0.00,1,0,0,0,0.00,100.00,0.00,0.00,48.00,0.00,48.00,4,1980,Spain,,68.1,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1980,Spain,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1980,Spain,6.9,0.77,0.64,4.30,2.81,1.49,0.35,10.54,1980,Spain,,,,,,,,,,,,,,,,1980,Spain,1,3,2,0,2,3,0,1,1980,Spain,0.41,31.59,34.23,29.94,1.30,14.90,15.56,26.56,26.56,-4.29,-4.67,-3.54,15.96,,1980,Spain,13755.00,13313.80,11781.10,58.31,49.94,2228.00,4162.40,5390.70,1624.10,11.50,1980,Spain,2103.00,2287.00,6177.50,449.11,1109.90,1109.90,13.46,76.00,1109.90,1109.90,13.46,76.00,1980,Spain,14.16,14.98,10.72,4.10,4.47,1.63,2.33,3.97,0.46,0.17,1.91,0.00,0.04,1980,Spain,0.37,0.05,0.01,0.02,0.00,0.00,0.06,0.00,0.00,0.04,0.00,0.00,0.05,0.02,1.91,0.00,1980,Spain,,,37.30,37.30,30.80,37526.91,23589.84,4208.04,11.21,1980,Spain
1981,Spain,32,ESP,724,1,0,0,0,0.00,98.70,0.00,1,0,0,1,0.00,100.00,0.00,0.00,48.00,0.00,48.00,4,1981,Spain,,68.1,30.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,1981,Spain,34.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,1981,Spain,6.9,0.77,0.64,4.30,2.81,1.49,0.35,10.54,1981,Spain,-0.63,0.42,2.61,71.6,7.37,6.53,3.04,3.0,3.0,3.0,3.0,0.29,,,,1981,Spain,1,3,2,0,2,3,0,1,1981,Spain,0.41,35.42,36.74,31.42,-0.13,12.20,14.55,28.94,28.94,-5.32,-5.75,-4.36,15.81,,1981,Spain,13807.80,13359.30,11467.70,57.85,48.05,2107.90,3957.20,5402.60,2013.40,14.20,1981,Spain,1993.00,1945.00,5153.50,373.23,883.70,902.00,11.26,82.00,883.70,902.00,11.26,82.00,1981,Spain,15.64,16.09,11.66,4.15,4.91,1.73,2.44,4.02,0.39,0.28,2.28,0.00,0.04,1981,Spain,0.30,0.06,0.01,0.02,0.00,0.00,0.06,0.00,0.00,0.08,0.00,0.00,0.09,0.04,2.28,0.00,1981,Spain,,,,,,37764.46,23867.66,4259.79,11.28,1981,Spain
1982,Spain,32,ESP,724,1,0,0,0,0.00,92.05,7.95,2,1,1,1,0.00,92.05,7.95,0.00,44.19,4.58,48.77,4,1982,Spain,28/10/1982,79.8,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,26.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1982,Spain,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,30.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1982,Spain,6.3,0.69,0.57,3.19,2.33,0.86,0.27,8.04,1982,Spain,,,,,,,,,,,,,,,,1982,Spain,1,3,2,0,2,3,0,1,1982,Spain,0.41,36.57,38.86,31.83,1.25,15.00,14.41,33.09,33.09,-7.03,-7.60,-5.91,15.99,,1982,Spain,13967.40,13520.10,11358.30,57.83,47.02,2061.40,3784.00,5512.90,2295.20,16.00,1982,Spain,1810.00,1059.00,2787.60,199.58,1027.20,970.00,12.20,,1027.20,970.00,12.20,83.00,1982,Spain,15.53,16.10,11.59,4.26,5.05,1.74,2.50,4.12,0.38,0.26,2.02,0.00,0.04,1982,Spain,0.29,0.06,0.01,0.02,0.00,0.00,0.09,0.00,0.00,0.06,0.00,0.00,0.07,0.03,2.02,0.00,1982,Spain,,,,,,37987.11,24154.49,4347.52,11.44,1982,Spain
1983,Spain,32,ESP,724,1,0,0,0,0.00,0.00,100.00,5,1,3,0,0.00,0.00,100.00,0.00,0.00,57.70,57.70,1,1983,Spain,,79.8,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,26.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1983,Spain,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,30.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1983,Spain,6.3,0.69,0.57,3.19,2.33,0.86,0.27,8.04,1983,Spain,,,,,,,,,,,,,,,,1983,Spain,1,3,2,0,2,3,0,1,1983,Spain,0.41,39.82,39.80,33.63,1.77,13.87,12.17,38.48,38.48,-6.18,-6.47,-4.77,16.91,,1983,Spain,14149.10,13716.70,11322.60,57.94,46.37,2068.20,3699.00,5555.40,2004.30,14.30,1983,Spain,1451.00,1484.00,4416.70,312.15,1061.90,990.00,12.57,,1061.90,990.00,12.57,84.00,1983,Spain,16.13,16.83,11.90,4.70,5.29,1.77,2.49,4.55,0.33,0.23,2.12,0.00,0.04,1983,Spain,0.25,0.05,0.01,0.02,0.00,0.00,0.10,0.00,0.00,0.05,0.00,0.00,0.06,0.03,2.12,0.00,1983,Spain,,,,,,38160.26,24418.55,4416.75,11.57,1983,Spain
1984,Spain,32,ESP,724,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,57.70,57.70,1,1984,Spain,,79.8,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,26.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1984,Spain,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,30.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1984,Spain,6.3,0.69,0.57,3.19,2.33,0.86,0.27,8.04,1984,Spain,,,,,,,,,,,,,,,,1984,Spain,1,3,2,0,2,3,0,1,1984,Spain,0.41,41.60,40.11,33.27,1.78,12.84,11.28,44.50,44.50,-6.84,-6.44,-4.60,16.52,,1984,Spain,14224.40,13817.10,11024.40,57.66,44.69,1987.90,3512.40,5524.10,2330.50,16.70,1984,Spain,1498.00,2242.00,6357.80,446.96,993.30,930.00,12.29,,993.30,930.00,12.29,85.00,1984,Spain,15.96,16.61,11.97,4.38,5.46,1.76,2.45,4.23,0.30,0.26,2.10,0.01,0.04,1984,Spain,0.21,0.05,0.01,0.02,0.00,0.00,0.11,0.00,0.00,0.05,0.01,0.01,0.06,0.03,2.10,0.00,1984,Spain,,,,,,38325.24,24670.42,4498.53,11.74,1984,Spain
1985,Spain,32,ESP,724,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,57.70,57.70,1,1985,Spain,,79.8,48.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8,26.5,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,1985,Spain,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,30.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,1985,Spain,6.3,0.69,0.57,3.19,2.33,0.86,0.27,8.04,1985,Spain,,,,,,,,,,,,,,,,1985,Spain,1,3,2,0,2,3,0,1,1985,Spain,0.41,40.92,42.69,34.42,2.32,11.12,8.81,48.23,48.23,-8.27,-6.78,-4.56,13.37,,1985,Spain,14285.10,13907.30,10903.00,57.36,43.78,1950.00,3376.50,5576.50,2501.70,17.80,1985,Spain,1092.00,1511.00,3223.50,225.65,1031.80,950.00,12.60,86.00,1031.80,950.00,12.60,86.00,1985,Spain,15.96,17.14,12.60,4.22,5.61,1.77,2.41,4.06,0.25,0.32,2.66,0.02,0.04,1985,Spain,0.17,0.05,0.00,0.02,0.00,0.00,0.08,0.03,0.00,0.07,0.02,0.01,0.09,0.04,2.64,0.02,1985,Spain,3.55,3.75,39.10,39.10,30.80,38467.02,24903.13,4593.81,11.94,1985,Spain
1986,Spain,32,ESP,724,1,0,1,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,55.52,55.52,1,1986,Spain,22/06/1986,70.6,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,9.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,1986,Spain,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1986,Spain,9.4,0.72,0.63,3.61,2.68,0.94,0.26,7.19,1986,Spain,,,,,,,,,,,,,-0.35,-0.75,0.08,1986,Spain,2,3,2,0,2,3,0,1,1986,Spain,0.41,35.40,42.18,34.90,3.25,14.49,8.79,49.02,49.02,-7.28,-5.21,-3.44,11.35,,1986,Spain,14423.80,14077.20,11102.40,57.44,44.22,1757.90,3474.80,5869.70,2808.50,17.40,1986,Spain,914.00,858.00,2279.40,158.03,1026.40,950.00,12.11,,1026.40,950.00,12.11,86.20,1986,Spain,15.56,16.89,12.14,4.15,5.56,1.74,2.35,3.98,0.21,0.60,2.38,0.03,0.04,1986,Spain,0.13,0.05,0.00,0.02,0.00,0.00,0.09,0.07,0.00,0.15,0.02,0.01,0.10,0.17,2.37,0.01,1986,Spain,3.55,3.75,,,,38571.94,25109.34,4707.33,12.20,1986,Spain
