year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Slovakia,30,SVK,703,0,1,0,0,65.22,34.78,0.00,1,1,,0,63.94,36.06,0.00,36.70,20.70,0.00,57.40,3,1990,Slovakia,09/06/1990,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,29.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,8.7,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1990,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.3,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1990,Slovakia,,0.83,0.80,5.82,4.98,0.84,0.14,3.02,1990,Slovakia,,,,,,,,,,,,,,,,1990,Slovakia,,,,,,,,,1990,Slovakia,,58.34,,,,,,,,,,,,,1990,Slovakia,,,,,,,,,,,1990,Slovakia,,,,,2400.00,,,,2400.00,,,,1990,Slovakia,,,,,,,,,,,,,,1990,Slovakia,,,,,,,,,,,,,,,,,1990,Slovakia,,,,,,5299.19,3413.79,547.16,10.33,1990,Slovakia
1991,Slovakia,30,SVK,703,0,1,0,0,62.20,37.80,0.00,1,0,0,1,63.94,36.06,0.00,36.70,20.70,0.00,57.40,3,1991,Slovakia,,95.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,29.4,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,8.7,0.0,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1991,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,0.0,0.0,0.0,0.0,0.0,32.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,9.3,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1991,Slovakia,,0.83,0.80,5.82,4.98,0.84,0.14,3.02,1991,Slovakia,,,,,,,,,,,,,,,,1991,Slovakia,,,,,,,,,1991,Slovakia,,89.91,,,,14.99,,,,,,,,,1991,Slovakia,,,,,,,,,,,1991,Slovakia,21.00,21.00,0.00,,,,,,2123.33,,,,1991,Slovakia,,,,,,,,,,0.22,,,,1991,Slovakia,,,,,,,0.08,0.01,0.00,0.02,0.00,0.00,0.03,0.08,,,1991,Slovakia,,,,,,5303.29,3435.86,551.44,10.40,1991,Slovakia
1992,Slovakia,30,SVK,703,0,1,0,0,81.29,18.71,0.00,1,0,0,1,82.76,17.24,0.00,48.49,9.90,0.00,58.39,2,1992,Slovakia,06/06/1992,84.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,3.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,7.4,0.0,2.3,0.0,7.9,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1992,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,10.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1992,Slovakia,18.1,0.81,0.69,5.36,3.19,2.17,0.40,11.07,1992,Slovakia,,,,,,,,,,,,,,,,1992,Slovakia,,0,0,0,2,1,0,1,1992,Slovakia,,135.95,,,,3.93,9.89,,42.35,,,,,,1992,Slovakia,,,,,,,,,,,1992,Slovakia,5.00,1.00,0.01,,,,,,1846.67,,,,1992,Slovakia,,,,,,,,,,1.09,,,,1992,Slovakia,,,,,,,0.07,0.08,0.00,0.03,0.01,0.01,0.11,0.79,,,1992,Slovakia,,,33.90,32.90,18.30,5305.02,3459.13,555.69,10.47,1992,Slovakia
1993,Slovakia,30,SVK,703,0,1,0,0,100.00,0.00,0.00,1,0,0,2,100.00,0.00,0.00,52.64,0.00,0.00,52.64,4,1993,Slovakia,,84.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,3.1,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,7.4,0.0,2.3,0.0,7.9,37.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1993,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.0,0.0,0.0,10.0,49.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1993,Slovakia,18.1,0.81,0.69,5.36,3.19,2.17,0.40,11.07,1993,Slovakia,,,,,,,,,,,,,,,,1993,Slovakia,,0,0,0,2,1,0,1,1993,Slovakia,,114.80,,,7.11,17.56,23.29,,47.27,,,,,,1993,Slovakia,,,,,,,,,,,1993,Slovakia,1.00,0.00,0.00,,1570.00,1413.00,67.29,,1570.00,1413.00,67.29,,1993,Slovakia,,,,,,,,,,0.34,,,,1993,Slovakia,,,,,,,0.09,0.03,0.00,0.01,0.00,0.00,0.04,0.18,,,1993,Slovakia,2.47,1.38,,,,5325.31,3493.49,564.34,10.60,1993,Slovakia
1994,Slovakia,30,SVK,703,0,1,0,0,49.28,20.62,30.09,2,1,1,2,47.08,19.98,32.94,24.45,8.91,14.77,48.13,5,1994,Slovakia,01/10/1994,75.7,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,5.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1994,Slovakia,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,6.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1994,Slovakia,18.1,0.83,0.77,5.81,4.44,1.37,0.24,8.50,1994,Slovakia,,,,,,,,,,,,,,,,1994,Slovakia,,0,0,0,2,1,0,1,1994,Slovakia,,111.13,,,6.21,20.49,13.42,,42.15,,,,,4.30,1994,Slovakia,,2443.70,2110.20,,59.75,214.40,836.70,1059.10,,,1994,Slovakia,1.00,0.00,0.01,,,1269.00,64.18,,1410.00,1269.00,64.18,,1994,Slovakia,,,,,,,,,,0.49,,,,1994,Slovakia,,,,,,,0.12,0.02,0.00,0.01,0.01,0.00,0.03,0.30,,,1994,Slovakia,2.47,1.38,,,,5346.33,3531.69,573.63,10.73,1994,Slovakia
1995,Slovakia,30,SVK,703,0,1,0,0,77.78,0.00,22.22,2,0,0,0,85.16,0.00,14.84,46.50,0.00,8.10,54.60,2,1995,Slovakia,,75.7,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,5.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1995,Slovakia,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,6.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1995,Slovakia,14.7,0.83,0.77,5.81,4.44,1.37,0.24,8.50,1995,Slovakia,,,,,,,,,,,,,,,,1995,Slovakia,,0,0,0,2,1,0,1,1995,Slovakia,,111.24,48.15,44.81,5.84,16.31,9.84,37.62,37.62,-3.34,-2.10,,,2.00,1995,Slovakia,2438.18,2470.50,2146.80,68.33,60.16,197.30,834.70,1114.80,291.40,12.10,1995,Slovakia,0.00,0.00,0.00,0.00,1250.00,1125.00,56.06,,1250.00,1125.00,56.06,,1995,Slovakia,13.92,18.62,11.58,6.30,5.57,1.00,2.02,5.61,2.46,0.74,0.42,0.00,0.81,1995,Slovakia,1.72,0.58,0.01,0.09,0.05,0.06,0.10,0.03,0.00,0.00,0.02,0.02,0.13,0.46,0.27,0.15,1995,Slovakia,2.47,1.38,,,,5362.00,3568.40,582.96,10.87,1995,Slovakia
1996,Slovakia,30,SVK,703,0,1,0,0,77.78,0.00,22.22,2,0,0,0,85.16,0.00,14.84,46.50,0.00,8.10,54.60,2,1996,Slovakia,,75.7,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,5.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1996,Slovakia,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,6.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1996,Slovakia,14.7,0.83,0.77,5.81,4.44,1.37,0.24,8.50,1996,Slovakia,,,,,,,,,,,,,,,,1996,Slovakia,,0,0,0,2,1,0,1,1996,Slovakia,0.17,115.22,53.09,43.37,6.76,11.51,5.78,36.99,36.99,-9.72,-8.19,,9.67,-9.90,1996,Slovakia,2493.88,2509.10,2224.90,69.25,61.78,198.00,879.70,1147.20,269.00,11.10,1996,Slovakia,,,,,,996.00,47.83,,1107.32,996.00,47.83,,1996,Slovakia,13.94,18.18,11.41,6.04,5.55,0.99,2.14,5.38,2.26,0.73,0.43,0.00,0.70,1996,Slovakia,1.54,0.56,0.01,0.11,0.03,0.04,0.14,0.03,0.00,0.00,0.01,0.01,0.20,0.34,0.29,0.14,1996,Slovakia,2.47,1.38,,,,5373.36,3601.20,592.07,11.02,1996,Slovakia
1997,Slovakia,30,SVK,703,0,1,0,0,77.78,0.00,22.22,2,0,0,0,85.16,0.00,14.84,46.50,0.00,8.10,54.60,2,1997,Slovakia,,75.7,0.0,10.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1,0.0,2.1,0.0,0.0,0.0,0.0,0.0,3.4,0.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,5.4,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,1997,Slovakia,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,0.0,0.0,6.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1997,Slovakia,14.7,0.83,0.77,5.81,4.44,1.37,0.24,8.50,1997,Slovakia,,,,,,,,,,,,,,,,1997,Slovakia,,0,0,0,2,1,0,1,1997,Slovakia,0.17,119.54,48.42,42.26,6.07,11.23,6.14,38.17,38.17,-6.16,-4.39,,9.37,-9.10,1997,Slovakia,2485.28,2503.40,2205.90,68.41,60.72,202.30,866.60,1137.00,279.40,11.50,1997,Slovakia,6.00,1.00,0.09,0.04,,867.00,41.97,,964.65,867.00,41.97,,1997,Slovakia,13.34,17.79,11.30,5.90,5.59,0.97,2.19,5.18,2.08,0.60,0.52,0.00,0.65,1997,Slovakia,1.26,0.70,0.01,0.07,0.03,0.04,0.23,0.03,0.00,0.12,0.02,0.02,0.14,0.04,0.38,0.14,1997,Slovakia,2.47,1.38,,,,5383.29,3632.99,601.02,11.16,1997,Slovakia
1998,Slovakia,30,SVK,703,0,1,0,0,70.74,1.32,23.74,2,0,0,1,82.89,1.41,15.70,45.64,0.88,8.73,55.25,2,1998,Slovakia,01/10/1998,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,9.1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1998,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1998,Slovakia,14.7,0.81,0.79,5.34,4.75,0.58,0.11,2.77,1998,Slovakia,,,,,,,,,,,,,,,,1998,Slovakia,,0,0,0,2,1,0,1,1998,Slovakia,0.17,103.92,45.56,40.36,4.01,9.21,6.67,40.37,40.37,-5.21,-3.23,,21.73,-9.50,1998,Slovakia,2513.55,2515.70,2198.60,68.58,59.99,181.40,867.00,1150.20,315.00,12.70,1998,Slovakia,0.00,0.00,0.00,0.00,821.97,739.77,36.15,,821.97,739.77,36.15,,1998,Slovakia,13.36,17.91,11.76,5.76,5.70,0.98,2.21,5.08,2.08,0.38,0.64,0.00,0.85,1998,Slovakia,1.26,0.70,0.01,0.07,0.03,0.05,0.15,0.02,0.00,0.10,0.02,0.02,0.08,0.01,0.49,0.15,1998,Slovakia,2.47,1.38,,,,5390.52,3664.92,607.74,11.27,1998,Slovakia
1999,Slovakia,30,SVK,703,0,1,0,0,55.00,15.00,30.00,2,0,0,0,59.19,16.13,24.68,36.70,10.00,15.30,62.00,3,1999,Slovakia,,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,0.0,0.0,9.1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1999,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,9.3,28.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1999,Slovakia,12.7,0.81,0.79,5.34,4.75,0.58,0.11,2.77,1999,Slovakia,,,,,,,,,,,,,0.64,0.25,0.75,1999,Slovakia,,0,0,1,2,1,0,1,1999,Slovakia,0.17,99.36,47.86,40.58,-0.21,7.06,10.57,52.65,52.65,-7.28,-4.49,,16.24,-5.70,1999,Slovakia,2546.08,2548.90,2132.10,68.86,57.66,157.20,820.00,1154.90,414.00,16.50,1999,Slovakia,0.00,0.00,0.00,0.00,750.00,671.25,34.16,,750.00,671.25,34.16,,1999,Slovakia,14.06,18.42,12.12,6.10,5.81,0.97,2.26,4.95,2.29,0.20,0.80,0.00,1.14,1999,Slovakia,1.09,0.66,0.01,0.48,0.03,0.05,0.16,0.01,0.00,0.01,0.01,0.01,0.01,0.00,0.62,0.18,1999,Slovakia,2.47,1.38,,,,5396.02,3697.65,612.76,11.36,1999,Slovakia
