year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1990,Slovenia,31,SVN,705,0,1,0,0,,,,,,,,,,,,,,,,1990,Slovenia,08/04/1990,77.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1990,Slovenia,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,1.4,1990,Slovenia,,0.63,0.60,2.69,2.50,0.19,0.07,5.34,1990,Slovenia,,,,,,,,,,,,,,,,1990,Slovenia,,,,,,,,,1990,Slovenia,,153.23,,,,,552.08,,,,,,,,1990,Slovenia,,,,,,,,,,,1990,Slovenia,,,,,,,69.00,100.00,,,69.00,100.00,1990,Slovenia,,,,,,,,,,,,,,1990,Slovenia,,,,,,,,,,,,,,,,,1990,Slovenia,,,,,,1998.09,1369.56,213.86,10.70,1990,Slovenia
1991,Slovenia,31,SVN,705,0,1,0,0,,,,,,,,,,,,,,,,1991,Slovenia,,77.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,1991,Slovenia,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,1.4,1991,Slovenia,,0.63,0.60,2.69,2.50,0.19,0.07,5.34,1991,Slovenia,,,,,,,,,,,,,,,,1991,Slovenia,,1,0,1,2,3,0,1,1991,Slovenia,,142.83,,,-8.90,77.58,114.83,,,,,,,,1991,Slovenia,,,,,,,,,,,1991,Slovenia,,,,,492.00,492.00,66.49,100.00,492.00,492.00,66.49,100.00,1991,Slovenia,,,,,,,,,,,,,,1991,Slovenia,,,,,,,,,,,,,,,,,1991,Slovenia,,,,,,2001.77,1376.27,218.93,10.94,1991,Slovenia
1992,Slovenia,31,SVN,705,0,1,0,0,,,,,,,,,,,,,,,,1992,Slovenia,06/12/1992,85.6,0.0,13.6,3.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,23.5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1992,Slovenia,0.0,15.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,24.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1992,Slovenia,14.4,0.88,0.85,8.41,6.59,1.82,0.22,5.04,1992,Slovenia,,,,,,,,,,,,,,,,1992,Slovenia,,1,0,1,2,3,0,1,1992,Slovenia,,108.02,,,-5.46,191.34,209.93,,,,,,,,1992,Slovenia,,,,,,,,,,,1992,Slovenia,,,,,408.00,408.00,60.00,100.00,408.00,408.00,60.00,100.00,1992,Slovenia,,,,,,,,,,,,,,1992,Slovenia,,,,,,,,,,,,,,,,,1992,Slovenia,,,,,,1995.83,1376.65,224.22,11.23,1992,Slovenia
1993,Slovenia,31,SVN,705,0,1,0,0,37.50,25.00,37.50,3,1,,0,36.68,25.00,38.32,24.50,16.70,25.60,66.80,3,1993,Slovenia,,85.6,0.0,13.6,3.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,23.5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1993,Slovenia,0.0,15.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,24.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1993,Slovenia,14.4,0.88,0.85,8.41,6.59,1.82,0.22,5.04,1993,Slovenia,,,,,,,,,,,,,,,,1993,Slovenia,,1,0,1,2,3,0,1,1993,Slovenia,,105.42,,,2.84,40.98,31.76,,22.71,,,,,,1993,Slovenia,,,,,,,,,,,1993,Slovenia,,,,,,383.00,58.03,100.00,407.00,383.00,58.03,100.00,1993,Slovenia,,,,,,,,,,,,,,1993,Slovenia,,,,,,,,,,,,,,,,,1993,Slovenia,,,,,,1990.62,1375.91,230.19,11.56,1993,Slovenia
1994,Slovenia,31,SVN,705,0,1,0,0,47.02,20.24,27.98,2,1,-1,1,41.59,28.35,30.05,24.50,16.70,17.98,59.18,2,1994,Slovenia,,85.6,0.0,13.6,3.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,23.5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1994,Slovenia,0.0,15.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,24.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1994,Slovenia,14.4,0.88,0.85,8.41,6.59,1.82,0.22,5.04,1994,Slovenia,,,,,,,,,,,,,,,,1994,Slovenia,,1,0,1,2,3,0,1,1994,Slovenia,,106.63,,,5.33,29.12,20.99,,19.91,,,,,4.00,1994,Slovenia,,,,,,,,,,,1994,Slovenia,,,,,406.00,406.00,60.24,100.00,406.00,406.00,60.24,100.00,1994,Slovenia,,,,,,,,,,,,,,1994,Slovenia,,,,,,,,,,,,,,,,,1994,Slovenia,,,,,,1988.85,1378.57,236.66,11.90,1994,Slovenia
1995,Slovenia,31,SVN,705,0,1,0,0,50.00,18.75,25.00,2,0,0,0,43.13,29.40,27.46,24.50,16.70,15.60,56.80,2,1995,Slovenia,,85.6,0.0,13.6,3.3,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.7,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0,23.5,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,1995,Slovenia,0.0,15.6,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,24.5,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,1995,Slovenia,14.4,0.88,0.85,8.41,6.59,1.82,0.22,5.04,1995,Slovenia,,,,,,,,,,,,,,,,1995,Slovenia,,1,0,1,2,3,0,1,1995,Slovenia,,93.46,52.07,43.89,4.11,30.56,13.46,18.30,18.30,-8.18,-6.56,,,-0.30,1995,Slovenia,988.65,,,71.60,,,,,66.20,6.80,1995,Slovenia,,,,,,370.00,50.48,100.00,431.00,370.00,50.48,100.00,1995,Slovenia,15.30,5.70,0.00,5.70,,,,5.70,,,,,,1995,Slovenia,,,,,,,,,,,,,,,,,1995,Slovenia,,,,,,1987.51,1377.17,244.77,12.32,1995,Slovenia
1996,Slovenia,31,SVN,705,0,1,0,0,50.00,31.86,2.53,2,0,0,1,57.81,39.41,2.78,24.50,16.70,1.58,42.78,5,1996,Slovenia,10/11/1996,73.7,0.0,9.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1996,Slovenia,0.0,10.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1996,Slovenia,14.4,0.84,0.82,6.33,5.43,0.90,0.14,5.16,1996,Slovenia,,,,,,,,,,,,,,,,1996,Slovenia,,1,0,1,2,3,0,1,1996,Slovenia,0.17,93.63,43.95,42.86,3.52,15.30,9.86,21.60,21.60,-1.10,0.56,,,0.20,1996,Slovenia,968.97,935.60,871.00,70.12,62.94,88.90,365.00,417.10,64.80,6.90,1996,Slovenia,,,,,456.00,353.00,48.76,100.00,456.00,353.00,48.76,100.00,1996,Slovenia,15.12,21.95,15.12,6.83,9.89,0.44,2.72,5.73,1.90,,0.86,0.00,0.41,1996,Slovenia,0.72,0.53,0.00,0.62,0.02,0.01,,,,,,,,,0.68,0.18,1996,Slovenia,,,,,,1991.17,1383.94,252.67,12.69,1996,Slovenia
1997,Slovenia,31,SVN,705,0,1,0,0,43.34,5.21,44.41,3,1,1,1,52.33,6.33,41.34,27.28,2.61,22.53,52.42,2,1997,Slovenia,,73.7,0.0,9.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1997,Slovenia,0.0,10.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1997,Slovenia,7.8,0.84,0.82,6.33,5.43,0.90,0.14,5.16,1997,Slovenia,,,,,,,,,,,,,,,,1997,Slovenia,,1,0,1,2,3,0,1,1997,Slovenia,0.41,96.33,44.18,41.87,5.11,13.97,8.36,22.10,22.10,-2.31,-0.36,,,0.30,1997,Slovenia,954.28,956.80,893.20,68.96,64.48,107.90,360.80,424.50,66.60,6.90,1997,Slovenia,,,,,422.00,320.00,44.07,100.00,422.00,320.00,44.07,100.00,1997,Slovenia,15.47,22.28,15.46,6.83,9.94,0.45,2.77,5.73,1.94,,1.03,0.00,0.43,1997,Slovenia,0.76,0.52,0.01,0.62,0.02,0.01,,,,,,,,,0.80,0.23,1997,Slovenia,,,30.70,30.50,21.70,1986.85,1385.32,258.81,13.03,1997,Slovenia
1998,Slovenia,31,SVN,705,0,1,0,0,42.11,0.00,52.63,3,0,0,0,51.01,0.00,48.99,27.80,0.00,26.70,54.50,2,1998,Slovenia,,73.7,0.0,9.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1998,Slovenia,0.0,10.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1998,Slovenia,7.8,0.84,0.82,6.33,5.43,0.90,0.14,5.16,1998,Slovenia,,,,,,,,,,,,,,,,1998,Slovenia,,1,0,1,2,3,0,1,1998,Slovenia,0.41,96.78,45.03,42.70,3.29,10.92,7.89,22.80,22.80,-2.33,-0.58,,,-0.60,1998,Slovenia,958.54,976.80,904.70,69.32,65.37,108.40,355.90,440.40,71.80,7.40,1998,Slovenia,,,,,417.00,312.00,42.69,100.00,417.00,312.00,42.69,100.00,1998,Slovenia,15.49,22.36,15.49,6.88,10.03,0.44,2.74,5.80,1.89,,1.07,0.00,0.40,1998,Slovenia,0.73,0.50,0.01,0.62,0.02,0.01,,,,,,,,,0.80,0.28,1998,Slovenia,,,,,,1982.60,1383.98,265.59,13.40,1998,Slovenia
1999,Slovenia,31,SVN,705,0,1,0,0,42.11,0.00,52.63,3,0,0,0,51.01,0.00,48.99,27.80,0.00,26.70,54.50,2,1999,Slovenia,,73.7,0.0,9.0,16.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1999,Slovenia,0.0,10.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,27.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.1,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,5.6,0.0,0.0,0.0,0.0,0.0,0.0,1999,Slovenia,7.8,0.84,0.82,6.33,5.43,0.90,0.14,5.16,1999,Slovenia,,,,,,,,,,,,,,,,1999,Slovenia,,1,0,1,2,3,0,1,1999,Slovenia,0.41,92.63,45.82,42.85,5.27,12.21,6.16,23.70,23.70,-2.98,-1.11,-0.65,,-3.20,1999,Slovenia,970.60,958.90,888.70,70.00,64.02,95.60,334.80,458.30,70.20,7.30,1999,Slovenia,,,,,387.00,293.00,40.44,100.00,387.00,293.00,40.44,100.00,1999,Slovenia,15.47,22.34,15.48,6.86,9.89,0.46,2.80,5.80,2.00,,1.01,0.00,0.38,1999,Slovenia,0.88,0.48,0.01,0.60,0.02,0.01,,,,,,,,,0.71,0.30,1999,Slovenia,,,30.90,30.80,22.10,1985.56,1388.11,272.15,13.71,1999,Slovenia
