year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.99,27.37,29.65,37.70,24.00,26.00,87.70,3,1960,Switzerland,,68.5,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,23.7,5.5,2.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1960,Switzerland,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.1,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1960,Switzerland,0.0,0.80,0.79,5.04,4.75,0.29,0.06,1.96,1960,Switzerland,1.72,1.46,5.20,4.0,1.00,2.55,0.88,5.0,4.0,4.0,1.0,0.61,,,,1960,Switzerland,5,6,2,2,2,4,1,0,1960,Switzerland,,69.13,,,,,1.44,,13.71,,,,3.09,,1960,Switzerland,2718.33,2718.33,2717.10,77.61,77.58,393.00,1263.00,1061.10,1.23,0.05,1960,Switzerland,8.00,0.20,1.02,0.38,747.76,732.80,31.02,50.00,747.76,732.80,31.02,50.00,1960,Switzerland,5.70,,,,,,,,,,,,,1960,Switzerland,,,,,,,,,,,,,,,,,1960,Switzerland,,,,,,5327.83,3502.53,544.84,10.23,1960,Switzerland
1961,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.99,27.37,29.65,37.70,24.00,26.00,87.70,3,1961,Switzerland,,68.5,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,23.7,5.5,2.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1961,Switzerland,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.1,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1961,Switzerland,0.0,0.80,0.79,5.04,4.75,0.29,0.06,1.96,1961,Switzerland,,,,,,,,,,,,,,,,1961,Switzerland,5,6,2,2,2,4,1,0,1961,Switzerland,,70.86,,,8.35,12.50,1.85,,11.85,,,,2.96,,1961,Switzerland,2844.75,2844.75,2844.10,79.66,79.64,381.00,1359.00,1104.10,0.65,0.02,1961,Switzerland,0.00,0.00,0.00,0.00,766.44,749.20,30.22,,766.44,749.20,30.22,50.00,1961,Switzerland,6.06,,,,,,,,,,,,,1961,Switzerland,,,,,,,,,,,,,,,,,1961,Switzerland,,,,,,5434.29,3571.28,558.74,10.28,1961,Switzerland
1962,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.99,27.37,29.65,37.70,24.00,26.00,87.70,3,1962,Switzerland,,68.5,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,23.7,5.5,2.3,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,1962,Switzerland,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,5.1,2.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1962,Switzerland,0.0,0.80,0.79,5.04,4.75,0.29,0.06,1.96,1962,Switzerland,,,,,,,,,,,,,,,,1962,Switzerland,5,6,2,2,2,4,1,0,1962,Switzerland,,70.73,,,5.02,10.89,4.32,,10.16,,,,3.12,,1962,Switzerland,2954.30,2954.30,2953.70,80.77,80.76,367.00,1436.00,1150.70,0.60,0.02,1962,Switzerland,2.00,0.20,1.39,0.47,782.85,763.20,29.56,,782.85,763.20,29.56,50.00,1962,Switzerland,6.24,,,,,,,,,,,,,1962,Switzerland,,,,,,,,,,,,,,,,,1962,Switzerland,,,,,,5573.81,3657.45,572.97,10.28,1962,Switzerland
1963,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.93,27.38,29.69,37.63,24.00,26.03,87.66,3,1963,Switzerland,27/10/1963,64.5,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,23.9,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1963,Switzerland,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1963,Switzerland,0.0,0.80,0.79,5.02,4.79,0.23,0.05,1.37,1963,Switzerland,,,,,,,,,,,,,,,,1963,Switzerland,5,6,2,2,2,4,1,0,1963,Switzerland,,69.69,,,4.96,9.96,3.44,,9.14,,,,3.25,,1963,Switzerland,2999.93,2999.93,2999.10,80.29,80.27,347.00,1465.00,1187.10,0.82,0.03,1963,Switzerland,4.00,1.10,70.70,23.57,790.84,769.10,28.91,,790.84,769.10,28.91,50.00,1963,Switzerland,6.40,,,,,,,,,,,,,1963,Switzerland,,,,,,,,,,,,,,,,,1963,Switzerland,,,,,,5694.25,3736.19,585.40,10.28,1963,Switzerland
1964,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,41.95,27.59,30.46,36.50,24.00,26.50,87.00,3,1964,Switzerland,,64.5,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,23.9,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1964,Switzerland,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1964,Switzerland,0.0,0.80,0.79,5.02,4.79,0.23,0.05,1.37,1964,Switzerland,,,,,,,,,,,,,,,,1964,Switzerland,5,6,2,2,2,4,1,0,1964,Switzerland,,69.66,,,5.10,10.85,3.08,,50.79,,,,3.97,,1964,Switzerland,3046.29,3046.29,3046.00,80.28,80.27,332.00,1487.00,1227.00,0.29,0.01,1964,Switzerland,1.00,0.40,4.55,1.49,798.50,774.50,28.49,50.00,798.50,774.50,28.49,50.00,1964,Switzerland,7.30,,,,,,,,,,,,,1964,Switzerland,,,,,,,,,,,,,,,,,1964,Switzerland,,,,,,5789.23,3794.60,599.94,10.36,1964,Switzerland
1965,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,41.95,27.59,30.46,36.50,24.00,26.50,87.00,3,1965,Switzerland,,64.5,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,23.9,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1965,Switzerland,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1965,Switzerland,0.0,0.80,0.79,5.02,4.79,0.23,0.05,1.37,1965,Switzerland,,,,,,,,,,,,,,,,1965,Switzerland,5,6,2,2,2,4,1,0,1965,Switzerland,,68.44,,,3.06,7.10,3.41,,44.65,,,,3.95,,1965,Switzerland,3025.60,3025.60,3025.30,79.04,79.03,317.00,1464.00,1244.30,0.30,0.01,1965,Switzerland,2.00,0.00,0.16,0.05,803.73,778.00,28.22,,803.73,778.00,28.22,50.00,1965,Switzerland,7.40,,,,,,,,,,,,,1965,Switzerland,,,,,,,,,,,,,,,,,1965,Switzerland,,,,,,5856.47,3827.91,615.95,10.52,1965,Switzerland
1966,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,41.95,27.59,30.46,36.50,24.00,26.50,87.00,3,1966,Switzerland,,64.5,26.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,23.9,5.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,1966,Switzerland,26.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1966,Switzerland,0.0,0.80,0.79,5.02,4.79,0.23,0.05,1.37,1966,Switzerland,,,,,,,,,,,,,,,,1966,Switzerland,5,6,2,2,2,4,1,0,1966,Switzerland,,68.88,,,2.41,7.39,4.78,,41.30,,,,4.16,,1966,Switzerland,3014.00,3014.00,3013.70,78.16,78.15,306.00,1442.00,1265.70,0.30,0.01,1966,Switzerland,2.00,0.00,0.06,0.02,801.35,774.10,27.81,,801.35,774.10,27.81,50.00,1966,Switzerland,7.60,,,,,,,,,,,,,1966,Switzerland,,,,,,,,,,,,,,,,,1966,Switzerland,,,,,,5918.00,3856.41,632.34,10.69,1966,Switzerland
1967,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,41.96,27.58,30.46,36.49,23.99,26.49,86.98,3,1967,Switzerland,29/10/1967,63.8,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,23.2,9.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,1967,Switzerland,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,24.5,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1967,Switzerland,0.0,0.82,0.81,5.57,5.14,0.43,0.08,1.99,1967,Switzerland,,,,,,,,,,,,,,,,1967,Switzerland,5,6,2,2,2,4,1,0,1967,Switzerland,,67.76,,,3.00,7.64,4.01,,39.07,,,,4.60,,1967,Switzerland,3029.96,3029.96,3029.70,77.74,77.73,303.00,1431.00,1295.70,0.26,0.01,1967,Switzerland,7.00,0.10,1.69,0.56,801.06,772.30,26.89,,801.06,772.30,26.89,50.00,1967,Switzerland,7.90,,,,,,,,,,,,,1967,Switzerland,,,,,,,,,,,,,,,,,1967,Switzerland,,,,,,5991.79,3897.56,650.73,10.86,1967,Switzerland
1968,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.17,27.11,30.72,35.00,22.50,25.50,83.00,3,1968,Switzerland,,63.8,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,23.2,9.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,1968,Switzerland,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,24.5,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1968,Switzerland,0.0,0.82,0.81,5.57,5.14,0.43,0.08,1.99,1968,Switzerland,,,,,,,,,,,,,,,,1968,Switzerland,5,6,2,2,2,4,1,0,1968,Switzerland,,70.52,,,3.70,6.78,2.40,,37.95,,,,4.37,,1968,Switzerland,3048.30,3048.30,3048.00,77.26,77.26,287.00,1429.00,1332.00,0.30,0.01,1968,Switzerland,1.00,0.10,1.79,0.59,798.24,768.10,26.28,,798.24,768.10,26.28,50.00,1968,Switzerland,7.50,,,,,,,,,,,,,1968,Switzerland,,,,,,,,,,,,,,,,,1968,Switzerland,,,,,,6067.71,3945.36,668.10,11.01,1968,Switzerland
1969,Switzerland,34,CHE,756,1,0,0,0,42.86,28.57,28.57,2,0,0,1,42.17,27.11,30.72,35.00,22.50,25.50,83.00,3,1969,Switzerland,,63.8,23.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,23.2,9.1,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,1969,Switzerland,25.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,24.5,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,1969,Switzerland,0.0,0.82,0.81,5.57,5.14,0.43,0.08,1.99,1969,Switzerland,,,,,,,,,,,,,2.31,1.64,2.28,1969,Switzerland,5,6,2,2,2,4,1,0,1969,Switzerland,,75.31,,,5.61,8.35,2.49,,36.28,,,,4.90,,1969,Switzerland,3098.58,3098.58,3098.40,77.65,77.65,276.00,1444.00,1378.40,0.17,0.01,1969,Switzerland,1.00,0.00,0.23,0.07,798.98,767.00,25.88,,798.98,767.00,25.88,50.00,1969,Switzerland,6.50,,,,,,,,,,,,,1969,Switzerland,,,,,,,,,,,,,,,,,1969,Switzerland,,,,,,6136.39,3990.40,684.39,11.15,1969,Switzerland
