year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,United Kingdom,35,GBR,826,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.90,0.00,0.00,57.90,1,1960,United Kingdom,,78.7,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1960,United Kingdom,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1960,United Kingdom,3.9,0.56,0.50,2.28,1.99,0.29,0.13,7.21,1960,United Kingdom,-1.09,-1.06,2.16,97.3,8.12,11.70,3.02,1.2,2.5,1.0,1.0,0.31,,,,1960,United Kingdom,0,2,0,0,0,3,0,0,1960,United Kingdom,,39.92,,,,,1.00,,91.34,-0.93,,,5.86,-0.84,1960,United Kingdom,24504.00,23986.00,23660.00,72.05,69.56,1118.00,11282.00,11260.00,312.30,1.30,1960,United Kingdom,2832.00,818.80,3024.00,123.41,9835.00,8851.50,40.43,72.06,9835.00,8851.50,40.43,72.06,1960,United Kingdom,6.80,,,,,,,,,,,,,1960,United Kingdom,,,,,,,,,,,,,,,,,1960,United Kingdom,,,,,,52373.00,34012.00,6138.00,11.72,1960,United Kingdom
1961,United Kingdom,35,GBR,826,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.90,0.00,0.00,57.90,1,1961,United Kingdom,,78.7,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1961,United Kingdom,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1961,United Kingdom,3.9,0.56,0.50,2.28,1.99,0.29,0.13,7.21,1961,United Kingdom,,,,,,,,,,,,,,,,1961,United Kingdom,0,2,0,0,0,3,0,0,1961,United Kingdom,,38.34,,,2.68,5.52,3.45,88.16,88.16,-0.69,,,6.26,0.24,1961,United Kingdom,24739.00,24265.00,23978.00,72.25,70.03,1100.00,11405.00,11473.00,291.90,1.20,1961,United Kingdom,2686.00,778.50,3046.00,123.13,9916.00,8924.40,40.15,,9916.00,8924.40,40.15,72.11,1961,United Kingdom,7.00,,,,,,,,,,,,,1961,United Kingdom,,,,,,,,,,,,,,,,,1961,United Kingdom,,,,,,52807.00,34241.00,6210.00,11.76,1961,United Kingdom
1962,United Kingdom,35,GBR,826,1,0,0,0,100.00,0.00,0.00,1,0,0,0,100.00,0.00,0.00,57.90,0.00,0.00,57.90,1,1962,United Kingdom,,78.7,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1962,United Kingdom,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1962,United Kingdom,3.9,0.56,0.50,2.28,1.99,0.29,0.13,7.21,1962,United Kingdom,,,,,,,,,,,,,,,,1962,United Kingdom,0,2,0,0,0,3,0,0,1962,United Kingdom,,37.32,,,1.10,4.75,4.20,88.92,88.92,0.10,,,5.76,0.60,1962,United Kingdom,25033.00,24591.00,24185.00,72.24,69.79,1066.00,11356.00,11763.00,394.20,1.60,1962,United Kingdom,2449.00,4422.70,5798.00,231.61,10014.00,9012.60,40.15,,10014.00,9012.60,40.15,72.15,1962,United Kingdom,7.30,,,,,,,,,,,,,1962,United Kingdom,,,,,,,,,,,,,,,,,1962,United Kingdom,,,,,,53292.00,34652.00,6280.00,11.78,1962,United Kingdom
1963,United Kingdom,35,GBR,826,1,0,0,0,100.00,0.00,0.00,1,0,0,1,100.00,0.00,0.00,57.90,0.00,0.00,57.90,1,1963,United Kingdom,,78.7,43.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1963,United Kingdom,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1963,United Kingdom,3.9,0.56,0.50,2.28,1.99,0.29,0.13,7.21,1963,United Kingdom,,,,,,,,,,,,,,,,1963,United Kingdom,0,2,0,0,0,3,0,0,1963,United Kingdom,,37.31,,,4.88,5.93,2.02,84.13,84.13,-3.04,,,5.17,0.47,1963,United Kingdom,25153.00,24726.00,24230.00,72.16,69.52,1059.00,11243.00,11928.00,495.60,2.00,1963,United Kingdom,2068.00,592.50,1755.00,69.77,10067.00,9060.30,40.26,,10067.00,9060.30,40.26,72.20,1963,United Kingdom,7.40,,,,,,,,,,,,,1963,United Kingdom,,,,,,,,,,,,,,,,,1963,United Kingdom,,,,,,53625.00,34855.00,6349.00,11.84,1963,United Kingdom
1964,United Kingdom,35,GBR,826,1,0,0,0,79.23,0.00,20.77,2,1,1,1,79.23,0.00,20.77,45.88,0.00,10.44,56.32,1,1964,United Kingdom,15/10/1964,77.2,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1964,United Kingdom,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,United Kingdom,4.4,0.60,0.51,2.53,2.06,0.47,0.19,8.90,1964,United Kingdom,,,,,,,,,,,,,,,,1964,United Kingdom,0,2,0,0,0,3,0,0,1964,United Kingdom,,37.42,,,5.54,9.06,3.28,77.19,77.19,-1.09,,,5.70,-1.03,1964,United Kingdom,25295.00,24871.00,24522.00,72.31,70.10,1014.00,11400.00,12108.00,349.00,1.40,1964,United Kingdom,2524.00,883.00,2277.00,90.02,10218.00,9196.20,40.31,,10218.00,9196.20,40.31,72.24,1964,United Kingdom,7.10,,,,,,,,,,,,,1964,United Kingdom,,,,,,,,,,,,,,,,,1964,United Kingdom,,,,,,53991.00,34980.00,6466.00,11.98,1964,United Kingdom
1965,United Kingdom,35,GBR,826,1,0,0,0,0.00,0.00,100.00,5,1,3,0,0.00,0.00,100.00,0.00,0.00,50.30,50.30,1,1965,United Kingdom,,77.2,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1965,United Kingdom,50.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,United Kingdom,4.4,0.60,0.51,2.53,2.06,0.47,0.19,8.90,1965,United Kingdom,,,,,,,,,,,,,,,,1965,United Kingdom,0,2,0,0,0,3,0,0,1965,United Kingdom,,36.22,,,2.13,7.86,4.77,69.52,69.52,-2.06,,,6.55,-0.17,1965,United Kingdom,25498.00,25075.00,24776.00,72.77,70.71,952.00,11536.00,12288.00,301.50,1.20,1965,United Kingdom,2354.00,876.40,2925.00,114.71,10325.00,9292.50,40.26,72.29,10325.00,9292.50,40.26,72.29,1965,United Kingdom,7.60,,,,,,,,,,,,,1965,United Kingdom,,,,,,,,,,,,,,,,,1965,United Kingdom,,,,,,54350.00,35038.00,6608.00,12.16,1965,United Kingdom
1966,United Kingdom,35,GBR,826,1,0,0,0,0.00,0.00,100.00,5,0,0,1,0.00,0.00,100.00,0.00,0.00,55.85,55.85,1,1966,United Kingdom,31/03/1966,76.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1966,United Kingdom,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1966,United Kingdom,4.1,0.59,0.50,2.42,2.02,0.40,0.17,8.44,1966,United Kingdom,,,,,,,,,,,,,,,,1966,United Kingdom,0,2,0,0,0,3,0,0,1966,United Kingdom,,35.98,,,1.57,6.63,3.91,71.90,71.90,0.28,,,6.87,0.31,1966,United Kingdom,25632.00,25215.00,24934.00,73.03,71.05,916.00,11560.00,12458.00,277.90,1.10,1966,United Kingdom,1937.00,543.90,2398.00,93.55,10259.00,9233.10,39.71,,10259.00,9233.10,39.71,72.49,1966,United Kingdom,7.70,,,,,,,,,,,,,1966,United Kingdom,,,,,,,,,,,,,,,,,1966,United Kingdom,,,,,,54643.00,35096.00,6696.00,12.25,1966,United Kingdom
1967,United Kingdom,35,GBR,826,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,57.80,57.80,1,1967,United Kingdom,,76.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1967,United Kingdom,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1967,United Kingdom,4.1,0.59,0.50,2.42,2.02,0.40,0.17,8.44,1967,United Kingdom,,,,,,,,,,,,,,,,1967,United Kingdom,0,2,0,0,0,3,0,0,1967,United Kingdom,,36.30,,,2.78,5.63,2.48,63.20,63.20,-0.90,,,6.70,-0.71,1967,United Kingdom,25490.00,25073.00,24570.00,72.64,70.02,883.00,11215.00,12472.00,502.40,2.00,1967,United Kingdom,2116.00,733.70,2787.00,109.34,10191.00,9171.90,40.21,,10191.00,9171.90,40.21,72.69,1967,United Kingdom,8.20,,,,,,,,,,,,,1967,United Kingdom,,,,,,,,,,,,,,,,,1967,United Kingdom,,,,,,54959.00,35090.00,6852.00,12.47,1967,United Kingdom
1968,United Kingdom,35,GBR,826,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,57.80,57.80,1,1968,United Kingdom,,76.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1968,United Kingdom,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1968,United Kingdom,4.1,0.59,0.50,2.42,2.02,0.40,0.17,8.44,1968,United Kingdom,,,,,,,,,,,,,,,,1968,United Kingdom,0,2,0,0,0,3,0,0,1968,United Kingdom,,40.32,,,5.45,9.62,4.70,58.26,58.26,-0.28,,,7.51,-0.66,1968,United Kingdom,25378.00,24978.00,24436.00,72.42,69.73,853.00,11053.00,12530.00,525.20,2.10,1968,United Kingdom,2378.00,2257.60,4690.00,184.81,10193.00,9173.70,40.50,,10193.00,9173.70,40.50,72.88,1968,United Kingdom,8.70,,,,,,,,,,,,,1968,United Kingdom,,,,,,,,,,,,,,,,,1968,United Kingdom,,,,,,55214.00,35044.00,6977.00,12.64,1968,United Kingdom
1969,United Kingdom,35,GBR,826,1,0,0,0,0.00,0.00,100.00,5,0,0,0,0.00,0.00,100.00,0.00,0.00,57.80,57.80,1,1969,United Kingdom,,76.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,1969,United Kingdom,57.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1969,United Kingdom,4.1,0.59,0.50,2.42,2.02,0.40,0.17,8.44,1969,United Kingdom,,,,,,,,,,,,,-1.39,-1.16,-1.20,1969,United Kingdom,0,2,0,0,0,3,0,0,1969,United Kingdom,,40.67,,,1.92,8.08,5.45,54.46,54.46,-0.47,,,8.83,0.83,1969,United Kingdom,25376.00,24996.00,24478.00,72.47,69.91,816.00,11082.00,12580.00,500.40,2.00,1969,United Kingdom,3116.00,1665.00,6846.00,269.78,10472.00,9424.80,41.66,,10472.00,9424.80,41.66,73.08,1969,United Kingdom,8.70,,,,,,,,,,,,,1969,United Kingdom,,,,,,,,,,,,,,,,,1969,United Kingdom,,,31.40,29.50,23.90,55461.00,35016.00,7121.00,12.84,1969,United Kingdom
