year,country,countryn,iso,iso3n,cpds1,poco,eu,emu,gov_right1,gov_cent1,gov_left1,gov_party,gov_new,gov_gap,gov_chan,gov_right2,gov_cent2,gov_left2,gov_right3,gov_cent3,gov_left3,gov_sup,gov_type,year_01,country_01,elect,vturn,social1,social2,social3,social4,social5,social6,social7,social8,leftsoc1,leftsoc2,leftsoc3,leftsoc4,leftsoc5,comm1,comm2,comm3,comm4,postcom1,postcom2,agrarian1,agrarian2,agrarian3,conserv1,conserv2,conserv3,conserv4,conserv5,conserv6,conserv7,conserv8,relig1,relig2,relig3,relig4,relig5,relig6,relig7,liberal1,liberal2,liberal3,liberal4,liberal5,liberal6,liberal7,liberal8,liberal9,protest1,protest2,protest3,protest4,protest5,green1,green2,green3,ethnic1,ethnic2,ethnic3,ethnic4,right1,right2,right3,right4,right5,regio1,femin1,monarch1,person1,pension1,pension2,nonlbl1,nonlbl2,allia1,allia2,allia3,others,year_02,country_02,ssocial1,ssocial2,ssocial3,ssocial4,ssocial5,ssocial6,ssocial7,ssocial8,sleftsoc1,sleftsoc2,sleftsoc3,sleftsoc4,sleftsoc5,scomm1,scomm2,scomm3,scomm4,spostcom1,spostcom2,sagrarian1,sagrarian2,sagrarian3,sconserv1,sconserv2,sconserv3,sconserv4,sconserv5,sconserv6,sconserv7,sconserv8,srelig1,srelig2,srelig3,srelig4,srelig5,srelig6,srelig7,sliberal1,sliberal2,sliberal3,sliberal4,sliberal5,sliberal6,sliberal7,sliberal8,sliberal9,sprotest1,sprotest2,sprotest3,sprotest4,sprotest5,sgreen1,sgreen2,sgreen3,sethnic1,sethnic2,sethnic3,sethnic4,sright1,sright2,sright3,sright4,sright5,sregio1,sfemin1,smonarch1,sperson1,spension1,spension2,snonlbl1,snonlbl2,sallia1,sallia2,sallia3,sothers,year_03,country_03,womenpar,rae_ele,rae_leg,effpar_ele,effpar_leg,dis_abso,dis_rel,dis_gall,year_04,country_04,lfirst,lsec,leff,lmin,lexe,ldis,lint,lfed,lbic,lrid,ljud,lbank,lfirstp,lfirstpi,lfirstpb,year_05,country_05,instcons,structur,fed,pres,prop,bic,referen,judrev,year_06,country_06,kaopen,openc_NEW,outlays,receipts,realgdpgr,nomgdpgr,inflation,debt,debt_hist,deficit,pbal,capb,interest,curac,year_07,country_07,ttl_labf,civ_labf,emp_civ,labfopar,empratio,emp_ag,emp_ind,emp_serv,emp_un,unemp,year_08,country_08,nld,wi,wdlost,strike,grossu,netu,ud,adjcov,grossu_ipol,netu_ipol,ud_ipol,adjcov_ipol,year_09,country_09,sstran,socexp_t_pmp,socexp_c_pmp,socexp_k_pmp,oldage_pmp,survivor_pmp,incapben_pmp,health_pmp,family_pmp,almp_pmp,unemp_pmp,housing_pmp,othsocx_pmp,year_10,country_10,fallow_pmp,mpleave_pmp,othfam_c_pmp,childcare_pmp,homehelp_pmp,othfam_k_pmp,servadmi_pmp,training_pmp,jobrot_pmp,incent_pmp,disabled_pmp,disabled_pmp,jobcrea_pmp,startup_pmp,compen_pmp,earretir_pmp,year_11,country_11,emprot_reg,emprot_temp,prefisc_gini,pretran_gini,postfisc_gini,pop,pop15_64,pop65,elderly,year_12,country_12
1960,USA,36,USA,840,1,0,0,0,92.31,7.69,0.00,1,0,0,0,100.00,0.00,0.00,35.74,0.00,0.00,35.74,1,1960,USA,08/11/1960,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1960,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1960,USA,3.9,0.50,0.48,2.01,1.92,0.08,0.04,4.96,1960,USA,-0.67,2.25,2.39,80.4,4.00,14.28,3.02,5.0,4.0,4.0,4.0,0.56,,,,1960,USA,5,7,2,4,0,4,0,1,1960,USA,,9.17,30.04,27.69,,,1.46,59.82,64.85,-2.34,0.24,,4.12,0.52,1960,USA,71489.00,69627.00,65776.00,66.85,60.95,5458.08,23095.00,37222.92,3831.10,5.50,1960,USA,3333.00,1320.00,19100.00,267.17,17049.00,17049.00,30.90,34.00,17049.00,17049.00,30.90,34.00,1960,USA,5.00,,,,,,,,,,,,,1960,USA,,,,,,,,,,,,,,,,,1960,USA,,,,,,180671.20,107919.40,16675.03,9.23,1960,USA
1961,USA,36,USA,840,1,0,0,0,11.12,88.88,0.00,1,0,0,1,5.21,94.79,0.00,2.08,56.88,0.00,58.96,1,1961,USA,,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,1961,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1961,USA,3.9,0.50,0.48,2.01,1.92,0.08,0.04,4.96,1961,USA,,,,,,,,,,,,,,,,1961,USA,5,7,2,4,0,4,0,1,1961,USA,,8.93,31.36,27.67,2.55,3.68,1.07,60.21,65.41,-3.68,-1.18,,3.88,0.68,1961,USA,72359.00,70459.00,65745.41,66.97,60.29,5199.67,22474.00,38071.75,4724.80,6.70,1961,USA,3367.00,1450.00,16300.00,225.27,16303.00,16303.00,29.52,33.60,16303.00,16303.00,29.52,33.60,1961,USA,5.80,,,,,,,,,,,,,1961,USA,,,,,,,,,,,,,,,,,1961,USA,,,,,,183691.50,109048.60,17089.21,9.30,1961,USA
1962,USA,36,USA,840,1,0,0,0,6.67,93.33,0.00,1,0,0,0,0.00,100.00,0.00,0.00,59.92,0.00,59.92,1,1962,USA,06/11/1962,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1962,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1962,USA,4.1,0.50,0.48,2.01,1.93,0.08,0.04,7.40,1962,USA,,,,,,,,,,,,,,,,1962,USA,5,7,2,4,0,4,0,1,1962,USA,,8.94,31.39,27.88,6.11,7.43,1.20,58.23,61.90,-3.52,-0.99,,3.95,0.56,1962,USA,72675.00,70614.59,66702.50,66.06,60.00,4943.67,23219.00,38539.83,3885.10,5.50,1962,USA,3614.00,1230.00,18600.00,255.93,15585.30,16586.00,29.34,33.20,15585.30,16586.00,29.34,33.20,1962,USA,5.60,,,,,,,,,,,,,1962,USA,,,,,,,,,,,,,,,,,1962,USA,,,,,,186537.70,111177.30,17456.60,9.36,1962,USA
1963,USA,36,USA,840,1,0,0,0,6.74,93.26,0.00,1,0,0,1,0.00,100.00,0.00,0.00,59.50,0.00,59.50,1,1963,USA,,47.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1963,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1963,USA,4.1,0.50,0.48,2.01,1.93,0.08,0.04,7.40,1963,USA,,,,,,,,,,,,,,,,1963,USA,5,7,2,4,0,4,0,1,1963,USA,,8.96,31.19,28.41,4.36,5.53,1.24,56.90,60.70,-2.78,-0.18,,4.00,0.69,1963,USA,73839.00,71832.84,67762.84,65.99,59.97,4686.83,23775.00,39301.00,4099.00,5.70,1963,USA,3362.00,941.00,16100.00,218.04,16524.00,16524.00,28.51,32.80,16524.00,16524.00,28.51,32.80,1963,USA,5.60,,,,,,,,,,,,,1963,USA,,,,,,,,,,,,,,,,,1963,USA,,,,,,189241.80,112998.90,17777.66,9.39,1963,USA
1964,USA,36,USA,840,1,0,0,0,7.14,92.86,0.00,1,0,0,0,0.00,100.00,0.00,0.00,60.84,0.00,60.84,1,1964,USA,03/11/1964,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1964,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1964,USA,2.8,0.49,0.44,1.97,1.78,0.19,0.10,9.90,1964,USA,,,,,,,,,,,,,,,,1964,USA,5,7,2,4,0,4,0,1,1964,USA,,9.20,30.62,27.33,5.77,7.39,1.28,54.88,58.65,-3.29,-0.69,,4.19,1.00,1964,USA,75109.00,73090.16,69304.41,66.04,60.36,4523.00,24291.00,40490.42,3804.40,5.20,1964,USA,3655.00,1640.00,22900.00,304.89,16821.00,16841.00,28.31,32.40,16821.00,16841.00,28.31,32.40,1964,USA,5.40,,,,,,,,,,,,,1964,USA,,,,,,,,,,,,,,,,,1964,USA,,,,,,191888.80,114814.40,18126.70,9.45,1964,USA
1965,USA,36,USA,840,1,0,0,0,14.20,85.80,0.00,1,0,0,1,0.00,100.00,0.00,0.00,67.80,0.00,67.80,1,1965,USA,,59.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1965,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1965,USA,2.8,0.49,0.44,1.97,1.78,0.19,0.10,9.90,1965,USA,,,,,,,,,,,,,,,,1965,USA,5,7,2,4,0,4,0,1,1965,USA,,9.22,30.13,27.28,6.50,8.45,1.59,51.94,55.79,-2.85,-0.30,,4.28,0.73,1965,USA,76401.00,74454.34,71088.09,66.19,60.97,4361.08,25211.00,41516.00,3352.20,4.50,1965,USA,3963.00,1550.00,23300.00,304.97,17299.00,17299.00,28.17,32.00,17299.00,17299.00,28.17,32.00,1965,USA,5.40,,,,,,,,,,,,,1965,USA,,,,,,,,,,,,,,,,,1965,USA,,,,,,194303.00,116601.30,18451.39,9.50,1965,USA
1966,USA,36,USA,840,1,0,0,0,18.81,81.19,0.00,1,0,0,0,0.00,100.00,0.00,0.00,66.23,0.00,66.23,1,1966,USA,08/11/1966,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1966,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966,USA,2.5,0.51,0.49,2.03,1.96,0.08,0.04,5.67,1966,USA,,,,,,,,,,,,,,,,1966,USA,5,7,2,4,0,4,0,1,1966,USA,,9.57,31.02,27.89,6.60,9.59,3.02,48.96,52.99,-3.12,-0.63,,4.92,0.37,1966,USA,77892.00,75775.75,72898.16,66.56,61.49,3978.92,26278.00,42641.25,2881.70,3.80,1966,USA,4405.00,1960.00,25400.00,326.09,17940.00,17940.00,28.20,31.60,17940.00,17940.00,28.20,31.60,1966,USA,5.50,,,,,,,,,,,,,1966,USA,,,,,,,,,,,,,,,,,1966,USA,,,,,,196560.30,118546.00,18755.13,9.54,1966,USA
1967,USA,36,USA,840,1,0,0,0,18.75,81.25,0.00,1,0,0,0,0.00,100.00,0.00,0.00,57.20,0.00,57.20,1,1967,USA,,46.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1967,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1967,USA,2.5,0.51,0.49,2.03,1.96,0.08,0.04,5.67,1967,USA,,,,,,,,,,,,,,,,1967,USA,5,7,2,4,0,4,0,1,1967,USA,,9.68,32.86,28.29,2.74,5.73,2.77,48.74,52.68,-4.58,-2.09,-2.09,5.07,0.30,1967,USA,79565.00,77347.25,74371.59,67.00,61.68,3843.92,26653.00,43874.67,2940.00,3.80,1967,USA,4595.00,2870.00,42100.00,529.13,18367.00,18367.00,27.77,31.20,18367.00,18367.00,27.77,31.20,1967,USA,6.20,,,,,,,,,,,,,1967,USA,,,,,,,,,,,,,,,,,1967,USA,,,,,,198712.09,120582.20,19071.41,9.60,1967,USA
1968,USA,36,USA,840,1,0,0,0,8.11,91.89,0.00,1,0,0,0,0.00,100.00,0.00,0.00,57.00,0.00,57.00,1,1968,USA,05/11/1968,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1968,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1968,USA,2.5,0.51,0.49,2.05,1.97,0.08,0.04,4.84,1968,USA,,,,,,,,,,,,,,,,1968,USA,5,7,2,4,0,4,0,1,1968,USA,,10.03,33.17,29.72,4.91,9.37,4.27,46.82,51.02,-3.45,-0.90,-0.99,5.65,0.07,1968,USA,80990.00,78736.66,75920.00,67.08,61.90,3816.58,26896.00,45207.42,2837.30,3.60,1968,USA,5045.00,2650.00,49000.00,605.01,18916.00,18916.00,27.90,30.80,18916.00,18916.00,27.90,30.80,1968,USA,6.40,,,,,,,,,,,,,1968,USA,,,,,,,,,,,,,,,,,1968,USA,,,,,,200706.00,122655.90,19365.12,9.65,1968,USA
1969,USA,36,USA,840,1,0,0,0,94.79,5.21,0.00,1,0,0,1,94.79,5.21,0.00,41.80,2.91,0.00,44.71,1,1969,USA,,56.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,1969,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1969,USA,2.5,0.51,0.49,2.05,1.97,0.08,0.04,4.84,1969,USA,,,,,,,,,,,,,-1.14,-1.00,-0.93,1969,USA,5,7,2,4,0,4,0,1,1969,USA,,10.04,32.90,30.79,3.14,8.22,5.46,44.33,48.75,-2.11,0.52,0.56,6.67,0.04,1969,USA,82972.00,80732.84,77901.66,67.53,62.45,3606.25,27533.00,46762.42,2827.60,3.50,1969,USA,5700.00,2481.00,42869.00,516.67,19036.00,19036.00,27.31,30.40,19036.00,19036.00,27.31,30.40,1969,USA,6.80,,,,,,,,,,,,,1969,USA,,,,,,,,,,,,,,,,,1969,USA,,,,,,202677.00,124737.20,19680.46,9.71,1969,USA
